ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,LowercaseDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl.PlainTextDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl
1,1,1,5,Well.                                                                                                                                                                                                                                                                                                                                ,well.                                                                                                                                                                                                                                                                                                                                ,Well.                                                                                                                                                                                                                                                                                                                                ,well.                                                                                                                                                                                                                                                                                                                                ,Well.                                                                                                                                                                                                                                                                                                                                ,well.                                                                                                                                                                                                                                                                                                                                ,Well.                                                                                                                                                                                                                                                                                                                                ,well.                                                                                                                                                                                                                                                                                                                                ,Well.                                                                                                                                                                                                                                                                                                                                ,well.                                                                                                                                                                                                                                                                                                                                ,Well                                                                                                                                                                                                                                                                                                                                ,well                                                                                                                                                                                                                                                                                                                                ,Well ,well ,Well  ,well  ,well ,well ,well ,well ,Well ,well ,Well ,well 
1,2,13,18,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,thank you very much for calling card member services this is jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number ,thank you very much for calling card member services this is jack and can please have the card number ,Thank much calling card member services Jack please card number  ,thank much calling card member services jack please card number  ,thank much call card member servic jack pleas card number ,thank much call card member servic jack pleas card number ,thank you veri much for call card member servic thi is jack and can pleas have the card number ,thank you veri much for call card member servic thi is jack and can pleas have the card number ,Thank you very much for call card member service this be Jack and can please have the card number ,thank you very much for call card member service this be jack and can please have the card number ,Thank much call card member service Jack please card number ,thank much call card member service jack please card number 
1,1,24,33,Yes 4088                                                                                                                                                                                                                                                                                                                             ,yes 4088                                                                                                                                                                                                                                                                                                                             ,Yes 4088                                                                                                                                                                                                                                                                                                                             ,yes 4088                                                                                                                                                                                                                                                                                                                             ,Yes 4088                                                                                                                                                                                                                                                                                                                             ,yes 4088                                                                                                                                                                                                                                                                                                                             ,Yes #                                                                                                                                                                                                                                                                                                                              ,yes #                                                                                                                                                                                                                                                                                                                              ,Yes #                                                                                                                                                                                                                                                                                                                              ,yes #                                                                                                                                                                                                                                                                                                                              ,Yes                                                                                                                                                                                                                                                                                                                               ,yes                                                                                                                                                                                                                                                                                                                               ,Yes ,yes ,Yes  ,yes  ,ye ,ye ,ye ,ye ,Yes ,yes ,Yes ,yes 
1,1,38,48,560800446031,560800446031,560800446031,560800446031,560800446031,560800446031,# ,# ,# ,# , , , , ,  ,  , , , , , , , , 
1,2,50,51,Thank you very much.                                                                                                                                                                                                                                                                                                                 ,thank you very much.                                                                                                                                                                                                                                                                                                                 ,Thank you very much.                                                                                                                                                                                                                                                                                                                 ,thank you very much.                                                                                                                                                                                                                                                                                                                 ,Thank you very much.                                                                                                                                                                                                                                                                                                                 ,thank you very much.                                                                                                                                                                                                                                                                                                                 ,Thank you very much.                                                                                                                                                                                                                                                                                                                 ,thank you very much.                                                                                                                                                                                                                                                                                                                 ,Thank you very much.                                                                                                                                                                                                                                                                                                                 ,thank you very much.                                                                                                                                                                                                                                                                                                                 ,Thank you very much                                                                                                                                                                                                                                                                                                                 ,thank you very much                                                                                                                                                                                                                                                                                                                 ,Thank you very much ,thank you very much ,Thank much  ,thank much  ,thank much ,thank much ,thank you veri much ,thank you veri much ,Thank you very much ,thank you very much ,Thank much ,thank much 
1,2,54,63,May I Have your name please.                                                                                                                                                                                                                                                                                                         ,may i have your name please.                                                                                                                                                                                                                                                                                                         ,May I Have your name please.                                                                                                                                                                                                                                                                                                         ,may i have your name please.                                                                                                                                                                                                                                                                                                         ,May I Have your name please.                                                                                                                                                                                                                                                                                                         ,may i have your name please.                                                                                                                                                                                                                                                                                                         ,May I Have your name please.                                                                                                                                                                                                                                                                                                         ,#  i have your name please.                                                                                                                                                                                                                                                                                                         ,May I Have your name please.                                                                                                                                                                                                                                                                                                         ,#  i have your name please.                                                                                                                                                                                                                                                                                                         ,May I Have your name please                                                                                                                                                                                                                                                                                                         ,  i have your name please                                                                                                                                                                                                                                                                                                         ,May I Have your name please , i have your name please ,May I Have name please  , name please  ,may I have name pleas , name pleas ,may I have your name pleas , i have your name pleas ,May I Have your name please , i have your name please ,May I Have name please , name please 
1,1,71,74,Selena and Graham.                                                                                                                                                                                                                                                                                                                   ,selena and graham.                                                                                                                                                                                                                                                                                                                   ,Selena and Graham.                                                                                                                                                                                                                                                                                                                   ,selena and graham.                                                                                                                                                                                                                                                                                                                   ,Selena and Graham.                                                                                                                                                                                                                                                                                                                   ,selena and graham.                                                                                                                                                                                                                                                                                                                   ,Selena and Graham.                                                                                                                                                                                                                                                                                                                   ,selena and graham.                                                                                                                                                                                                                                                                                                                   ,Selena and Graham.                                                                                                                                                                                                                                                                                                                   ,selena and graham.                                                                                                                                                                                                                                                                                                                   ,Selena and Graham                                                                                                                                                                                                                                                                                                                   ,selena and graham                                                                                                                                                                                                                                                                                                                   ,helena and Graham ,helena and graham ,helena Graham  ,helena graham  ,helena graham ,helena graham ,helena and graham ,helena and graham ,helena and Graham ,helena and graham ,helena Graham ,helena graham 
1,1,81,89,Also Lena Grimes what's on the card.                                                                                                                                                                                                                                                                                                 ,also lena grimes what's on the card.                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what's on the card.                                                                                                                                                                                                                                                                                                 ,also lena grimes what's on the card.                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,also lena grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,also lena grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,also lena grimes what is on the card.                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what is on the card                                                                                                                                                                                                                                                                                                 ,also lena grimes what is on the card                                                                                                                                                                                                                                                                                                 ,Also Lena Grimes what is on the card ,also lena grimes what is on the card ,Also Lena Grimes card  ,also lena grimes card  ,also lena grime card ,also lena grime card ,also lena grime what is on the card ,also lena grime what is on the card ,Also Lena Grimes what be on the card ,also lena grime what be on the card ,Also Lena Grimes card ,also lena grime card 
1,2,92,102,May Ihave you.                                                                                                                                                                                                                                                                                                                       ,may ihave you.                                                                                                                                                                                                                                                                                                                       ,May Ihave you.                                                                                                                                                                                                                                                                                                                       ,may ihave you.                                                                                                                                                                                                                                                                                                                       ,May Ihave you.                                                                                                                                                                                                                                                                                                                       ,may ihave you.                                                                                                                                                                                                                                                                                                                       ,May Ihave you.                                                                                                                                                                                                                                                                                                                       ,#  ihave you.                                                                                                                                                                                                                                                                                                                       ,May Ihave you.                                                                                                                                                                                                                                                                                                                       ,#  ihave you.                                                                                                                                                                                                                                                                                                                       ,May Ihave you                                                                                                                                                                                                                                                                                                                       ,  ihave you                                                                                                                                                                                                                                                                                                                       ,May have you , have you ,May  ,  ,may , ,may have you , have you ,May have you , have you ,May , 
1,2,106,108,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number                                                                                                                                                                                                                                                                                                                         ,phone number                                                                                                                                                                                                                                                                                                                         ,Phone number ,phone number ,Phone number  ,phone number  ,phone number ,phone number ,phone number ,phone number ,Phone number ,phone number ,Phone number ,phone number 
