ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
1,1,1,5,Well.,Well.,Well.,Well.,Well.,Well,well,well ,well 
1,2,13,18,Thank you very much for calling card member services this is Jack and can please have the card number,Thank you very much for calling card member services this is Jack and can please have the card number,Thank you very much for calling card member services this is Jack and can please have the card number,Thank you very much for calling card member services this is Jack and can please have the card number,Thank you very much for calling card member services this is Jack and can please have the card number,Thank you very much for calling card member services this is Jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank much calling card member services jack please card number ,thank much call card member service jack please card number 
1,1,24,33,Yes 4088,Yes 4088,Yes 4088,Yes # ,Yes # ,Yes  ,yes  ,yes  ,yes 
1,1,38,48,560800446031,560800446031,560800446031,# ,# , , ,  , 
1,2,50,51,Thank you very much.,Thank you very much.,Thank you very much.,Thank you very much.,Thank you very much.,Thank you very much,thank you very much,thank much ,thank much 
1,2,54,63,May I Have your name please.,May I Have your name please.,May I Have your name please.,May I Have your name please.,May I Have your name please.,May I Have your name please,may i have your name please,may name please ,may name please 
1,1,71,74,Selena and Graham.,Selena and Graham.,Selena and Graham.,Selena and Graham.,Selena and Graham.,Selena and Graham,selena and graham,selena graham ,selena graham 
1,1,81,89,Also Lena Grimes what's on the card.,Also Lena Grimes what's on the card.,Also Lena Grimes what is on the card.,Also Lena Grimes what is on the card.,Also Lena Grimes what is on the card.,Also Lena Grimes what is on the card,also lena grimes what is on the card,also lena grimes card ,also lena grime card 
1,2,92,102,May Ihave you.,May Ihave you.,May Ihave you.,May Ihave you.,May Ihave you.,May Ihave you,may ihave you,may ihave ,may ihave 
1,2,106,108,Phone number,Phone number,Phone number,Phone number,Phone number,Phone number,phone number,phone number ,phone number 
1,1,110,112,60,60,60,# ,# , , ,  , 
1,1,119,125,Mobile 0 for one eight one eight 6649.,Mobile 0 for one eight one eight 6649.,Mobile 0 for one eight one eight 6649.,Mobile #  for #  #  #  #  # .,Mobile #  for #  #  #  #  # .,Mobile   for          ,mobile   for          ,mobile  ,mobile 
1,2,131,137,Thank you very much and how I can help you today.,Thank you very much and how I can help you today.,Thank you very much and how I can help you today.,Thank you very much and how I can help you today.,Thank you very much and how I can help you today.,Thank you very much and how I can help you today,thank you very much and how i can help you today,thank much help today ,thank much help today 
