Call_ID,Speaker,Dialogue,Sentences,NounChunks,Co-Reference,Tags,PERSON,ORG,Bye,IntroduceCompany,Thank,Offer,KPI
1,2,Is there anything else I can help you more.                                                                                                                                                                                                                                                                                          ,Is there anything else I can help you more.                                                                                                                                                                                                                                                                                          ,"anything,I,you",,"[('Is', 'be', 'VERB', '', 'ROOT'), ('there', 'there', 'ADV', '', 'expl'), ('anything', 'anything', 'NOUN', '', 'attr'), ('else', 'else', 'ADV', '', 'advmod'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('can', 'can', 'VERB', '', 'aux'), ('help', 'help', 'VERB', '', 'relcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('more', 'more', 'ADJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,Is there anything else I can help,Mastered
1,1,No I that is a lot that.                                                                                                                                                                                                                                                                                                              ,No I that is a lot that.                                                                                                                                                                                                                                                                                                              ,"No I,a lot",,"[('No', 'no', 'INTJ', '', 'det'), ('I', '-PRON-', 'PRON', '', 'ROOT'), ('that', 'that', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'relcl'), ('a', 'a', 'DET', '', 'det'), ('lot', 'lot', 'NOUN', '', 'attr'), ('that', 'that', 'ADP', '', 'det'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
1,2,Thank you very much for your call and having a wonderful day.                                                                                                                                                                                                                                                                        ,Thank you very much for your call and having a wonderful day.                                                                                                                                                                                                                                                                        ,"you,your call,a wonderful day",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('very', 'very', 'ADV', '', 'advmod'), ('much', 'much', 'ADV', '', 'advmod'), ('for', 'for', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('call', 'call', 'NOUN', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('having', 'have', 'VERB', '', 'conj'), ('a', 'a', 'DET', '', 'det'), ('wonderful', 'wonderful', 'ADJ', '', 'amod'), ('day', 'day', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thank you very much,,Mastered
1,2,Bye.                                                                                                                                                                                                                                                                                                                                 ,Bye.                                                                                                                                                                                                                                                                                                                                 ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
1,1,Okay.                                                                                                                                                                                                                                                                                                                                ,Okay.                                                                                                                                                                                                                                                                                                                                ,,,"[('Okay', 'okay', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
1,1,Bye                                                                                                                                                                                                                                                                                                                                  ,Bye                                                                                                                                                                                                                                                                                                                                  ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
2,1,Thank you for calling Australia post load and go support.                                                                                                                                                                                                                                                                            ,Thank you for calling Australia post load and go support.                                                                                                                                                                                                                                                                            ,"you,Australia,support",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('Australia', 'Australia', 'PROPN', 'GPE', 'dobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'oprd'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,Thank you for calling,Thank you for calling,,Mastered
2,1,You have a wonderful day.                                                                                                                                                                                                                                                                                                            ,You have a wonderful day.                                                                                                                                                                                                                                                                                                            ,"You,a wonderful day",,"[('You', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ROOT'), ('a', 'a', 'DET', '', 'det'), ('wonderful', 'wonderful', 'ADJ', '', 'amod'), ('day', 'day', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Have a wonderful day,,,,Mastered
2,1,Bye bye.                                                                                                                                                                                                                                                                                                                             ,Bye bye.                                                                                                                                                                                                                                                                                                                             ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
2,2,You to.                                                                                                                                                                                                                                                                                                                              ,You to.                                                                                                                                                                                                                                                                                                                              ,You,,"[('You', '-PRON-', 'PRON', '', 'nsubj'), ('to', 'to', 'PART', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
2,2,Bye.                                                                                                                                                                                                                                                                                                                                 ,Bye.                                                                                                                                                                                                                                                                                                                                 ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
2,2,Bye                                                                                                                                                                                                                                                                                                                                  ,Bye                                                                                                                                                                                                                                                                                                                                  ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
3,2,no thats all  thanks Matthew                                                                                                                                                                                                                                                                                                         ,"no thats all  ,thanks Matthew                                                                                                                                                                                                                                                                                                         ",thanks,,"[('no', 'no', 'INTJ', '', 'intj'), ('that', 'that', 'DET', '', 'nsubj'), ('s', 's', 'VERB', '', 'ROOT'), ('all', 'all', 'DET', '', 'dep'), (' ', ' ', 'SPACE', '', ''), ('thanks', 'thank', 'NOUN', '', 'ROOT'), ('Matthew', 'Matthew', 'PROPN', 'PERSON', 'npadvmod'), (' ', ' ', 'SPACE', 'PERSON', '')]",Matthew                                                                                                                                                                                                                                                                                                         ,,,,Thanks,,Mastered
3,1,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation                                                                                                                                                                                                                                   ,"Okay and thank you for calling Australia post laod and go support,I hope you have a great vacation                                                                                                                                                                                                                                   ","you,Australia,support,I,you,a great vacation",,"[('Okay', 'okay', 'INTJ', '', 'intj'), ('and', 'and', 'CCONJ', '', 'cc'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('Australia', 'Australia', 'PROPN', 'GPE', 'dobj'), ('post', 'post', 'NOUN', '', 'compound'), ('laod', 'laod', 'VERB', '', 'oprd'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('hope', 'hope', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ccomp'), ('a', 'a', 'DET', '', 'det'), ('great', 'great', 'ADJ', '', 'amod'), ('vacation', 'vacation', 'NOUN', '', 'dobj'), (' ', ' ', 'SPACE', '', '')]",,,,Thank you for calling,Thank you for calling,,Mastered
3,2,yeah.                                                                                                                                                                                                                                                                                                                                ,yeah.                                                                                                                                                                                                                                                                                                                                ,,,"[('yeah', 'yeah', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
3,2,Thank you you too bye bye.                                                                                                                                                                                                                                                                                                           ,Thank you you too bye bye.                                                                                                                                                                                                                                                                                                           ,"you,you",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('too', 'too', 'ADV', '', 'advmod'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,Thank you,,Mastered
