Call_ID,Speaker,Conversation,Start,End,ConversationLower,ConversationLowerJoin,ConversationLowerJoinContracts,ConversationLowerJoinContractsNums,ConversationLowerJoinContractsNumsNoPunct,ConversationLowerJoinContractsNumsNoPunctTokens,ConversationLowerJoinContractsNumsNoPunctTokensSpell,ConversationLowerJoinContractsNumsNoPunctTokensSpellStem,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemma,ConversationLowerJoinContractsNumsNoPunctTokensSpellNoStop,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemmaNoStop,Num_of_Words,Num_of_Sentences,Duration,Audio_Length,Total_Words_All_Speakers,Total_Words_CSR,Total_Words_Caller,Duration_Ratio,Total_Words_All_Speakers_Ratio,Total_Words_WRT_CSR_Ratio,Total_Words_WRT_Caller_Ratio,Words_Per_Minute,Conversation_POSTags,Conversation_POSTags_Chunks,Hold_Time,Difficult_Words,Num_of_Difficult_Words,Average_Sentence_Length,Fogg_Index,Syllables_Per_Word,Average_Syllables_Per_Word,Flesch_Reading_Ease,Poly_Syllable_Count,Smog_Index,Dale_Chall_Readability_Score,Word_Synonyms,Word_Antonyms,Nouns_IOB,Wh_Questions_IOB,Cardinals_IOB,Pronouns_IOB,Spacy_Chunks
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much for calling card member services this is Jack and can please have the card number,14,16,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,"['thank', 'you', 'very', 'much', 'for', 'calling', 'card', 'member', 'services', 'this', 'is', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'you', 'very', 'much', 'for', 'calling', 'card', 'member', 'services', 'this', 'is', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'you', 'veri', 'much', 'for', 'call', 'card', 'member', 'servic', 'thi', 'is', 'jack', 'and', 'can', 'pleas', 'have', 'the', 'card', 'number']","['thank', 'you', 'very', 'much', 'for', 'call', 'card', 'member', 'service', 'this', 'be', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'much', 'calling', 'card', 'member', 'services', 'jack', 'please', 'card', 'number']","['thank', 'much', 'call', 'card', 'member', 'service', 'jack', 'please', 'card', 'number']",19,1,2,146.72,294.0,172.0,122.0,0.013631406761177753,0.06462585034013606,0.11046511627906977,0.1557377049180328,570.0,"[('Thank', 'NNP'), ('you', 'PRP'), ('very', 'RB'), ('much', 'RB'), ('for', 'IN'), ('calling', 'VBG'), ('card', 'NN'), ('member', 'NN'), ('services', 'NNS'), ('this', 'DT'), ('is', 'VBZ'), ('Jack', 'NNP'), ('and', 'CC'), ('can', 'MD'), ('please', 'VB'), ('have', 'VB'), ('the', 'DT'), ('card', 'NN'), ('number', 'NN')]","(S
  Thank/NNP
  you/PRP
  very/RB
  much/RB
  for/IN
  calling/VBG
  card/NN
  member/NN
  services/NNS
  this/DT
  is/VBZ
  (PERSON Jack/NNP)
  and/CC
  can/MD
  please/VB
  have/VB
  the/DT
  card/NN
  number/NN)",,"['thank', 'much', 'call', 'card', 'member', 'service', 'jack', 'please', 'card', 'number']",90,19.0,199.0736842105263,22,1.1578947368421053,89.5921052631579,3,13.023866798666859,79.37363684210527,"['thank', 'give_thanks']",[],"[('Thank', 'NNP', 'B-Chunk'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('for', 'IN', 'O'), ('calling', 'VBG', 'O'), ('card', 'NN', 'B-Chunk'), ('member', 'NN', 'I-Chunk'), ('services', 'NNS', 'I-Chunk'), ('this', 'DT', 'O'), ('is', 'VBZ', 'O'), ('Jack', 'NNP', 'B-PERSON'), ('and', 'CC', 'O'), ('can', 'MD', 'O'), ('please', 'VB', 'O'), ('have', 'VB', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'B-Chunk'), ('number', 'NN', 'I-Chunk')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('for', 'IN', 'O'), ('calling', 'VBG', 'O'), ('card', 'NN', 'O'), ('member', 'NN', 'O'), ('services', 'NNS', 'O'), ('this', 'DT', 'O'), ('is', 'VBZ', 'O'), ('Jack', 'NNP', 'B-PERSON'), ('and', 'CC', 'O'), ('can', 'MD', 'O'), ('please', 'VB', 'O'), ('have', 'VB', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('number', 'NN', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('for', 'IN', 'O'), ('calling', 'VBG', 'O'), ('card', 'NN', 'O'), ('member', 'NN', 'O'), ('services', 'NNS', 'O'), ('this', 'DT', 'O'), ('is', 'VBZ', 'O'), ('Jack', 'NNP', 'B-PERSON'), ('and', 'CC', 'O'), ('can', 'MD', 'O'), ('please', 'VB', 'O'), ('have', 'VB', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('number', 'NN', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'B-Chunk'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('for', 'IN', 'O'), ('calling', 'VBG', 'O'), ('card', 'NN', 'O'), ('member', 'NN', 'O'), ('services', 'NNS', 'O'), ('this', 'DT', 'O'), ('is', 'VBZ', 'O'), ('Jack', 'NNP', 'B-PERSON'), ('and', 'CC', 'O'), ('can', 'MD', 'O'), ('please', 'VB', 'O'), ('have', 'VB', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('number', 'NN', 'O')]","[(Thank, 'O', ''), (you, 'O', ''), (very, 'O', ''), (much, 'O', ''), (for, 'O', ''), (calling, 'O', ''), (card, 'O', ''), (member, 'O', ''), (services, 'O', ''), (this, 'O', ''), (is, 'O', ''), (Jack, 'B', 'PERSON'), (and, 'O', ''), (can, 'O', ''), (please, 'O', ''), (have, 'O', ''), (the, 'O', ''), (card, 'O', ''), (number, 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Yes 4088,17,21,yes 4088,yes 4088,yes 4088,yes #,yes,['yes'],['yes'],['ye'],['yes'],['yes'],['yes'],1,1,4,146.72,294.0,172.0,122.0,0.027262813522355506,0.003401360544217687,0.005813953488372093,0.00819672131147541,15.0,"[('Yes', 'UH'), ('4088', 'CD')]",(S Yes/UH 4088/CD),1.0,['yes'],7,1.0,282.40000000000003,1,1.0,121.22000000000003,0,3.1291,114.21610000000001,['yes'],['no'],"[('Yes', 'UH', 'O'), ('4088', 'CD', 'O')]","[('Yes', 'UH', 'O'), ('4088', 'CD', 'O')]","[('Yes', 'UH', 'O'), ('4088', 'CD', 'B-Chunk')]","[('Yes', 'UH', 'O'), ('4088', 'CD', 'O')]","[(Yes, 'O', ''), (4088, 'B', 'CARDINAL')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much.,28,33,thank you very much.,thank you very much.,thank you very much.,thank you very #,thank you very,"['thank', 'you', 'very']","['thank', 'you', 'very']","['thank', 'you', 'veri']","['thank', 'you', 'very']",['thank'],['thank'],3,1,5,146.72,294.0,172.0,122.0,0.03407851690294438,0.01020408163265306,0.01744186046511628,0.02459016393442623,36.0,"[('Thank', 'NNP'), ('you', 'PRP'), ('very', 'RB'), ('much', 'RB'), ('.', '.')]",(S Thank/NNP you/PRP very/RB much/RB ./.),7.0,['thank'],9,3.0,123.2,1,0.3333333333333333,175.59000000000003,0,3.1291,51.155300000000004,"['thank', 'give_thanks']",[],"[('Thank', 'NNP', 'B-Chunk'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'B-Chunk'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('.', '.', 'O')]","[(Thank, 'O', ''), (you, 'O', ''), (very, 'O', ''), (much, 'O', ''), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May I Have your name please.,34,36,may i have your name please.,may i have your name please.,may i have your name please.,# i have your name #,i have your name,"['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']",['name'],['name'],4,1,2,146.72,294.0,172.0,122.0,0.013631406761177753,0.013605442176870748,0.023255813953488372,0.03278688524590164,120.0,"[('May', 'NNP'), ('I', 'PRP'), ('Have', 'VBP'), ('your', 'PRP$'), ('name', 'NN'), ('please', 'NN'), ('.', '.')]",(S May/NNP I/PRP Have/VBP your/PRP$ name/NN please/NN ./.),1.0,['name'],8,4.0,83.60000000000001,1,0.25,181.625,0,3.1291,35.4149,"['name', 'name', 'name', 'gens', 'name', 'figure', 'public_figure', 'name', 'name', 'epithet', 'name', 'call', 'name', 'identify', 'name', 'nominate', 'make', 'appoint', 'name', 'nominate', 'constitute', 'name', 'mention', 'advert', 'bring_up', 'cite', 'name', 'refer', 'identify', 'discover', 'key', 'key_out', 'distinguish', 'describe', 'name', 'list', 'name', 'diagnose', 'name']",[],"[('May', 'NNP', 'B-Chunk'), ('I', 'PRP', 'O'), ('Have', 'VBP', 'O'), ('your', 'PRP$', 'O'), ('name', 'NN', 'B-Chunk'), ('please', 'NN', 'I-Chunk'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('I', 'PRP', 'O'), ('Have', 'VBP', 'O'), ('your', 'PRP$', 'O'), ('name', 'NN', 'O'), ('please', 'NN', 'O'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('I', 'PRP', 'O'), ('Have', 'VBP', 'O'), ('your', 'PRP$', 'O'), ('name', 'NN', 'O'), ('please', 'NN', 'O'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('I', 'PRP', 'B-Chunk'), ('Have', 'VBP', 'O'), ('your', 'PRP$', 'B-Chunk'), ('name', 'NN', 'O'), ('please', 'NN', 'O'), ('.', '.', 'O')]","[(May, 'O', ''), (I, 'O', ''), (Have, 'O', ''), (your, 'O', ''), (name, 'O', ''), (please, 'O', ''), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Selena and Graham.,37,39,selena and graham.,selena and graham.,selena and graham.,selena and #,selena and,"['selena', 'and']","['helena', 'and']","['helena', 'and']","['helena', 'and']",['helena'],['helena'],2,1,2,146.72,294.0,172.0,122.0,0.013631406761177753,0.006802721088435374,0.011627906976744186,0.01639344262295082,60.0,"[('Selena', 'NNP'), ('and', 'CC'), ('Graham', 'NNP'), ('.', '.')]",(S (GPE Selena/NNP) and/CC (GPE Graham/NNP) ./.),1.0,['helena'],10,2.0,202.8,3,1.5,77.90500000000002,1,8.841846274778883,82.6857,"['Helena', 'capital_of_Montana']",[],"[('Selena', 'NNP', 'B-GPE'), ('and', 'CC', 'O'), ('Graham', 'NNP', 'B-GPE'), ('.', '.', 'O')]","[('Selena', 'NNP', 'B-GPE'), ('and', 'CC', 'O'), ('Graham', 'NNP', 'B-GPE'), ('.', '.', 'O')]","[('Selena', 'NNP', 'B-GPE'), ('and', 'CC', 'O'), ('Graham', 'NNP', 'B-GPE'), ('.', '.', 'O')]","[('Selena', 'NNP', 'B-GPE'), ('and', 'CC', 'O'), ('Graham', 'NNP', 'B-GPE'), ('.', '.', 'O')]","[(Selena, 'B', 'ORG'), (and, 'O', ''), (Graham, 'B', 'PERSON'), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Also Lena Grimes what's on the card.,40,41,also lena grimes what's on the card.,also lena grimes what's on the card.,also lena grimes what is on the card.,also lena grimes what is on the #,also lena grimes what is on the,"['also', 'lena', 'grimes', 'what', 'is', 'on', 'the']","['also', 'lena', 'grimes', 'what', 'is', 'on', 'the']","['also', 'lena', 'grime', 'what', 'is', 'on', 'the']","['also', 'lena', 'grime', 'what', 'be', 'on', 'the']","['also', 'lena', 'grimes']","['also', 'lena', 'grime']",7,1,1,146.72,294.0,172.0,122.0,0.006815703380588877,0.023809523809523808,0.040697674418604654,0.05737704918032787,420.0,"[('Also', 'RB'), ('Lena', 'NNP'), ('Grimes', 'NNP'), ('what', 'WP'), (""'s"", 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('card', 'NN'), ('.', '.')]","(S
  Also/RB
  (PERSON Lena/NNP Grimes/NNP)
  what/WP
  's/VBZ
  on/IN
  the/DT
  card/NN
  ./.)",1.0,"['also', 'lena', 'grime']",25,7.0,147.65714285714287,6,0.8571428571428571,127.21571428571431,0,3.1291,60.37655714285715,"['besides', 'too', 'also', 'likewise', 'as_well']",[],"[('Also', 'RB', 'O'), ('Lena', 'NNP', 'B-PERSON'), ('Grimes', 'NNP', 'I-PERSON'), ('what', 'WP', 'O'), (""'s"", 'VBZ', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'B-Chunk'), ('.', '.', 'O')]","[('Also', 'RB', 'O'), ('Lena', 'NNP', 'B-PERSON'), ('Grimes', 'NNP', 'I-PERSON'), ('what', 'WP', 'B-Chunk'), (""'s"", 'VBZ', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('.', '.', 'O')]","[('Also', 'RB', 'O'), ('Lena', 'NNP', 'B-PERSON'), ('Grimes', 'NNP', 'I-PERSON'), ('what', 'WP', 'O'), (""'s"", 'VBZ', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('.', '.', 'O')]","[('Also', 'RB', 'O'), ('Lena', 'NNP', 'B-PERSON'), ('Grimes', 'NNP', 'I-PERSON'), ('what', 'WP', 'O'), (""'s"", 'VBZ', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('card', 'NN', 'O'), ('.', '.', 'O')]","[(Also, 'O', ''), (Lena, 'B', 'PERSON'), (Grimes, 'I', 'PERSON'), (what, 'O', ''), ('s, 'O', ''), (on, 'O', ''), (the, 'O', ''), (card, 'O', ''), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May Ihave you.,42,46,may ihave you.,may ihave you.,may ihave you.,# ihave #,ihave,['ihave'],['have'],['have'],['have'],[],[],1,1,4,146.72,294.0,172.0,122.0,0.027262813522355506,0.003401360544217687,0.005813953488372093,0.00819672131147541,15.0,"[('May', 'NNP'), ('Ihave', 'NNP'), ('you', 'PRP'), ('.', '.')]",(S May/NNP Ihave/NNP you/PRP ./.),1.0,[],2,1.0,82.4,0,0.0,205.82000000000002,0,3.1291,35.2661,[],[],"[('May', 'NNP', 'B-Chunk'), ('Ihave', 'NNP', 'I-Chunk'), ('you', 'PRP', 'O'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('Ihave', 'NNP', 'O'), ('you', 'PRP', 'O'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('Ihave', 'NNP', 'O'), ('you', 'PRP', 'O'), ('.', '.', 'O')]","[('May', 'NNP', 'O'), ('Ihave', 'NNP', 'O'), ('you', 'PRP', 'B-Chunk'), ('.', '.', 'O')]","[(May, 'O', ''), (Ihave, 'O', ''), (you, 'O', ''), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Phone number,47,51,phone number,phone number,phone number,phone number,phone number,"['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']",2,1,4,146.72,294.0,172.0,122.0,0.027262813522355506,0.006802721088435374,0.011627906976744186,0.01639344262295082,30.0,"[('Phone', 'NN'), ('number', 'NN')]",(S (GPE Phone/NN) number/NN),1.0,"['phone', 'number']",19,2.0,382.8,4,2.0,35.60500000000002,1,8.841846274778883,153.74070000000003,"['telephone', 'phone', 'telephone_set', 'phone', 'speech_sound', 'sound', 'earphone', 'earpiece', 'headphone', 'phone', 'call', 'telephone', 'call_up', 'phone', 'ring']",[],"[('Phone', 'NN', 'B-GPE'), ('number', 'NN', 'B-Chunk')]","[('Phone', 'NN', 'B-GPE'), ('number', 'NN', 'O')]","[('Phone', 'NN', 'B-GPE'), ('number', 'NN', 'O')]","[('Phone', 'NN', 'B-GPE'), ('number', 'NN', 'O')]","[(Phone, 'O', ''), (number, 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Mobile 0 for one eight one eight 6649.,57,60,mobile 0 for one eight one eight 6649.,mobile 0 for one eight one eight 6649.,mobile 0 for one eight one eight 6649.,mobile # for # # # # ##,mobile  for,"['mobile', 'for']","['mobile', 'for']","['mobil', 'for']","['mobile', 'for']",['mobile'],['mobile'],2,1,3,146.72,294.0,172.0,122.0,0.02044711014176663,0.006802721088435374,0.011627906976744186,0.01639344262295082,40.0,"[('Mobile', 'JJ'), ('0', 'CD'), ('for', 'IN'), ('one', 'CD'), ('eight', 'CD'), ('one', 'CD'), ('eight', 'CD'), ('6649', 'CD'), ('.', '.')]",(S Mobile/JJ 0/CD for/IN one/CD eight/CD one/CD eight/CD 6649/CD ./.),6.0,['mobile'],10,2.0,202.8,2,1.0,120.20500000000001,0,3.1291,82.6857,"['Mobile', 'Mobile_River', 'Mobile', 'mobile', 'mobile', 'nomadic', 'peregrine', 'roving', 'wandering', 'mobile', 'mobile', 'mobile', 'fluid', 'mobile']","['stabile', 'immobile']","[('Mobile', 'JJ', 'O'), ('0', 'CD', 'O'), ('for', 'IN', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('6649', 'CD', 'O'), ('.', '.', 'O')]","[('Mobile', 'JJ', 'O'), ('0', 'CD', 'O'), ('for', 'IN', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('6649', 'CD', 'O'), ('.', '.', 'O')]","[('Mobile', 'JJ', 'O'), ('0', 'CD', 'B-Chunk'), ('for', 'IN', 'O'), ('one', 'CD', 'B-Chunk'), ('eight', 'CD', 'I-Chunk'), ('one', 'CD', 'I-Chunk'), ('eight', 'CD', 'I-Chunk'), ('6649', 'CD', 'I-Chunk'), ('.', '.', 'O')]","[('Mobile', 'JJ', 'O'), ('0', 'CD', 'O'), ('for', 'IN', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('one', 'CD', 'O'), ('eight', 'CD', 'O'), ('6649', 'CD', 'O'), ('.', '.', 'O')]","[(Mobile, 'O', ''), (0, 'O', ''), (for, 'O', ''), (one, 'O', ''), (eight, 'O', ''), (one, 'O', ''), (eight, 'O', ''), (6649, 'O', ''), (., 'O', '')]"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much and how I can help you today.,61,64,thank you very much and how i can help you today.,thank you very much and how i can help you today.,thank you very much and how i can help you today.,thank you very much and how i can help you #,thank you very much and how i can help you,"['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'veri', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'much', 'help']","['thank', 'much', 'help']",10,1,3,146.72,294.0,172.0,122.0,0.02044711014176663,0.034013605442176874,0.05813953488372093,0.08196721311475409,200.0,"[('Thank', 'NNP'), ('you', 'PRP'), ('very', 'RB'), ('much', 'RB'), ('and', 'CC'), ('how', 'WRB'), ('I', 'PRP'), ('can', 'MD'), ('help', 'VB'), ('you', 'PRP'), ('today', 'NN'), ('.', '.')]","(S
  Thank/NNP
  you/PRP
  very/RB
  much/RB
  and/CC
  how/WRB
  I/PRP
  can/MD
  help/VB
  you/PRP
  today/NN
  ./.)",1.0,"['thank', 'much', 'help']",25,10.0,106.0,5,0.5,154.385,0,3.1291,43.6075,"['thank', 'give_thanks']",[],"[('Thank', 'NNP', 'B-Chunk'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('and', 'CC', 'O'), ('how', 'WRB', 'O'), ('I', 'PRP', 'O'), ('can', 'MD', 'O'), ('help', 'VB', 'O'), ('you', 'PRP', 'O'), ('today', 'NN', 'B-Chunk'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('and', 'CC', 'O'), ('how', 'WRB', 'O'), ('I', 'PRP', 'O'), ('can', 'MD', 'O'), ('help', 'VB', 'O'), ('you', 'PRP', 'O'), ('today', 'NN', 'O'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'O'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('and', 'CC', 'O'), ('how', 'WRB', 'O'), ('I', 'PRP', 'O'), ('can', 'MD', 'O'), ('help', 'VB', 'O'), ('you', 'PRP', 'O'), ('today', 'NN', 'O'), ('.', '.', 'O')]","[('Thank', 'NNP', 'O'), ('you', 'PRP', 'B-Chunk'), ('very', 'RB', 'O'), ('much', 'RB', 'O'), ('and', 'CC', 'O'), ('how', 'WRB', 'O'), ('I', 'PRP', 'B-Chunk'), ('can', 'MD', 'O'), ('help', 'VB', 'O'), ('you', 'PRP', 'B-Chunk'), ('today', 'NN', 'O'), ('.', '.', 'O')]","[(Thank, 'O', ''), (you, 'O', ''), (very, 'O', ''), (much, 'O', ''), (and, 'O', ''), (how, 'O', ''), (I, 'O', ''), (can, 'O', ''), (help, 'O', ''), (you, 'O', ''), (today, 'B', 'DATE'), (., 'O', '')]"
