DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
38,21,A,decl,31.0,state,"
so they're either 8 minutes to 9 or 8 minutes to 10 ",alternative-decl,enum-time,positive,punc,type,stop
40,21,A,decl,31.0,state,"
so they're either 8 minutes to 9 or 8 minutes to 10 ",alternative-decl,enum-time,positive,punc,type,stop
43,30,B,frag,57.0,answer-refer,"
sort of facing or with my back to the direction of movement ",alternative-decl,seat,positive,punc,type,stop
47,60,B,decl,106.0,elab-state,"
",alternative-decl,time-enum,positive,pause,length,4s
47,60,B,decl,106.0,elab-state,"
",alternative-decl,time-enum,positive,punc,type,stop
47,85,A,decl,162.0,stateOpt,"
or it's 21:00 in the evening ",alternative-decl,time-enum,positive,punc,type,stop
48,16,B,frag,27.0,answer-direct,"
either the 27th or the 28th of October ",alternative-decl,month-date,positive,punc,type,stop
51,21,A,decl,34.0,stateOpt,"
",alternative-decl,time-enum,positive,pause,,
51,21,A,decl,34.0,stateOpt,"
",alternative-decl,time-enum,positive,punc,type,stop
53,9,A,decl,29.0,state,"
",alternative-decl,number-time-enum,positive,pause,length,2s
53,9,A,decl,29.0,state,"
",alternative-decl,number-time-enum,positive,punc,type,stop
54,27,A,decl,45.0,stateOpt,"
or it's the 9:35 ",alternative-decl,,positive,punc,type,stop
57,46,B,decl,107.0,state,"
the other one we got before was it a twin a value twin or something ",alternative-decl,number-time,positive,punc,type,stop
57,51,A,decl,117.0,elab-state,"
and it has to be 2 or 4 people travelling ",alternative-decl,enum-journey,positive,punc,type,stop
70,46,B,frag,77.0,answer-refer,"
you kn... after sort of like 4 o'clockish or something ",alternative-decl,time-enum,positive,punc,type,stop
