DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,35,A,q-yn,71.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
38,93,A,q-yn,134.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,pause,,
38,93,A,q-yn,134.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,punc,type,query
40,93,A,q-yn,134.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,pause,,
40,93,A,q-yn,134.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,punc,type,query
41,27,A,q-yn,47.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
42,19,A,q-yn,38.0,reqDirect,"
do you want to book the return or leave this return journey open ",alternative-preference2-closed-query,fare-booking-journey-departure,positive,punc,type,query
43,27,A,q-yn,53.0,reqDirect,"
and ",alternative-preference2-closed-query,seat,positive,pause,,
43,27,A,q-yn,53.0,reqDirect,"
and ",alternative-preference2-closed-query,seat,positive,punc,type,query
46,3,A,q-yn,10.0,reqDirect,"
do you want to book your ticket just now or are you just wanting information ",alternative-preference2-closed-query,booking-journey,positive,punc,type,query
46,61,A,q-yn,131.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
48,65,A,q-yn,110.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,pause,,
48,65,A,q-yn,110.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,pause,,
48,65,A,q-yn,110.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,punc,type,query
49,45,A,q-yn,86.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
51,39,A,q-yn,78.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
52,41,A,q-yn,71.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
54,31,A,q-yn,56.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
55,3,A,q-yn,10.0,reqDirect,"
",alternative-preference2-closed-query,booking-journey,positive,overlap,type,end
55,3,A,q-yn,10.0,reqDirect,"
",alternative-preference2-closed-query,booking-journey,positive,overlap,type,start
55,3,A,q-yn,10.0,reqDirect,"
",alternative-preference2-closed-query,booking-journey,positive,punc,type,query
56,31,A,q-yn,60.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
58,81,A,q-yn,149.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
59,47,A,q-yn,103.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
60,27,A,q-yn,49.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,pause,,
60,27,A,q-yn,49.0,reqDirect,"
",alternative-preference2-closed-query,seat,positive,punc,type,query
61,45,A,q-yn,106.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
62,29,A,q-yn,63.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
64,45,A,q-yn,94.0,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
