DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,86,B,decl,143.0,appreciate,"
that's brilliant
",appreciate,,positive,,,
2,26,B,decl,40.0,appreciate,"
that's great
",appreciate,,positive,,,
4,39,A,decl,81.0,ackn,"
that's correct
",appreciate,,positive,,,
4,113,A,decl,210.0,ackn,"
that's correct
",appreciate,,positive,,,
6,89,A,decl,120.0,ackn,"
that's correct Mr {surname}%13%8%14%11%13%8%18%25 ",appreciate,name,positive,backchannel,content,right
7,30,B,decl,48.0,appreciate,"
that's great yes
",appreciate,,positive,,,
7,56,B,decl,84.0,appreciate,"
that's great
",appreciate,,positive,,,
7,80,B,decl,113.0,appreciate,"
that's great
",appreciate,,positive,,,
8,85,A,decl,135.0,ackn,"
that's correct Mr {surname}%16%1%10
",appreciate,name,positive,,,
9,14,B,decl,29.0,accept,"
oh that'd be fine yeah
",appreciate,,positive,,,
9,110,B,decl,180.0,appreciate,"
that's lovely
",appreciate,,positive,,,
11,51,A,decl,95.0,ackn,"
that's correct
",appreciate,,positive,,,
11,96,B,decl,166.0,appreciate,"
that's great
",appreciate,,positive,,,
12,14,B,frag,23.0,directElab,"
that'd be great
",appreciate,,positive,,,
13,41,A,decl,63.0,ackn,"
that's ",appreciate,,positive,overlap,type,start
13,82,B,decl,123.0,appreciate,"
oh that's wonderful
",appreciate,,positive,,,
13,82,B,decl,124.0,appreciate,"
that's ",appreciate,,positive,overlap,type,start
13,102,B,decl,151.0,appreciate,"
that's lovely
",appreciate,,positive,,,
13,146,B,decl,209.0,appreciate,"
ah that's wonderful
",appreciate,,positive,,,
13,148,B,decl,211.0,appreciate,"
that's lovely ",appreciate,,positive,overlap,type,end
19,16,B,decl,22.0,accept,"
that's correct
",appreciate,,positive,,,
19,86,B,decl,127.0,appreciate,"
that's lovely
",appreciate,,positive,,,
23,93,A,decl,160.0,accept,"
that's correct
",appreciate,,positive,,,
24,94,B,decl,163.0,appreciate,"
that's great
",appreciate,,positive,,,
26,56,B,decl,144.0,appreciate,"
that's ",appreciate,,positive,overlap,type,start
28,213,A,decl,320.0,accept,"
that's correct
",appreciate,,positive,,,
29,42,B,decl,82.0,appreciate,"
that's great
",appreciate,,positive,,,
29,102,B,decl,162.0,appreciate,"
that's brilliant
",appreciate,,positive,,,
29,104,B,decl,166.0,appreciate,"
that's brilliant
",appreciate,,positive,,,
30,29,A,decl,47.0,ackn,"
that's correct sir
",appreciate,,positive,,,
33,32,B,decl,41.0,appreciate,"
ah ",appreciate,,positive,overlap,type,end
33,32,B,decl,42.0,appreciate,"
that'd be great
",appreciate,,positive,,,
33,36,B,decl,58.0,appreciate,"
that's great
",appreciate,,positive,,,
33,116,B,decl,169.0,appreciate,"
that's lovely then
",appreciate,,positive,,,
34,47,A,decl,100.0,ackn,"
that's correct
",appreciate,,positive,,,
35,180,B,decl,288.0,appreciate,"
that's great
",appreciate,,positive,,,
35,185,A,decl,296.0,ackn,"
that's great
",appreciate,,positive,,,
