DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
1,35,A,q-yn,69.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
3,93,A,q-yn,122.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
4,61,A,q-yn,139.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
6,27,A,q-yn,41.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
7,19,A,q-yn,33.0,reqDirect,"
do you want to book the return or leave this return journey open
",closed-alternative,fare-departure-preference-booking-journey,positive,,,
8,27,A,q-yn,46.0,reqDirect,"
and ",closed-alternative,preference-seat,positive,pause,,
8,49,A,q-yn,83.0,reqInfo,"
or do you have the full address
",closed-alternative,address,positive,,,
11,3,A,q-yn,7.0,reqInfo,"
do you want to book your ticket just now or are you just wanting information
",closed-alternative,preference-booking-journey,positive,,,
11,23,A,q-yn,42.0,reqInfo,"
or is that going to be too early
",closed-alternative,time,positive,,,
11,61,A,q-yn,109.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
12,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
12,29,A,q-yn,45.0,reqDirect,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
12,52,B,decl,80.0,reqInfo,"
it's 26 05 or something is it
",closed-alternative,enum,positive,,,
13,65,A,q-yn,98.0,reqDirect,"
",closed-alternative,preference-seat,positive,pause,,
13,65,A,q-yn,98.0,reqDirect,"
",closed-alternative,preference-seat,positive,pause,,
14,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
14,11,A,q-yn,16.0,reqInfo,"
is it Wrexham Central or General
",closed-alternative,location,positive,,,
14,45,A,q-yn,76.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
16,39,A,q-yn,71.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
16,61,A,q-yn,110.0,reqInfo,"
is it a Mr or Mrs
",closed-alternative,,positive,,,
17,21,A,q-yn,29.0,reqInfo,"
was it a morning or afternoon departure
",closed-alternative,time-departure,positive,,,
17,41,A,q-yn,61.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
18,22,B,q-yn,46.0,reqInfo,"
and do i actually purchase those tickets at the station or d... on the train or
",closed-alternative,time-fare-journey,positive,,,
18,45,A,q-yn,107.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
18,59,A,q-yn,132.0,reqDirect,"
do you want to book the return or leave the return journey open
",closed-alternative,fare-departure-preference-booking-journey,positive,,,
19,31,A,q-yn,51.0,reqInfo,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
20,3,A,q-yn,8.0,reqInfo,"
do you want to book a ticket or are you just enquiring  ",closed-alternative,time-preference-booking-journey,positive,overlap,type,start
21,31,A,q-yn,55.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
22,46,B,q-yn,103.0,reqInfo,"
was it a twin a value twin or something ",closed-alternative,,positive,pause,,
23,81,A,q-yn,127.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-enum-seat,positive,,,
24,47,A,q-yn,81.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
25,29,A,q-yn,45.0,reqDirect,"
would you like smoking or non smoking on your outward service
",closed-alternative,preference-seat,positive,,,
25,43,A,q-yn,74.0,reqInfo,"
is it a private card or a business card
",closed-alternative,,positive,,,
26,45,A,q-yn,95.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
27,29,A,q-yn,54.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
28,62,B,q-yn,114.0,reqInfo,"
same day or can you do for a week
",closed-alternative,day,positive,,,
28,99,A,q-yn,175.0,reqInfo,"
and ",closed-alternative,seat,positive,pause,length,2s
29,45,A,q-yn,86.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
33,37,A,q-yn,60.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
34,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
35,109,A,q-yn,184.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
35,154,B,q-yn,257.0,reqInfo,"
do you take Diner's or American Express or anything like that
",closed-alternative,,positive,,,
