DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
7,11,A,decl,22.0,hold,"
if you'd just like to hold the line a moment please
",condition-manage,hold,positive,,,
8,13,A,decl,17.0,hold,"
if you just bear with me a moment sir ",condition-manage,hold,positive,pause,length,3s
8,50,B,decl,85.0,hold,"
if you just hold on a second
",condition-manage,hold,positive,,,
15,13,A,decl,32.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
15,41,A,decl,76.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
15,76,B,decl,138.0,hold,"
if you hold on
",condition-manage,hold,positive,,,
18,5,A,decl,13.0,hold,"
if you just bear with me ",condition-manage,hold,positive,backchannel,content,yes
22,55,A,decl,122.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
26,31,A,decl,61.0,hold,"
if you just like to bear with me a moment please
",condition-manage,hold,positive,,,
27,25,A,decl,39.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
