DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
42,41,A,decl,74.0,elab,"
the price... the price increased from 27th of September ",decl-disflu,month-date,positive,punc,type,stop
44,37,A,decl,91.0,state,"
we we don't actually have a database as such ",decl-disflu,,negative,punc,type,stop
47,25,A,decl,42.0,answer-state,"
",decl-disflu,enum-fare-railcard,positive,pause,,
47,25,A,decl,42.0,answer-state,"
",decl-disflu,enum-fare-railcard,positive,pause,,
47,25,A,decl,42.0,answer-state,"
",decl-disflu,enum-fare-railcard,positive,punc,type,stop
50,31,A,frag,63.0,elab-refer,"
they ",decl-disflu,enum,positive,pause,,
50,31,A,frag,63.0,elab-refer,"
they ",decl-disflu,enum,positive,pause,,
50,31,A,frag,63.0,elab-refer,"
they ",decl-disflu,enum,positive,punc,type,level
52,12,B,decl,20.0,confirm-state,"
i... it's just a Single ticket ",decl-disflu,fare-journey,positive,punc,type,stop
54,23,A,decl,37.0,state,"
the 17:25 returns arrives in Euston at 19:08 ",decl-disflu,location-time-enum-arrival,positive,punc,type,stop
57,23,A,decl,49.0,state,"
it's like an a reduced rate ticket then to your Walk-on fare ",decl-disflu,fare-journey,positive,punc,type,stop
57,49,A,decl,113.0,state,"
the twoso... ",decl-disflu,availability-journey,negative,pause,,
57,49,A,decl,113.0,state,"
the twoso... ",decl-disflu,availability-journey,negative,punc,type,stop
61,18,B,decl,32.0,state,"
and it it's a through train ",decl-disflu,,positive,punc,type,stop
61,38,B,decl,92.0,state,"
i i've done this before ",decl-disflu,time,positive,punc,type,stop
61,50,B,decl,129.0,state,"
and it's it's a long good journey ",decl-disflu,journey,positive,punc,type,stop
62,12,B,decl,23.0,direct-state,"
it's it's about em em well erm 6 ",decl-disflu,enum,positive,punc,type,stop
62,14,B,decl,27.0,state,"
and erm ",decl-disflu,time-to-location,positive,pause,,
62,14,B,decl,27.0,state,"
and erm ",decl-disflu,time-to-location,positive,pause,,
62,14,B,decl,27.0,state,"
and erm ",decl-disflu,time-to-location,positive,punc,type,stop
62,102,B,decl,181.0,answer-state,"
it it's it's er the 10th of er 98 ",decl-disflu,,positive,punc,type,stop
67,12,B,decl,21.0,elab-expressWish,"
i do i do want to book ",decl-disflu,booking,positive,punc,type,stop
67,40,B,frag,66.0,refer,"
the Northern the Northern Line train ",decl-disflu,,positive,unclear,length,2 syllables
67,40,B,frag,66.0,refer,"
the Northern the Northern Line train ",decl-disflu,,positive,punc,type,stop
67,40,B,decl,67.0,state,"
they they do some cheap one as well ",decl-disflu,fare-number,positive,punc,type,stop
67,41,A,decl,69.0,answer-state,"
the ",decl-disflu,fare-journey-enum-day,positive,overlap,type,end
67,41,A,decl,69.0,answer-state,"
the ",decl-disflu,fare-journey-enum-day,positive,punc,type,stop
70,44,B,frag,74.0,answer-refer,"
Su... Sunday the 18th ",decl-disflu,day,positive,punc,type,stop
