DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,frag,2.0,identifySelf,"
Virgin trainline Sandra speaking
",deixis,intro,positive,,,
1,15,A,frag,20.0,confirm,"
from Birmingham International
",deixis,location-from,positive,,,
1,16,B,frag,21.0,correct,"
New Street
",deixis,,positive,,,
1,17,A,frag,23.0,correctSelf,"
Birmingham New Street
",deixis,location,positive,,,
1,17,A,frag,26.0,inform,"
arriving at 9 05 in Euston
",deixis,location-time-arrival,positive,,,
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,length,7s
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,,
1,29,A,frag,49.0,refer,"
then on the return
",deixis,fare,positive,,,
1,33,A,frag,65.0,confirm,"
on the eighth October
",deixis,month,positive,,,
1,33,A,frag,67.0,confirm,"
arriving in Euston at 9 05
",deixis,location-time-arrival,positive,,,
1,41,A,frag,78.0,confirm,"
on the 8th again ",deixis,,positive,pause,length,2s
1,41,A,frag,79.0,confirm,"
departing 17 15
",deixis,departure-time,positive,,,
1,45,A,frag,85.0,refer,"
with the standard open single
",deixis,fare,positive,,,
1,64,B,frag,117.0,answ,"
number 1 3 5
",deixis,enum-number,positive,,,
1,83,A,frag,138.0,inform,"
{letter}%13 for %alpha the number 5 ",deixis,spell-name,positive,pause,,
1,85,A,decl,140.0,inform,"
and 40 pounds exactly's been debited from your debit card
",deixis,fare-booking-creditcard,positive,,,
2,1,A,frag,2.0,identifySelf,"
Virgin train line Sandra speaking
",deixis,intro,positive,,,
2,12,B,frag,15.0,complete,"
",deixis,month,positive,overlap,type,start
2,16,B,frag,22.0,echo,"
every hour ",deixis,time,positive,pause,,
2,17,A,frag,24.0,inform,"
arriving at 17 30
",deixis,time-arrival,positive,,,
2,23,A,frag,31.0,inform,"
on the half hour
",deixis,time,positive,,,
3,1,A,frag,2.0,identifySelf,"
Virgin trainlines Sandra speaking
",deixis,intro,positive,,,
3,35,A,frag,44.0,inform,"
arriving in Macclesfield at 16 03
",deixis,time-arrival,positive,,,
3,103,A,frag,141.0,confirm,"
returning Monday the fifth of October departing at 14 hundred
",deixis,time-departure-month-day-return-date,positive,,,
3,105,A,frag,143.0,confirm,"
",deixis,to-location-from,positive,pause,,
