DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,26,B,decl,63.0,reqConfirm,"
",exists-query,,negative,pause,length,3s
39,26,B,decl,63.0,reqConfirm,"
",exists-query,,negative,punc,type,query
47,31,A,frag,50.0,reqInfo,"
and is there any seat prefrence ",exists-query,location,positive,punc,type,query
47,42,B,frag,68.0,reqInfo,"
is there any faster one ",exists-query,number-location,positive,punc,type,query
47,86,B,decl,164.0,reqConfirm,"
there's nothing else ",exists-query,,negative,punc,type,query
48,50,B,q-yn,83.0,reqOpt,"
can i have the 19:09 then as well then on the Wednesday ",exists-query,enum-day,positive,punc,type,query
60,29,A,frag,52.0,reqInfo,"
is there any seat preference ",exists-query,booking-location-seat,positive,punc,type,query
61,47,A,frag,110.0,reqInfo,"
is there any seat preference ",exists-query,booking-location-seat,positive,punc,type,query
61,50,B,q-yn,131.0,direct-reqInfo,"
could i have front facing from Taunton to erm ",exists-query,location-from-seat,positive,punc,type,query
62,31,A,frag,65.0,reqInfo,"
",exists-query,booking-location-seat,positive,pause,,
62,31,A,frag,65.0,reqInfo,"
",exists-query,booking-location-seat,positive,punc,type,query
64,24,B,q-yn,55.0,direct-reqInfo,"
can you do can is there availability on that ",exists-query,availability-number-location,positive,pause,,
64,24,B,q-yn,55.0,direct-reqInfo,"
can you do can is there availability on that ",exists-query,availability-number-location,positive,punc,type,query
