DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
37,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
38,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
39,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
39,2,B,frag,5.0,greet,"
hi ",greet-opening,,,punc,type,level
40,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
41,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
42,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
43,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
44,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
44,2,B,frag,5.0,greet,"
hi ",greet-opening,,,punc,type,stop
45,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
46,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
47,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
48,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
49,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
50,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
51,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
52,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
54,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
55,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
55,2,B,frag,5.0,greet,"
hi ",greet-opening,,,punc,type,stop
55,2,B,frag,6.0,greet,"
good afternoon
",greet-opening,,,,,
56,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
57,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
58,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
59,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
60,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
61,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
62,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
63,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
63,2,B,frag,6.0,greet,"
good morning ",greet-opening,,,punc,type,stop
64,1,A,frag,1.0,greet,"
good morning ",greet-opening,,,punc,type,stop
65,1,A,frag,1.0,greet,"
good morning ",greet-opening,,,punc,type,stop
66,1,A,frag,1.0,greet,"
good morning ",greet-opening,,,punc,type,stop
67,1,A,frag,1.0,greet,"
good morning ",greet-opening,,,punc,type,stop
68,1,A,frag,1.0,greet,"
good morning ",greet-opening,,,punc,type,stop
69,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
70,1,A,frag,1.0,greet,"
good afternoon ",greet-opening,,,punc,type,stop
70,2,B,frag,5.0,greet,"
hi ",greet-opening,,,punc,type,stop
70,110,B,frag,208.0,greet,"
hi ",greet-opening,,,punc,type,stop
