DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,pause,,
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,pause,,
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,anonym,type,letter
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,overlap,type,start
53,64,B,decl,170.0,state,"
which is ",open-decl,,positive,punc,type,stop
67,19,A,q-wh,31.0,reqInfo,"
and what time around ",open-decl,time,positive,punc,type,stop
