DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
1,9,A,q-wh,14.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
1,11,A,q-wh,16.0,reqInfo,"
and what date is it you're travelling out
",open,date-journey,positive,,,
1,13,A,frag,18.0,reqInfo,"
",open,time-departure,positive,pause,,
1,19,A,q-wh,28.0,reqInfo,"
and when is it you're returning
",open,time-return,positive,,,
1,47,A,frag,97.0,reqInfo,"
your surname please
",open,name,positive,,,
1,49,A,frag,99.0,reqInfo,"
",open,name,positive,pause,,
1,51,A,frag,101.0,reqInfo,"
and your title
",open,name,positive,,,
1,53,A,frag,103.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
1,59,A,frag,109.0,reqInfo,"
",open,creditcard-address,positive,pause,length,2s
2,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
2,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
2,9,A,q-wh,12.0,reqInfo,"
and what date is it you're travelling
",open,date-journey,positive,,,
2,13,A,q-wh,17.0,reqInfo,"
departing at what time from London Euston
",open,time-location-departure-from,positive,,,
2,19,A,q-wh,27.0,reqInfo,"
when are you returning
",open,time-return,positive,,,
2,21,A,frag,29.0,reqInfo,"
departing at what time
",open,time-departure,positive,,,
3,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
3,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
3,11,A,q-wh,14.0,reqInfo,"
and what date is it you're departing
",open,departure-date,positive,,,
3,15,A,q-wh,18.0,reqDirect,"
",open,time-preference-from,positive,pause,,
3,17,A,q-wh,20.0,reqDirect,"
",open,time-preference,positive,pause,length,7s
3,53,A,frag,71.0,reqInfo,"
your surname please
",open,name,positive,,,
3,55,A,q-wh,73.0,reqInfo,"
and how do you spell that
",open,,positive,,,
3,57,A,frag,75.0,reqInfo,"
",open,name,positive,pause,,
3,59,A,frag,78.0,reqInfo,"
your contact telephone number please
",open,telephone-number,positive,,,
3,67,A,frag,90.0,reqInfo,"
and your postcode to where your credit card is registered to
",open,creditcard,positive,,,
3,73,A,q-wh,99.0,reqInfo,"
what type of credit card is that you hold
",open,creditcard,positive,,,
4,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
4,13,A,q-wh,23.0,reqDirect,"
what time around would you like to depart
",open,time-preference,positive,,,
4,18,B,q-wh,42.0,reqInfo,"
how much is the ticket
",open,journey,positive,,,
4,30,B,q-wh,70.0,reqInfo,"
how much is that
",open,,positive,,,
4,69,A,frag,159.0,reqInfo,"
your surname
",open,name,positive,,,
4,71,A,frag,161.0,reqInfo,"
and your initial
",open,name,positive,,,
4,73,A,frag,163.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
4,79,A,frag,169.0,reqInfo,"
and your postcode to where your credit card is registered to
",open,creditcard-address,positive,,,
4,87,A,q-wh,178.0,reqInfo,"
and what type of credit card is that you hold
",open,creditcard,positive,,,
5,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
5,5,A,q-wh,9.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
5,13,A,q-wh,18.0,reqInfo,"
what date is it you're travelling
",open,date-journey,positive,,,
5,17,A,q-wh,22.0,reqInfo,"
departing from Euston at what time
",open,time-location-departure-from,positive,,,
5,21,A,q-wh,28.0,reqInfo,"
when is it you're returning
",open,time-return,positive,,,
5,29,A,q-wh,43.0,reqInfo,"
",open,time-return,positive,pause,length,5s
6,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
6,7,A,q-wh,10.0,reqInfo,"
and how many people are travelling
",open,number-journey,positive,,,
6,9,A,q-wh,12.0,reqDirect,"
and what date you'd like to travel out on
",open,preference-date-journey,positive,,,
6,11,A,q-wh,14.0,reqInfo,"
departing Preston at what time
",open,time-location-departure,positive,,,
6,13,A,q-wh,16.0,reqDirect,"
",open,time-preference,positive,pause,length,2s
