DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
2,16,B,decl,23.0,express-opinion,"
and that'll be the 14 50 i think then
",opinion,enum,positive,,,
4,50,B,decl,113.0,express-opinion,"
erm ",opinion,booking,positive,pause,length,3s
4,50,B,decl,116.0,express-opinion,"
and i think they're coming back on Sunday the eleventh at 5 o'clock ",opinion,time-day,positive,pause,,
14,50,B,frag,86.0,expressOpinion,"
sat nearer nearer to the an exit door i suppose would be the best one
",opinion,number,positive,,,
17,14,B,decl,20.0,answElab,"
i think it's the tenth anyway
",opinion,,positive,,,
23,18,B,frag,26.0,direct,"
er ",opinion,enum,positive,pause,,
23,62,B,decl,95.0,express-opinion,"
erm ",opinion,,positive,pause,,
23,62,B,decl,95.0,express-opinion,"
erm ",opinion,,positive,pause,,
24,14,B,decl,22.0,answElab,"
erm i think it's the 17 20 leaves Newcastle ",opinion,departure-time,positive,pause,,
26,24,B,decl,41.0,express-opinion,"
it's a new one i think with the new timetable
",opinion,number,positive,,,
26,38,B,decl,80.0,express-opinion,"
i think ",opinion,journey,positive,overlap,type,end
27,18,B,decl,30.0,express-opinion,"
i think it's the eighth
",opinion,,positive,,,
27,36,B,decl,78.0,answElab,"
 i think so
",opinion,,positive,,,
29,24,B,decl,45.0,express-opinion,"
i think somebody did mention it when i enquired the other day actually ",opinion,day-time,positive,pause,,
32,44,B,decl,75.0,inform,"
i do ",opinion,,positive,pause,,
34,24,B,decl,41.0,express-opinion,"
and i think it's the same train just stops at lots of ",opinion,time,positive,pause,,
34,26,B,frag,49.0,expressOpinion,"
i guess the go... thing i was worrying about on the Sunday
",opinion,,positive,,,
35,132,B,decl,227.0,inform,"
i think this is her ",opinion,,positive,overlap,type,start
