DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
7,16,B,frag,29.0,ackn,"
mm
",partial-backchannel,,positive,,,
9,66,B,frag,114.0,ackn,"
mhm
",partial-backchannel,booking,positive,,,
14,14,B,frag,24.0,ackn,"
mhm
",partial-backchannel,,positive,,,
14,40,B,frag,69.0,ackn,"
mhm
",partial-backchannel,,positive,,,
14,48,B,frag,82.0,ackn,"
mhm
",partial-backchannel,,positive,,,
16,54,B,frag,101.0,ackn,"
mhm
",partial-backchannel,,positive,,,
16,104,B,frag,171.0,ackn,"
mhm
",partial-backchannel,,positive,,,
17,18,B,frag,25.0,ackn,"
mhm
",partial-backchannel,,positive,,,
17,26,B,frag,37.0,ackn,"
mm
",partial-backchannel,,positive,,,
17,28,B,frag,40.0,ackn,"
mhm
",partial-backchannel,,positive,,,
17,40,B,frag,59.0,ackn,"
mhm
",partial-backchannel,,positive,,,
17,52,B,frag,79.0,ackn,"
mhm
",partial-backchannel,,positive,,,
22,30,B,frag,67.0,ackn,"
mhm
",partial-backchannel,,positive,,,
24,16,B,frag,25.0,ackn,"
mhm
",partial-backchannel,,positive,,,
24,24,B,frag,41.0,ackn,"
mhm
",partial-backchannel,,positive,,,
24,82,B,frag,146.0,ackn,"
mhm
",partial-backchannel,,positive,,,
