DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,10,B,frag,15.0,answ,"
one
",partial-closure,number,positive,,,
1,50,B,frag,100.0,answ,"
{letter}%11
",partial-closure,spell,positive,,,
1,52,B,frag,102.0,answ,"
Doctor
",partial-closure,,positive,,,
2,20,B,frag,28.0,answ,"
er Monday
",partial-closure,day,positive,,,
3,8,B,frag,11.0,answ,"
two
",partial-closure,number,positive,,,
3,58,B,frag,76.0,answ,"
er {letter}%9
",partial-closure,spell,positive,,,
4,72,B,frag,162.0,answ,"
{letter}%8
",partial-closure,spell,positive,,,
6,8,B,frag,11.0,answ,"
one
",partial-closure,number,positive,,,
7,36,B,frag,55.0,answ,"
Mr
",partial-closure,,positive,,,
8,40,B,frag,70.0,answ,"
{letter}%5
",partial-closure,spell,positive,,,
11,48,B,frag,90.0,answ,"
{letter}%22
",partial-closure,spell,positive,,,
11,74,B,frag,140.0,answ,"
Visa
",partial-closure,creditcard,positive,,,
12,8,B,frag,11.0,answ,"
one
",partial-closure,number,positive,,,
12,10,B,frag,13.0,answ,"
tomorrow
",partial-closure,day,positive,,,
12,142,B,frag,249.0,answ,"
",partial-closure,creditcard,positive,pause,,
13,8,B,frag,11.0,answ,"
four
",partial-closure,number,positive,,,
13,90,B,frag,137.0,answ,"
Mrs
",partial-closure,,positive,,,
14,2,B,frag,4.0,direct,"
er Wrexham
",partial-closure,location,positive,,,
14,18,B,frag,29.0,answ,"
one
",partial-closure,number,positive,,,
14,20,B,frag,31.0,answ,"
tomorrow
",partial-closure,day,positive,,,
14,46,B,frag,77.0,direct,"
er non
",partial-closure,,positive,,,
14,72,B,frag,122.0,answ,"
{letter}%17
",partial-closure,spell,positive,,,
14,74,B,frag,124.0,answ,"
Mrs
",partial-closure,,positive,,,
17,14,B,frag,18.0,answ,"
tenth
",partial-closure,,positive,,,
18,52,B,frag,115.0,answ,"
Miss
",partial-closure,,positive,,,
19,8,B,frag,12.0,answ,"
2
",partial-closure,enum,positive,,,
21,46,B,frag,78.0,answ,"
{letter}%20
",partial-closure,spell,positive,,,
21,48,B,frag,80.0,answ,"
Miss
",partial-closure,,positive,,,
22,6,B,frag,10.0,answ,"
2
",partial-closure,enum,positive,,,
23,6,B,frag,9.0,answ,"
7
",partial-closure,enum,positive,,,
23,54,B,frag,85.0,answ,"
Mrs
",partial-closure,,positive,,,
25,44,B,frag,75.0,answ,"
er private
",partial-closure,,positive,,,
26,58,B,frag,147.0,answ,"
er {surname}%17%21%3%5%5%22%3
",partial-closure,name,positive,,,
26,62,B,frag,151.0,answ,"
Mrs
",partial-closure,,positive,,,
27,62,B,frag,118.0,answ,"
Mrs
",partial-closure,,positive,,,
28,44,B,frag,82.0,answ,"
Saturday
",partial-closure,day,positive,,,
29,30,B,frag,65.0,thank,"
thankyou
",partial-closure,,positive,,,
32,18,B,frag,31.0,answ,"
two
",partial-closure,number,positive,,,
33,6,B,frag,9.0,answ,"
one
",partial-closure,number,positive,,,
35,138,B,frag,238.0,answ,"
Miss
",partial-closure,,positive,,,
