DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,20,B,frag,33.0,elab-refer,"
on the em 17:15 ",partial-decl,,positive,punc,type,stop
36,41,A,frag,81.0,refer,"
on the 8th again ",partial-decl,,positive,punc,type,stop
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,pause,,
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
36,83,A,frag,142.0,refer,"
",partial-decl,number-enum,positive,punc,type,stop
37,23,A,frag,35.0,refer,"
on the half hour ",partial-decl,time,positive,punc,type,stop
38,2,B,frag,6.0,direct-refer,"
from Macclesfield to London Euston return ",partial-decl,location-to-fare-from,positive,punc,type,stop
38,16,B,frag,23.0,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
38,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,pause,,
38,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,punc,type,stop
38,99,A,frag,148.0,refer,"
seat number 47 and 48 ",partial-decl,number-enum,positive,punc,type,stop
38,105,A,frag,159.0,refer,"
",partial-decl,to-location-from,positive,pause,,
38,105,A,frag,159.0,refer,"
",partial-decl,to-location-from,positive,punc,type,stop
39,35,A,frag,80.0,confirm-refer,"
in ",partial-decl,time,positive,overlap,type,end
39,35,A,frag,80.0,confirm-refer,"
in ",partial-decl,time,positive,punc,type,stop
40,2,B,frag,6.0,direct-refer,"
from Macclesfield to London Euston return ",partial-decl,location-to-fare-from,positive,punc,type,stop
40,16,B,frag,23.0,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
40,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,pause,,
40,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,punc,type,stop
40,99,A,frag,148.0,refer,"
seat number 47 and 48 ",partial-decl,number-enum,positive,punc,type,stop
40,105,A,frag,159.0,refer,"
",partial-decl,to-location-from,positive,pause,,
40,105,A,frag,159.0,refer,"
",partial-decl,to-location-from,positive,punc,type,stop
41,14,B,frag,20.0,direct-state,"
leaving erm ",partial-decl,enum-location-day-departure,positive,pause,,
41,14,B,frag,20.0,direct-state,"
leaving erm ",partial-decl,enum-location-day-departure,positive,punc,type,stop
41,25,A,frag,41.0,state,"
arriving Rugby at 16:05 ",partial-decl,location-time-arrival,positive,backchannel,content,yeah
41,25,A,frag,41.0,state,"
arriving Rugby at 16:05 ",partial-decl,location-time-arrival,positive,punc,type,stop
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
41,87,A,frag,127.0,refer,"
",partial-decl,number-enum,positive,punc,type,stop
43,2,B,frag,6.0,direct-refer,"
from Nuneaton to Euston ",partial-decl,location-to-from,positive,punc,type,stop
43,31,A,frag,61.0,refer,"
seat number 33 ",partial-decl,number,positive,punc,type,stop
43,35,A,frag,72.0,refer,"
seat number 15 ",partial-decl,number,positive,backchannel,content,right
43,35,A,frag,72.0,refer,"
seat number 15 ",partial-decl,number,positive,punc,type,stop
44,13,A,frag,33.0,correctSelf,"
from Euston ",partial-decl,location-from,positive,backchannel,content,yes
44,13,A,frag,33.0,correctSelf,"
from Euston ",partial-decl,location-from,positive,punc,type,stop
44,16,B,frag,40.0,elab-refer,"
on the 8th ",partial-decl,,positive,punc,type,stop
44,51,A,frag,120.0,refer,"
seat number 6 ",partial-decl,number,positive,punc,type,stop
44,63,A,frag,140.0,refer,"
seat number 8 ",partial-decl,number,positive,punc,type,stop
45,14,B,frag,25.0,echo-confirm,"
of October ",partial-decl,month,positive,punc,type,stop
45,18,A,frag,32.0,answer-echo-refer,"
in ",partial-decl,time,positive,overlap,type,end
45,18,A,frag,32.0,answer-echo-refer,"
in ",partial-decl,time,positive,punc,type,stop
45,19,A,frag,39.0,state,"
arriving 18:51 ",partial-decl,arrival,positive,punc,type,stop
46,2,B,frag,8.0,state,"
leaving Birmingham New Street on Saturday and returning on the Sunday from London Euston ",partial-decl,location-day-from-departure-return,positive,punc,type,stop
