DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,1,A,frag,2.0,refer,"
Virgin Trainline ",partial-frag,,positive,punc,type,level
36,33,A,frag,67.0,refer,"
on the 8th October ",partial-frag,month,positive,punc,type,level
36,45,A,frag,88.0,refer,"
with the Standard Open Single ",partial-frag,fare,positive,punc,type,level
37,1,A,frag,2.0,refer,"
Virgin Trainline ",partial-frag,,positive,punc,type,level
38,103,A,frag,156.0,state,"
returning Monday the 5th of October ",partial-frag,month-date-day-return,positive,punc,type,level
38,107,A,frag,166.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
39,1,A,frag,2.0,refer,"
Virgin Trainline ",partial-frag,,positive,punc,type,level
39,20,B,frag,47.0,elab-refer,"
on that train ",partial-frag,,positive,punc,type,level
39,41,A,frag,90.0,answer-refer,"
",partial-frag,day,positive,pause,length,16s
39,41,A,frag,90.0,answer-refer,"
",partial-frag,day,positive,punc,type,level
39,41,A,frag,93.0,refer,"
and from ",partial-frag,from,positive,pause,,
39,41,A,frag,93.0,refer,"
and from ",partial-frag,from,positive,punc,type,level
39,56,B,frag,136.0,refer,"
and on the 11th ",partial-frag,,positive,punc,type,level
40,103,A,frag,156.0,state,"
returning Monday the 5th of October ",partial-frag,month-date-day-return,positive,punc,type,level
40,107,A,frag,166.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
41,50,B,frag,76.0,refer,"
Bridge Cottage ",partial-frag,,positive,punc,type,level
43,25,A,frag,48.0,refer,"
with that ticket ",partial-frag,journey,positive,punc,type,level
43,62,B,frag,125.0,refer,"
Fanshawe Cottage ",partial-frag,,positive,punc,type,level
44,49,A,frag,115.0,refer,"
on the 15:05 ",partial-frag,,positive,punc,type,level
44,68,B,frag,149.0,refer,"
",partial-frag,,positive,pause,,
44,68,B,frag,149.0,refer,"
",partial-frag,,positive,punc,type,level
44,89,A,frag,180.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
45,20,B,frag,41.0,refer,"
",partial-frag,time,positive,pause,,
45,20,B,frag,41.0,refer,"
",partial-frag,time,positive,unclear,length,5 syllables
45,20,B,frag,41.0,refer,"
",partial-frag,time,positive,punc,type,level
45,33,A,frag,64.0,refer,"
on that outward service on the 16:20 ",partial-frag,,positive,punc,type,level
46,15,A,frag,31.0,refer,"
for the Virgin Value fare at 14 pounds return ",partial-frag,fare-enum,positive,punc,type,level
46,43,A,frag,95.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
47,14,B,frag,22.0,refer-abandon,"
Stockport departing er er ",partial-frag,location-departure,positive,punc,type,level
47,81,A,frag,149.0,refer,"
with the Super Advance ",partial-frag,fare,positive,punc,type,level
47,121,A,frag,242.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
53,2,B,frag,8.0,state,"
leaving Friday ",partial-frag,day-departure,positive,punc,type,level
53,5,A,frag,20.0,refer,"
with the Saver ticket ",partial-frag,fare-journey,positive,punc,type,level
53,101,A,frag,225.0,refer,"
at Preston ",partial-frag,location-time,positive,punc,type,level
54,79,A,frag,124.0,refer,"
",partial-frag,,positive,anonym,type,letter
54,79,A,frag,124.0,refer,"
",partial-frag,,positive,anonym,type,alpha
54,79,A,frag,124.0,refer,"
",partial-frag,,positive,punc,type,level
55,13,A,frag,30.0,refer,"
for the 19 pounds Virgin Value fare ",partial-frag,fare-enum,positive,punc,type,level
57,21,A,frag,41.0,refer,"
with an advance purchase ticket ",partial-frag,fare-journey,positive,punc,type,level
58,43,A,frag,80.0,refer,"
with the Super Saver return ",partial-frag,fare,positive,punc,type,level
59,21,A,frag,45.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
59,59,A,frag,145.0,refer,"
departing 12:22 ",partial-frag,departure,positive,punc,type,level
60,10,B,frag,15.0,refer,"
from Euston ",partial-frag,location-from,positive,punc,type,level
60,23,A,frag,36.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
62,18,B,frag,34.0,answer-refer,"
and then on the Thursday ",partial-frag,day,positive,punc,type,level
63,127,A,frag,251.0,refer,"
with this ticket ",partial-frag,journey,positive,punc,type,level
63,166,B,frag,307.0,refer,"
",partial-frag,,positive,pause,,
63,166,B,frag,307.0,refer,"
",partial-frag,,positive,anonym,type,street
63,166,B,frag,307.0,refer,"
",partial-frag,,positive,punc,type,level
68,47,A,frag,87.0,refer,"
with that ticket ",partial-frag,journey,positive,punc,type,level
68,49,A,frag,94.0,refer,"
with the Virgin Value Business ",partial-frag,,positive,backchannel,content,yes
68,49,A,frag,94.0,refer,"
with the Virgin Value Business ",partial-frag,,positive,punc,type,level
70,61,A,frag,105.0,refer,"
on the Sunday ",partial-frag,day,positive,backchannel,content,m
70,61,A,frag,105.0,refer,"
on the Sunday ",partial-frag,day,positive,punc,type,level
70,180,B,frag,322.0,refer,"
and then on Sunday the 18th ",partial-frag,day,positive,punc,type,level
