DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
38,45,A,q-yn,67.0,reqDirect,"
do you want me to book this ticket ",preference2-closed-query,booking-journey,positive,punc,type,query
38,47,A,q-yn,69.0,reqDirect,"
",preference2-closed-query,fare-enum,positive,pause,,
38,47,A,q-yn,69.0,reqDirect,"
",preference2-closed-query,fare-enum,positive,punc,type,query
40,45,A,q-yn,67.0,reqDirect,"
do you want me to book this ticket ",preference2-closed-query,booking-journey,positive,punc,type,query
40,47,A,q-yn,69.0,reqDirect,"
",preference2-closed-query,fare-enum,positive,pause,,
40,47,A,q-yn,69.0,reqDirect,"
",preference2-closed-query,fare-enum,positive,punc,type,query
48,17,A,q-yn,29.0,reqDirect,"
do you want to book the tickets just now ",preference2-closed-query,booking-journey,positive,punc,type,query
57,55,A,q-yn,131.0,reqDirect,"
do you want to start on the Friday again ",preference2-closed-query,day,positive,punc,type,query
63,59,A,q-yn,136.0,reqDirect,"
would you like me to book for the return ",preference2-closed-query,booking-fare,positive,punc,type,query
63,211,A,q-yn,367.0,reqDirect,"
did you want to repeat that number back to me ",preference2-closed-query,number,positive,punc,type,query
64,78,B,q-yn,146.0,reqDirect,"
do you want that now ",preference2-closed-query,,positive,punc,type,query
70,107,A,q-yn,201.0,reqDirect,"
",preference2-closed-query,booking,positive,overlap,type,end
70,107,A,q-yn,201.0,reqDirect,"
",preference2-closed-query,booking,positive,punc,type,query
