DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
37,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
38,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
38,15,A,q-wh,21.0,reqDirect,"
",preference2-open-query,time-from,positive,pause,,
38,15,A,q-wh,21.0,reqDirect,"
",preference2-open-query,time-from,positive,punc,type,query
38,17,A,q-wh,24.0,reqDirect,"
",preference2-open-query,time,positive,pause,length,7s
38,17,A,q-wh,24.0,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
39,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
39,13,A,q-wh,25.0,reqDirect,"
what time around would you like to depart ",preference2-open-query,time,positive,punc,type,query
40,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
40,15,A,q-wh,21.0,reqDirect,"
",preference2-open-query,time-from,positive,pause,,
40,15,A,q-wh,21.0,reqDirect,"
",preference2-open-query,time-from,positive,punc,type,query
40,17,A,q-wh,24.0,reqDirect,"
",preference2-open-query,time,positive,pause,length,7s
40,17,A,q-wh,24.0,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
41,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
41,9,A,q-wh,13.0,reqDirect,"
and what date you'd like to travel out on ",preference2-open-query,journey-date,positive,punc,type,query
41,13,A,q-wh,18.0,reqDirect,"
",preference2-open-query,time,positive,pause,length,2s
41,13,A,q-wh,18.0,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
42,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
42,13,A,q-wh,31.0,reqDirect,"
what time do you like to depart on ",preference2-open-query,time-day,positive,overlap,type,start
42,13,A,q-wh,31.0,reqDirect,"
what time do you like to depart on ",preference2-open-query,time-day,positive,punc,type,query
43,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
43,11,A,q-wh,15.0,reqDirect,"
and what date would you like to travel out ",preference2-open-query,journey-date,positive,punc,type,query
44,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
44,9,A,q-wh,20.0,reqDirect,"
what time do you like to depart ",preference2-open-query,time,positive,punc,type,query
44,15,A,q-wh,37.0,reqDirect,"
",preference2-open-query,time,positive,pause,length,4s
44,15,A,q-wh,37.0,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
44,57,A,q-wh,130.0,reqDirect,"
what was the time on the 8th that you wanted to come back around ",preference2-open-query,time,positive,punc,type,query
45,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
45,9,A,q-wh,16.0,reqDirect,"
and what date would you like to travel ",preference2-open-query,journey-date,positive,punc,type,query
45,25,A,q-wh,49.0,reqDirect,"
and when would you like to return ",preference2-open-query,time,positive,punc,type,query
46,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
46,13,A,q-wh,27.0,reqDirect,"
what time do you like to depart from ",preference2-open-query,location-time-from,positive,pause,,
46,13,A,q-wh,27.0,reqDirect,"
what time do you like to depart from ",preference2-open-query,location-time-from,positive,punc,type,query
47,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
47,13,A,q-wh,19.0,reqDirect,"
what time do you like to depart Stockport at ",preference2-open-query,location-time,positive,punc,type,query
47,101,A,q-wh,205.0,reqDirect,"
",preference2-open-query,time,positive,pause,,
47,101,A,q-wh,205.0,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
48,1,A,q-wh,4.0,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
