DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,21,A,frag,34.0,reqConfirm,"
",query,time-arrival,positive,pause,length,7s
36,21,A,frag,34.0,reqConfirm,"
",query,time-arrival,positive,punc,type,query
36,25,A,decl,41.0,reqConfirm,"
and that's for the 8th of October ",query,month-date,positive,punc,type,query
36,49,A,frag,102.0,reqInfo,"
",query,name,positive,pause,,
36,49,A,frag,102.0,reqInfo,"
",query,name,positive,punc,type,query
36,51,A,frag,104.0,reqInfo,"
and your title ",query,name,positive,punc,type,query
36,53,A,frag,106.0,reqInfo,"
and your contact telephone number ",query,telephone-number,positive,punc,type,query
36,59,A,frag,113.0,reqInfo,"
",query,creditcard-address,positive,pause,length,2s
36,59,A,frag,113.0,reqInfo,"
",query,creditcard-address,positive,punc,type,query
36,63,A,frag,119.0,reqInfo,"
",query,number-creditcard,positive,pause,,
36,63,A,frag,119.0,reqInfo,"
",query,number-creditcard,positive,pause,,
36,63,A,frag,119.0,reqInfo,"
",query,number-creditcard,positive,punc,type,query
36,75,A,frag,133.0,reqInfo,"
and the issue number ",query,number,positive,punc,type,query
36,77,A,frag,135.0,reqInfo,"
and the expiry date ",query,creditcard,positive,punc,type,query
37,23,A,decl,36.0,reqConfirm,"
and that's Monday the 5th yeah ",query,day,positive,punc,type,query
37,35,A,decl,60.0,reqInfo,"
you don't want to book at all ",query,booking,negative,punc,type,query
38,13,A,frag,19.0,reqInfo,"
Saturday ",query,day,positive,punc,type,query
38,27,A,frag,39.0,reqConfirm,"
",query,month-date,positive,pause,,
38,27,A,frag,39.0,reqConfirm,"
",query,month-date,positive,punc,type,query
38,29,A,decl,42.0,reqConfirm,"
",query,month-date-day,positive,pause,length,3s
38,29,A,decl,42.0,reqConfirm,"
",query,month-date-day,positive,punc,type,query
38,42,B,frag,62.0,echo-reqConfirm,"
15:52 ",query,,positive,punc,type,query
38,57,A,frag,84.0,reqInfo,"
",query,name,positive,pause,,
38,57,A,frag,84.0,reqInfo,"
",query,name,positive,punc,type,query
