DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,30,B,decl,54.0,appreciate,"
that's fine
",reassurance-appreciate,,positive,,,
1,32,B,decl,62.0,appreciate,"
",reassurance-appreciate,,positive,overlap,type,end
7,24,B,decl,40.0,ackn,"
that's fine
",reassurance-appreciate,,positive,,,
7,78,B,decl,110.0,ackn,"
that's fine
",reassurance-appreciate,,positive,,,
11,70,B,decl,135.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
12,12,B,decl,16.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
12,26,B,decl,41.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
14,115,A,decl,182.0,accept,"
that's fine ",reassurance-appreciate,,positive,pause,,
21,22,B,decl,44.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
23,22,B,decl,33.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
24,56,B,decl,104.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
24,60,B,decl,116.0,accept,"
that's fine yes
",reassurance-appreciate,,positive,,,
24,63,A,decl,122.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
28,123,A,decl,205.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
28,145,A,decl,236.0,accept,"
that's fine sir
",reassurance-appreciate,,positive,,,
28,167,A,decl,262.0,accept,"
that's fine sir
",reassurance-appreciate,,positive,,,
33,32,B,decl,43.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
33,36,B,frag,52.0,accept,"
",reassurance-appreciate,,positive,overlap,type,end
33,50,B,decl,85.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
35,72,B,decl,119.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
35,96,B,frag,157.0,accept,"
yeah that's fine erm
",reassurance-appreciate,,positive,,,
35,124,B,decl,214.0,accept,"
that's fine
",reassurance-appreciate,,positive,,,
