DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,18,B,dm,27.0,confirm-agree,"
that's right ",reassurance-tag,,,punc,type,stop
37,24,B,dm,37.0,confirm-agree,"
that's right
",reassurance-tag,,,,,
41,80,B,dm,118.0,confirm-agree,"
that's right ",reassurance-tag,,,punc,type,stop
46,12,B,dm,26.0,agree,"
",reassurance-tag,,,overlap,type,end
46,12,B,dm,26.0,agree,"
",reassurance-tag,,,punc,type,stop
48,22,B,dm,39.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
48,118,B,dm,188.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
49,22,B,dm,39.0,answer-agree,"
that's right ",reassurance-tag,,,punc,type,stop
49,32,B,dm,62.0,confirm-agree,"
that's right ",reassurance-tag,,,punc,type,stop
50,32,B,dm,67.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
53,66,B,dm,174.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,24,B,dm,38.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,30,B,dm,53.0,confirm-agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,48,B,dm,84.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
56,6,B,dm,13.0,agree,"
",reassurance-tag,,,pause,,
56,6,B,dm,13.0,agree,"
",reassurance-tag,,,punc,type,stop
59,20,B,dm,43.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
61,48,B,dm,119.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
63,156,B,dm,295.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
68,42,B,dm,79.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
68,90,B,dm,161.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
70,77,A,dm,140.0,agree,"
",reassurance-tag,,,pause,,
70,77,A,dm,140.0,agree,"
",reassurance-tag,,,punc,type,stop
