DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,2,B,decl,6.0,direct-state,"
it's from Birmingham to em London Euston please ",request-decl,location-to-from,positive,punc,type,stop
36,36,B,frag,72.0,direct-refer,"
non-smoking ",request-decl,seat,positive,overlap,type,start
36,36,B,frag,72.0,direct-refer,"
non-smoking ",request-decl,seat,positive,punc,type,stop
37,2,B,frag,6.0,direct-refer,"
Euston to Manchester please ",request-decl,location-to,positive,punc,type,stop
37,8,B,frag,13.0,answer-direct-refer,"
just one please ",request-decl,number,positive,punc,type,stop
38,53,A,frag,80.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
38,59,A,frag,88.0,direct-refer,"
your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
38,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,pause,,
38,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,punc,type,stop
39,81,A,imp,186.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
39,87,A,decl,196.0,direct-refer,"
and the number please ",request-decl,number,positive,punc,type,stop
40,53,A,frag,80.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
40,59,A,frag,88.0,direct-refer,"
your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
40,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,pause,,
40,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,punc,type,stop
41,35,A,frag,60.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
41,39,A,frag,65.0,direct-refer,"
and your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
41,49,A,imp,75.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
42,2,B,frag,6.0,direct-refer,"
Wolverhampton to Euston please ",request-decl,location-to,positive,punc,type,stop
42,10,B,decl,19.0,direct-refer,"
and hopefully the business class please ",request-decl,,positive,punc,type,stop
42,53,A,imp,92.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
42,59,A,decl,102.0,direct-refer,"
",request-decl,number-creditcard,positive,pause,length,5s
42,59,A,decl,102.0,direct-refer,"
",request-decl,number-creditcard,positive,punc,type,stop
43,12,B,frag,17.0,direct-refer,"
tomorrow ",request-decl,day,positive,pause,,
43,12,B,frag,17.0,direct-refer,"
tomorrow ",request-decl,day,positive,punc,type,stop
43,28,B,frag,54.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
43,61,A,imp,124.0,direct,"
",request-decl,confirm-address,positive,pause,length,3s
43,61,A,imp,124.0,direct,"
",request-decl,confirm-address,positive,punc,type,stop
44,67,A,imp,147.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
46,45,A,frag,105.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
46,59,A,imp,126.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
46,62,B,frag,132.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
47,30,B,frag,49.0,answer-direct,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
47,114,B,frag,231.0,direct-refer,"
",request-decl,,positive,overlap,type,start
47,114,B,frag,231.0,direct-refer,"
",request-decl,,positive,punc,type,stop
47,116,B,frag,233.0,answer-direct,"
please ",request-decl,,positive,punc,type,stop
47,123,A,frag,250.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
47,137,A,imp,270.0,direct,"
",request-decl,confirm-address,positive,pause,length,2s
47,137,A,imp,270.0,direct,"
",request-decl,confirm-address,positive,punc,type,stop
48,20,B,frag,35.0,direct-refer,"
6:53 please ",request-decl,enum,positive,punc,type,stop
48,60,B,decl,99.0,direct-refer,"
the Wednesday please ",request-decl,day,positive,punc,type,stop
48,66,B,frag,112.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
48,83,A,frag,143.0,direct-refer,"
",request-decl,name,positive,overlap,type,end
48,83,A,frag,143.0,direct-refer,"
",request-decl,name,positive,punc,type,stop
48,99,A,imp,164.0,direct,"
and confirm the address for me please ",request-decl,confirm-address,positive,punc,type,stop
49,67,A,frag,132.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
49,95,A,frag,184.0,direct-refer,"
the postcode please ",request-decl,address,positive,punc,type,stop
49,117,A,frag,213.0,direct-refer,"
the credit card number please ",request-decl,number-creditcard,positive,punc,type,stop
51,40,B,frag,83.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
52,38,B,frag,66.0,confirm-direct,"
please ",request-decl,,positive,punc,type,stop
52,42,B,frag,72.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
52,44,B,frag,76.0,answer-direct-refer,"
by the window please ",request-decl,,positive,punc,type,stop
53,44,B,frag,123.0,answer-direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
54,32,B,frag,57.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
54,37,A,frag,71.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
54,59,A,imp,95.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
56,32,B,frag,62.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
56,57,A,imp,100.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
57,56,B,frag,133.0,elab-direct,"
please ",request-decl,,positive,punc,type,stop
58,61,A,imp,111.0,direct,"
confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
58,71,A,decl,135.0,direct-refer,"
the number across the Visa please ",request-decl,number-creditcard,positive,punc,type,stop
58,82,B,frag,151.0,direct-refer,"
smoking please ",request-decl,seat,positive,punc,type,stop
59,25,A,frag,55.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
59,43,A,imp,88.0,direct,"
",request-decl,confirm-address,positive,pause,length,3s
