DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
42,31,A,frag,57.0,direct--refer,"
your surname please ",request-query,name,positive,punc,type,query
44,33,A,frag,83.0,direct-state,"
",request-query,name,positive,pause,,
44,33,A,frag,83.0,direct-state,"
",request-query,name,positive,punc,type,query
44,48,B,q-yn,114.0,direct-reqInfo,"
",request-query,seat,positive,pause,,
44,48,B,q-yn,114.0,direct-reqInfo,"
",request-query,seat,positive,punc,type,query
48,121,A,q-yn,197.0,direct-reqInfo,"
can you repeat your number again please ",request-query,number,positive,punc,type,query
52,53,A,frag,94.0,direct-refer,"
and your surname please ",request-query,name,positive,punc,type,query
53,61,A,q-yn,164.0,direct-reqInfo,"
can you give me your full address please ",request-query,address,positive,punc,type,query
53,73,A,q-yn,185.0,direct-reqInfo,"
could you give me a contact telephone number please ",request-query,telephone-number,positive,punc,type,query
56,49,A,q-yn,90.0,direct-reqInfo,"
could you give me your contact telephone number please ",request-query,telephone-number,positive,punc,type,query
58,49,A,frag,94.0,direct,"
your surname is please ",request-query,name,positive,punc,type,query
58,55,A,q-yn,102.0,direct-reqInfo,"
can you give me your contact telephone number please ",request-query,telephone-number,positive,punc,type,query
59,29,A,q-yn,62.0,direct-reqInfo,"
could you give me a contact telephone number please ",request-query,telephone-number,positive,punc,type,query
61,57,A,frag,170.0,direct-refer,"
",request-query,name,positive,overlap,type,end
61,57,A,frag,170.0,direct-refer,"
",request-query,name,positive,punc,type,query
62,57,A,frag,127.0,direct-refer,"
",request-query,name,positive,overlap,type,end
62,57,A,frag,127.0,direct-refer,"
",request-query,name,positive,punc,type,query
62,61,A,frag,131.0,direct-refer,"
and your title please ",request-query,name,positive,punc,type,query
62,87,A,frag,164.0,direct-refer,"
and the long number across the Visa please ",request-query,number-creditcard,positive,punc,type,query
63,149,A,frag,288.0,direct-refer,"
your contact telephone number please ",request-query,telephone-number,positive,punc,type,query
63,163,A,q-yn,303.0,direct-reqInfo,"
can you confirm that address for me please ",request-query,confirm-address,positive,punc,type,query
64,57,A,frag,118.0,direct-refer,"
your surname please ",request-query,name,positive,punc,type,query
64,61,A,frag,123.0,direct-refer,"
and your title please ",request-query,name,positive,punc,type,query
70,127,A,frag,241.0,direct-refer,"
and your surname please ",request-query,name,positive,punc,type,query
70,135,A,q-yn,261.0,direct-reqInfo,"
could you give me your contact telephone number please ",request-query,telephone-number,positive,punc,type,query
70,145,A,frag,273.0,direct-refer,"
and that address for me please ",request-query,address,positive,punc,type,query
