DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
42,40,B,dm,69.0,expressSurprise,"
oh right ",tag-decl,,positive,punc,type,stop
44,28,B,frag,72.0,acknowledge,"
oh right ",tag-decl,,positive,vocal,content,laughter
44,28,B,frag,72.0,acknowledge,"
oh right ",tag-decl,,positive,punc,type,stop
46,36,B,dm,79.0,exclaim,"
",tag-decl,,positive,pause,,
49,134,B,frag,242.0,reqConfirm,"
right ",tag-decl,,positive,punc,type,stop
55,21,A,frag,50.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
57,58,B,frag,139.0,acknowledge,"
ok then ",tag-decl,,positive,punc,type,stop
60,44,B,dm,89.0,acknowledge,"
ok then ",tag-decl,,positive,punc,type,stop
61,34,B,dm,77.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,34,B,dm,76.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,34,B,dm,78.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,38,B,dm,92.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,44,B,dm,105.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,66,B,dm,148.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
63,68,B,dm,153.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
67,32,B,decl,53.0,confirm-agree,"
the time is right ",tag-decl,time,positive,punc,type,stop
68,116,B,dm,193.0,acknowledge,"
right ",tag-decl,,positive,overlap,type,end
68,116,B,dm,193.0,acknowledge,"
right ",tag-decl,,positive,punc,type,stop
