DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,24,B,frag,40.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
41,16,B,frag,23.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
41,92,B,frag,135.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
42,12,B,frag,29.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
42,22,B,frag,42.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
42,82,B,frag,133.0,thank,"
thank you very much then ",thank-decl,,positive,punc,type,stop
43,86,B,frag,169.0,confirm-thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
46,52,B,frag,118.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
47,84,B,frag,159.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
47,156,B,frag,295.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
47,158,B,frag,301.0,confirm-thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
48,148,B,frag,237.0,thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
48,150,B,frag,239.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
51,92,B,frag,174.0,thank,"
",thank-decl,,positive,overlap,type,end
51,92,B,frag,174.0,thank,"
",thank-decl,,positive,punc,type,stop
51,118,B,frag,210.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
53,4,B,frag,18.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
53,60,B,frag,162.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
53,112,B,frag,249.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
53,120,B,frag,262.0,confirm-thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
54,88,B,frag,139.0,thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
58,102,B,frag,208.0,thank,"
thank you ",thank-decl,,positive,overlap,type,end
58,102,B,frag,208.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
59,94,B,frag,202.0,thank,"
",thank-decl,,positive,overlap,type,end
59,94,B,frag,202.0,thank,"
",thank-decl,,positive,punc,type,stop
60,46,B,frag,92.0,elab-thank,"
thank you ",thank-decl,,positive,punc,type,stop
62,26,B,frag,48.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
62,84,B,frag,160.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
62,112,B,frag,201.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
62,124,B,frag,216.0,confirm-thank,"
thank you ",thank-decl,,positive,punc,type,stop
62,126,B,frag,223.0,thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
62,127,A,frag,224.0,thank,"
thank ",thank-decl,,positive,overlap,type,start
62,127,A,frag,224.0,thank,"
thank ",thank-decl,,positive,punc,type,stop
62,128,B,frag,225.0,thank,"
thank you now ",thank-decl,,positive,overlap,type,end
62,128,B,frag,225.0,thank,"
thank you now ",thank-decl,,positive,punc,type,stop
63,30,B,frag,66.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
63,228,B,frag,394.0,thank,"
thank ",thank-decl,,positive,overlap,type,start
63,228,B,frag,394.0,thank,"
thank ",thank-decl,,positive,punc,type,stop
63,230,B,frag,396.0,thank,"
thank ",thank-decl,,positive,overlap,type,start
63,230,B,frag,396.0,thank,"
thank ",thank-decl,,positive,punc,type,stop
63,232,B,frag,399.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
63,234,B,frag,401.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
64,30,B,frag,73.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
67,50,B,frag,85.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
68,48,B,frag,92.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
69,56,B,frag,156.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
69,58,B,frag,160.0,thank,"
",thank-decl,,positive,overlap,type,end
69,58,B,frag,160.0,thank,"
",thank-decl,,positive,punc,type,stop
70,60,B,frag,103.0,thank,"
thank you ",thank-decl,,positive,overlap,type,end
70,60,B,frag,103.0,thank,"
thank you ",thank-decl,,positive,punc,type,stop
70,110,B,frag,206.0,thank,"
thank you very much ",thank-decl,,positive,punc,type,stop
70,176,B,frag,313.0,confirm-thank,"
thank you ",thank-decl,,positive,overlap,type,end
70,176,B,frag,313.0,confirm-thank,"
thank you ",thank-decl,,positive,punc,type,stop
