DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,88,B,frag,149.0,thank,"
thanks very much ",thank,,,punc,type,stop
37,36,B,no,61.0,answer-reject,"
no thank you ",thank,,,punc,type,stop
38,117,A,frag,193.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
38,118,B,frag,195.0,thank,"
thanks a lot then ",thank,,,punc,type,stop
39,22,B,frag,51.0,thank,"
thanks ",thank,,,punc,type,stop
40,117,A,frag,192.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
40,118,B,frag,194.0,thank,"
thanks a lot then ",thank,,,punc,type,stop
41,91,A,frag,134.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
47,159,A,frag,302.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
49,135,A,frag,245.0,confirm-thank,"
thank you for calling then ",thank,,,punc,type,stop
50,14,B,frag,37.0,thank,"
thanks ",thank,,,punc,type,stop
50,40,B,frag,84.0,thank,"
thanks ",thank,,,punc,type,stop
51,119,A,frag,211.0,thank,"
thanks ",thank,,,punc,type,stop
52,48,B,frag,85.0,thank,"
thanks ",thank,,,punc,type,stop
53,30,B,frag,79.0,thank,"
thanks ",thank,,,punc,type,stop
55,28,B,frag,66.0,thank,"
thanks very much ",thank,,,punc,type,stop
56,88,B,frag,144.0,elab-thank,"
thanks very much ",thank,,,punc,type,stop
56,89,A,frag,145.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
57,14,B,frag,24.0,thank,"
thanks ",thank,,,overlap,type,end
57,14,B,frag,24.0,thank,"
thanks ",thank,,,punc,type,stop
57,61,A,frag,145.0,thank,"
thanks for calling ",thank,,,punc,type,stop
58,100,B,frag,205.0,elab-thank,"
thanks a lot ",thank,,,punc,type,stop
59,56,B,frag,133.0,thank,"
",thank,,,overlap,type,end
59,56,B,frag,133.0,thank,"
",thank,,,punc,type,stop
61,33,A,frag,74.0,thank,"
thank you for holding there ",thank,,,punc,type,stop
63,221,A,frag,383.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
63,233,A,frag,400.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
65,31,A,frag,61.0,thank,"
thanks for calling now ",thank,,,punc,type,stop
65,32,B,frag,63.0,thank,"
thanks very much ",thank,,,punc,type,stop
67,51,A,frag,86.0,thank,"
thanks for calling ",thank,,,punc,type,stop
68,117,A,frag,197.0,thank,"
thank you for calling now ",thank,,,punc,type,stop
69,18,B,frag,41.0,thank,"
",thank,,,overlap,type,start
69,18,B,frag,41.0,thank,"
",thank,,,punc,type,stop
69,59,A,frag,162.0,thank,"
thanks ",thank,,,overlap,type,end
69,59,A,frag,162.0,thank,"
thanks ",thank,,,punc,type,stop
