DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,17,A,yes,24.0,ackn,"
yeah ",,,,pause,length,10s
1,18,B,yes,27.0,ackn,"
yeah
",,,,,,
1,22,B,yes,31.0,ackn,"
yeah ",,,,pause,,
1,26,B,yes,38.0,ackn,"
yeah
",,,,,,
1,28,B,dm,43.0,ackn,"
right
",,,positive,,,
1,30,B,yes,55.0,ackn,"
yeah ",,,,pause,,
1,32,B,yes,61.0,ackn,"
yeah
",,,,,,
1,32,B,yes,63.0,ackn,"
yeah
",,,,,,
1,34,B,yes,68.0,ackn,"
yeah
",,,,,,
1,40,B,dm,77.0,ackn,"
alright
",,,positive,,,
1,42,B,yes,80.0,ackn,"
yep
",,,,,,
1,44,B,yes,82.0,ackn,"
yep
",,,,,,
1,46,B,dm,95.0,ackn,"
right
",,,positive,,,
1,55,A,dm,105.0,ackn,"
",,,positive,pause,,
1,57,A,dm,107.0,ackn,"
",,,positive,pause,,
1,80,B,dm,135.0,ackn,"
ok
",,,positive,,,
1,82,B,yes,137.0,ackn,"
yeah
",,,,,,
1,84,B,dm,139.0,ackn,"
right
",,,positive,,,
2,4,B,dm,7.0,ackn,"
aha
",,,positive,,,
2,18,B,decl,25.0,ackn,"
that's right
",reassurance,,positive,,,
2,18,B,yes,26.0,ackn,"
yeah
",,,,,,
2,23,A,yes,33.0,ackn,"
yeah
",,,,,,
2,24,B,decl,34.0,ackn,"
that's right yeah
",reassurance,,positive,,,
2,26,B,dm,39.0,ackn,"
ok
",,,positive,,,
2,30,B,dm,46.0,ackn,"
right
",,,positive,,,
2,32,B,dm,48.0,ackn,"
right em
",,,positive,,,
2,36,B,no,55.0,ackn,"
no thank you
",,,,,,
3,14,B,yes,17.0,ackn,"
yes
",,,,,,
3,20,B,yes,24.0,ackn,"
yes
",,,,,,
3,22,B,yes,27.0,ackn,"
yes
",,,,,,
3,26,B,yes,31.0,ackn,"
yes
",,,,,,
3,28,B,yes,33.0,ackn,"
yes
",,,,,,
3,30,B,yes,36.0,ackn,"
yes
",,,,,,
3,32,B,dm,39.0,ackn,"
right ",,,positive,pause,,
3,34,B,yes,43.0,ackn,"
yes
",,,,,,
3,36,B,yes,45.0,ackn,"
",,,,pause,,
3,38,B,yes,48.0,ackn,"
yeah
",,,,,,
3,43,A,yes,55.0,ackn,"
yeah
",,,,,,
3,44,B,dm,56.0,ackn,"
right ok then
",,,positive,,,
3,50,B,yes,64.0,ackn,"
yes
",,,,,,
3,52,B,yes,69.0,ackn,"
yes
",,,,,,
3,61,A,dm,80.0,ackn,"
aha
",,,positive,,,
3,64,B,yes,83.0,ackn,"
yeah
",,,,,,
3,64,B,yes,85.0,ackn,"
yeah
",,,,,,
3,69,A,dm,92.0,ackn,"
",,,positive,pause,,
3,72,B,yes,95.0,ackn,"
yeah
",,,,,,
3,98,B,dm,130.0,ackn,"
right ok
",,,positive,,,
3,100,B,yes,137.0,ackn,"
yes
",,,,,,
3,102,B,yes,140.0,ackn,"
yes
",,,,,,
3,104,B,yes,142.0,ackn,"
yeah
",,,,,,
3,106,B,dm,147.0,ackn,"
right
",,,positive,,,
3,106,B,yes,148.0,ackn,"
yes
",,,,,,
3,108,B,yes,159.0,ackn,"
yes
",,,,,,
3,114,B,yes,167.0,ackn,"
yes
",,,,,,
3,116,B,yes,173.0,ackn,"
yes
",,,,,,
3,118,B,dm,176.0,ackn,"
ok
",,,positive,,,
4,16,B,dm,35.0,ackn,"
oh right
",,,positive,,,
4,17,A,yes,38.0,ackn,"
yeah
",,,,,,
4,18,B,dm,39.0,ackn,"
alright
",,,positive,,,
4,25,A,yes,53.0,ackn,"
yeah
",,,,,,
4,26,B,dm,58.0,ackn,"
",,,positive,pause,,
4,26,B,dm,58.0,ackn,"
",,,positive,pause,,
