DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,17,A,yes,26.0,acknowledge,"
yeah ",,,,punc,type,stop
36,18,B,yes,29.0,acknowledge,"
yeah ",,,,punc,type,stop
36,28,B,dm,47.0,acknowledge,"
right ",,,,punc,type,stop
36,30,B,yes,57.0,acknowledge,"
yeah ",,,,punc,type,stop
36,32,B,yes,65.0,acknowledge,"
yeah ",,,,punc,type,stop
36,34,B,yes,70.0,acknowledge,"
yeah ",,,,punc,type,stop
36,39,A,dm,76.0,acknowledge,"
ok ",tag,,,punc,type,stop
36,40,B,dm,80.0,acknowledge,"
alright ",tag,,,punc,type,stop
36,44,B,yes,85.0,acknowledge,"
yep ",,,,punc,type,stop
36,46,B,dm,97.0,acknowledge,"
right ",,,,punc,type,stop
36,55,A,dm,109.0,acknowledge,"
",,,,pause,,
36,55,A,dm,109.0,acknowledge,"
",,,,punc,type,stop
36,57,A,dm,111.0,acknowledge,"
",,,,pause,,
36,57,A,dm,111.0,acknowledge,"
",,,,punc,type,stop
36,80,B,dm,139.0,acknowledge,"
ok ",tag,,,punc,type,stop
36,82,B,yes,141.0,acknowledge,"
yeah ",,,,punc,type,stop
36,84,B,dm,143.0,acknowledge,"
right ",,,,punc,type,stop
37,26,B,dm,44.0,acknowledge,"
ok ",tag,,,punc,type,stop
37,30,B,dm,51.0,acknowledge,"
right ",,,,punc,type,level
37,32,B,dm,53.0,acknowledge,"
right em
",,,,,,
37,37,A,dm,62.0,acknowledge,"
ok then
",tag,,,,,
38,20,B,yes,30.0,acknowledge,"
yes ",,,,punc,type,level
38,22,B,yes,32.0,acknowledge,"
yes ",,,,punc,type,stop
38,26,B,yes,38.0,acknowledge,"
yes ",,,,punc,type,stop
38,32,B,dm,46.0,acknowledge,"
right
",,,,,,
38,34,B,yes,51.0,acknowledge,"
yes ",,,,punc,type,stop
38,36,B,yes,53.0,acknowledge,"
",,,,pause,,
38,36,B,yes,53.0,acknowledge,"
",,,,punc,type,stop
38,38,B,yes,56.0,acknowledge,"
yeah ",,,,punc,type,stop
38,43,A,yes,63.0,acknowledge,"
yeah ",,,,punc,type,stop
38,44,B,dm,64.0,acknowledge,"
right
",,,,,,
38,44,B,dm,65.0,acknowledge,"
ok then ",tag,,,punc,type,stop
38,50,B,yes,73.0,acknowledge,"
yes ",,,,punc,type,stop
38,52,B,yes,78.0,acknowledge,"
yes ",,,,punc,type,stop
38,61,A,dm,90.0,acknowledge,"
aha ",,,,punc,type,stop
38,64,B,yes,96.0,acknowledge,"
yeah ",,,,punc,type,stop
38,69,A,dm,103.0,acknowledge,"
",,,,pause,,
38,69,A,dm,103.0,acknowledge,"
",,,,punc,type,stop
38,72,B,yes,106.0,acknowledge,"
yeah ",,,,punc,type,stop
38,98,B,dm,143.0,acknowledge,"
right
",,,,,,
38,100,B,yes,152.0,acknowledge,"
yes
",,,,,,
38,102,B,yes,155.0,acknowledge,"
yes
",,,,,,
38,104,B,yes,158.0,acknowledge,"
yeah ",,,,punc,type,stop
38,106,B,dm,163.0,acknowledge,"
right
",,,,,,
38,106,B,yes,164.0,acknowledge,"
yes
",,,,,,
38,108,B,yes,176.0,acknowledge,"
yes
",,,,,,
38,114,B,yes,184.0,acknowledge,"
yes
",,,,,,
38,118,B,dm,194.0,acknowledge,"
ok
",tag,,,,,
39,16,B,dm,38.0,acknowledge,"
oh right
",,,positive,,,
39,18,B,dm,41.0,acknowledge,"
alright
",tag,,,,,
39,26,B,dm,61.0,acknowledge,"
",,,,pause,,
39,28,B,dm,66.0,acknowledge,"
",,,,pause,,
39,30,B,yes,73.0,acknowledge,"
yeah
",,,,,,
39,36,B,dm,82.0,acknowledge,"
right ",,,,punc,type,stop
39,40,B,dm,87.0,acknowledge,"
right em ",,,,punc,type,level
39,42,B,dm,95.0,acknowledge,"
right
",,,,,,
39,44,B,dm,99.0,acknowledge,"
",tag,,,pause,,
39,45,A,yes,107.0,acknowledge,"
",,,,pause,length,2s
39,45,A,yes,107.0,acknowledge,"
",,,,punc,type,stop
39,48,B,dm,116.0,acknowledge,"
right ",,,,punc,type,stop
39,55,A,yes,134.0,acknowledge,"
yeah ",,,,punc,type,stop
39,58,B,dm,140.0,acknowledge,"
ok ",tag,,,punc,type,stop
39,58,B,yes,141.0,acknowledge,"
yeah ",,,,punc,type,stop
39,60,B,yes,151.0,acknowledge,"
yeah ",,,,punc,type,stop
39,64,B,yes,161.0,acknowledge,"
yeah ",,,,punc,type,stop
39,66,B,dm,168.0,acknowledge,"
right
",,,,,,
39,66,B,dm,169.0,acknowledge,"
ok
",tag,,,,,
39,73,A,dm,178.0,acknowledge,"
aha ",,,,punc,type,stop
39,75,A,dm,180.0,acknowledge,"
aha ",,,,punc,type,stop
39,79,A,dm,184.0,acknowledge,"
aha ",,,,punc,type,stop
39,84,B,dm,193.0,acknowledge,"
ok ",tag,,,punc,type,stop
39,100,B,yes,214.0,acknowledge,"
yeah ",,,,punc,type,stop
39,102,B,yes,216.0,acknowledge,"
yeah ",,,,punc,type,stop
39,104,B,dm,218.0,acknowledge,"
right ",,,,punc,type,stop
39,106,B,dm,220.0,acknowledge,"
ok
",tag,,,,,
39,109,A,dm,224.0,acknowledge,"
aha ",,,,punc,type,stop
40,20,B,yes,30.0,acknowledge,"
yes ",,,,punc,type,level
