DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,28,B,dm,48.0,agree,"
sure ",,,,punc,type,stop
39,111,A,dm,226.0,agree,"
that's correct ",tag,,,punc,type,stop
41,89,A,dm,129.0,agree,"
that's correct ",tag,,,punc,type,stop
43,51,A,dm,106.0,agree,"
sure ",,,,punc,type,stop
43,85,A,dm,166.0,agree,"
that's correct
",tag,,,,,
44,20,B,dm,51.0,agree,"
no problem ",agree,,,punc,type,stop
44,40,B,dm,98.0,agree,"
",,,,overlap,type,start
44,40,B,dm,98.0,agree,"
",,,,punc,type,stop
44,56,B,dm,128.0,agree,"
no problem ",agree,,,punc,type,stop
46,12,B,dm,26.0,agree,"
",reassurance-tag,,,overlap,type,end
46,12,B,dm,26.0,agree,"
",reassurance-tag,,,punc,type,stop
48,22,B,dm,39.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
48,28,B,dm,47.0,agree,"
that's right ",reassurance,,,punc,type,stop
48,28,B,dm,48.0,agree,"
that's right ",reassurance,,,punc,type,stop
48,64,B,dm,108.0,agree,"
that's right ",reassurance,,,punc,type,stop
48,118,B,dm,188.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
50,32,B,dm,67.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
51,73,A,dm,145.0,agree,"
that's ok ",reassurance,,,punc,type,stop
53,66,B,dm,174.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,24,B,dm,38.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,48,B,dm,84.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
54,66,B,dm,106.0,agree,"
sure ",,,,punc,type,stop
54,83,A,dm,131.0,agree,"
that's correct ",tag,,,punc,type,stop
56,6,B,dm,13.0,agree,"
",reassurance-tag,,,pause,,
56,6,B,dm,13.0,agree,"
",reassurance-tag,,,punc,type,stop
58,93,A,dm,188.0,agree,"
that's correct ",tag,,,punc,type,stop
59,20,B,dm,43.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
59,50,B,decl,118.0,agree,"
that's ",agree-decl,problem,negative,overlap,type,start
59,50,B,decl,118.0,agree,"
that's ",agree-decl,problem,negative,unclear,length,1_syllable
59,50,B,decl,118.0,agree,"
that's ",agree-decl,problem,negative,punc,type,stop
59,58,B,dm,138.0,agree,"
that's ok ",reassurance,,,punc,type,stop
61,32,B,dm,73.0,agree,"
sure ",,,,punc,type,stop
61,48,B,dm,119.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
63,156,B,dm,295.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
64,74,B,dm,137.0,agree,"
certainly ",,,,punc,type,stop
64,96,B,dm,170.0,agree,"
sure ",,,,punc,type,stop
65,8,B,dm,14.0,agree,"
certainly ",,,,punc,type,stop
65,18,B,dm,30.0,agree,"
sure ",,,,punc,type,stop
67,44,B,frag,73.0,agree,"
",,,,pause,length,2s
67,44,B,frag,73.0,agree,"
",,,,punc,type,stop
68,36,B,dm,63.0,agree,"
definitely ",conviction,,,punc,type,stop
68,42,B,dm,79.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
68,46,B,frag,85.0,agree,"
correct ",decl,,positive,punc,type,stop
68,90,B,dm,161.0,agree,"
that's right ",reassurance-tag,,,punc,type,stop
70,77,A,dm,140.0,agree,"
",reassurance-tag,,,pause,,
70,77,A,dm,140.0,agree,"
",reassurance-tag,,,punc,type,stop
