DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,4,B,yes,6.0,answ,"
yeah
",closure,,,,,
1,6,B,yes,9.0,answ,"
er yeah
",,,,,,
1,8,B,no,13.0,answ,"
no
",closure,,,,,
1,10,B,frag,15.0,answ,"
one
",partial-closure,number,positive,,,
1,12,B,decl,17.0,answ,"
the eighth of October
",closure,month-date,positive,,,
1,14,B,decl,19.0,answ,"
i'd like to leave on the 7 33 train
",intent-closure,departure-preference-time,positive,,,
1,20,B,frag,29.0,answ,"
em same day on the em 17 15
",deixis-closure,day-enum,positive,,,
1,48,B,frag,98.0,answ,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
",closure,spell-name,positive,,,
1,50,B,frag,100.0,answ,"
{letter}%11
",partial-closure,spell,positive,,,
1,52,B,frag,102.0,answ,"
Doctor
",partial-closure,,positive,,,
1,54,B,frag,104.0,answ,"
em 0 1 1 1
",closure,enum,positive,,,
1,60,B,frag,110.0,answ,"
{letter}%11 36 ",closure,enum-spell,positive,pause,,
1,62,B,decl,112.0,answ,"
it's %street Avenue ",,name-address,positive,pause,,
1,64,B,frag,117.0,answ,"
number 1 3 5
",deixis,enum-number,positive,,,
2,6,B,no,9.0,answ,"
no
",closure,,,,,
2,8,B,frag,11.0,answ,"
just one please
",closure,number,positive,,,
2,10,B,decl,13.0,answ,"
the Saturday which is the third i think
",opinion-closure,day,positive,,,
2,20,B,frag,28.0,answ,"
er Monday
",partial-closure,day,positive,,,
3,4,B,yes,7.0,answ,"
yes
",closure,,,,,
3,6,B,no,9.0,answ,"
no
",closure,,,,,
3,8,B,frag,11.0,answ,"
two
",partial-closure,number,positive,,,
3,10,B,yes,13.0,answ,"
yes
",closure,,,,,
3,12,B,frag,15.0,answ,"
er third of October
",closure,month-date,positive,,,
3,33,A,decl,42.0,answ,"
there's a train at 14 hundred from Euston
",exists-closure,time-location-from,positive,,,
3,54,B,decl,72.0,answ,"
it's {surname}%16%0%15%5%0%15
",closure,name,positive,,,
3,56,B,frag,74.0,answ,"
{letter}%16 {letter}%0 {letter}%15 ",closure,enum-spell,positive,pause,,
3,58,B,frag,76.0,answ,"
er {letter}%9
",partial-closure,spell,positive,,,
3,60,B,decl,79.0,answ,"
it's 0 1 5 2 5
",closure,enum,positive,,,
3,63,A,frag,82.0,answ,"
0 1 5 2 5
",,enum,positive,,,
3,68,B,frag,91.0,answ,"
{letter}%10 {letter}%16 11
",closure,enum-spell,positive,,,
3,72,B,decl,96.0,answ,"
it's 24 %street Avenue Macclesfield
",,name-address,positive,,,
3,74,B,decl,100.0,answ,"
it's Visa
",closure,creditcard,positive,,,
3,76,B,decl,102.0,answ,"
it's 9 9
",,enum,positive,,,
3,92,B,frag,119.0,answ,"
is the third 99
",closed,,positive,,,
4,4,B,frag,8.0,answ,"
Edinburgh
",partial,location,positive,,,
4,8,B,yes,14.0,answ,"
yes
",closure,,,,,
4,10,B,decl,16.0,answ,"
it is
",,,positive,,,
4,12,B,decl,21.0,answ,"
i don't
",closure,,negative,,,
4,20,B,yes,45.0,answ,"
yeah
",,,,,,
4,29,A,decl,68.0,answ,"
there's a 6 11 train in the morning arriving 10 31
",exists,time-arrival,positive,,,
4,31,A,frag,71.0,answ,"
",condition-closure,fare-avail,positive,pause,length,10s
4,43,A,decl,88.0,answ,"
there's a train at 17 31 from Wigan ",exists,time-from,positive,backchannel,content,yes
4,47,A,yes,104.0,answ,"
yeah
",,,,,,
4,49,A,yes,111.0,answ,"
yeah
",,,,,,
4,62,B,yes,140.0,answ,"
erm ",closure,,,pause,length,5s
4,70,B,frag,160.0,answ,"
{surname}%0%12%9%0%17 {letter}%0 {letter}%12 {letter}%9 {letter}%0 {letter}%17
",closure,spell-name,positive,,,
4,72,B,frag,162.0,answ,"
{letter}%8
",partial-closure,spell,positive,,,
4,74,B,frag,164.0,answ,"
0 1 0 6
",closure,enum,positive,,,
4,80,B,frag,170.0,answ,"
{letter}%21 7 6
",closure,enum-spell,positive,,,
4,84,B,frag,174.0,answ,"
70 %street %street %street Park %town %region
",,location-name,positive,,,
4,88,B,frag,179.0,answ,"
worldwide Master card
",closure,creditcard,positive,,,
4,90,B,frag,181.0,answ,"
0 0 8 2
",,enum,positive,,,
4,98,B,decl,190.0,answ,"
it's seventh 2000
",,,positive,,,
4,100,B,decl,195.0,answ,"
i certainly do
",closure,,positive,,,
4,109,A,yes,206.0,answ,"
yes
",closure,,,,,
5,4,B,decl,7.0,answ,"
i've got a switch card
",,creditcard,positive,,,
5,6,B,frag,10.0,answ,"
just one
",closure-closure,number,positive,,,
5,14,B,frag,19.0,answ,"
on Saturday
",deixis-closure-closure,day,positive,,,
5,18,B,frag,23.0,answ,"
6 05 p m
",closure-closure,time,positive,,,
5,22,B,frag,29.0,answ,"
erm on Sunday
",deixis-closure-closure,day,positive,,,
5,31,A,yes,45.0,answ,"
yes
",,,,,,
5,34,B,frag,50.0,answ,"
some time around the same time that on Sunday afternoon about fiveish or something
",deixis-alternative,time-day-number,positive,,,
5,37,A,frag,56.0,answ,"
",,fare,negative,pause,,
6,4,B,yes,7.0,answ,"
yes
",closure,,,,,
6,6,B,no,9.0,answ,"
no
",closure,,,,,
6,8,B,frag,11.0,answ,"
one
",partial-closure,number,positive,,,
6,10,B,frag,13.0,answ,"
er Friday the ninth of October
",closure,month-day-date,positive,,,
6,12,B,frag,15.0,answ,"
14 19
",closure,enum,positive,,,
6,14,B,frag,17.0,answ,"
erm ",closure,day-location-departure-time,positive,pause,,
6,14,B,frag,17.0,answ,"
erm ",closure,day-location-departure-time,positive,pause,,
6,19,A,frag,26.0,answ,"
the 15 20 is the same
",closure,enum,positive,,,
6,21,A,frag,30.0,answ,"
39 pounds 50
",closure,fare,positive,,,
6,23,A,yes,32.0,answ,"
yes
",,,,,,
6,36,B,frag,55.0,answ,"
{surname}%13%8%14%11%13%8%18%25 {letter}%13 {letter}%8 {letter}%14 {letter}%11 {letter}%13 {letter}%8 {letter}%18 {letter}%25
",closure,spell-name,positive,,,
6,38,B,frag,57.0,answ,"
{letter}%25 {letter}%14
",closure,enum-spell,positive,,,
6,40,B,frag,59.0,answ,"
0 1 double 4 8
",closure,enum,positive,,,
6,46,B,frag,65.0,answ,"
{letter}%11 {letter}%23 {letter}4
",closure,enum-spell,positive,,,
6,50,B,frag,69.0,answ,"
Bridge Cottage ",deixis,,positive,pause,,
6,55,A,frag,78.0,answ,"
switch is fine
",closure,number-creditcard,positive,,,
6,56,B,frag,80.0,answ,"
er 7 4 4
",,enum,positive,,,
6,66,B,frag,91.0,answ,"
8
",partial,enum,positive,,,
6,68,B,frag,93.0,answ,"
7 2000
",,enum,positive,,,
6,70,B,frag,97.0,answ,"
7 4 4
",,enum,positive,,,
7,4,B,yes,7.0,answ,"
yeah
",,,,,,
7,6,B,no,10.0,answ,"
no
",closure,,,,,
7,8,B,frag,12.0,answ,"
er just one
",closure,number,positive,,,
7,10,B,decl,14.0,answ,"
it's the erm the sixth of October ",closure,month-date,positive,pause,,
7,29,A,yes,47.0,answ,"
yes
",closure,,,,,
7,32,B,decl,51.0,answ,"
it's em {surname}%14%18%18%16 {letter}%14 {letter}%18 {letter}%18 {letter}%16
",closure,spell-name,positive,,,
7,34,B,decl,53.0,answ,"
it's {letter}%0 for %alpha {letter}%15 for %alpha
",closure,enum-spell,positive,,,
7,36,B,frag,55.0,answ,"
Mr
",partial-closure,,positive,,,
7,41,A,decl,65.0,answ,"
they wen... the price... the price increased from twenty seventh of September ",,month-date,positive,overlap,type,start
7,44,B,frag,68.0,answ,"
is 0 1 9 8 0
",closure,enum,positive,,,
7,52,B,decl,79.0,answ,"
it's {letter}%1 {letter}%25 9 ",closure,enum-spell,positive,pause,,
7,54,B,frag,81.0,answ,"
er 79 %street Avenue %town %town
",,location-enum-address,positive,,,
7,58,B,decl,86.0,answ,"
it's Visa
",closure,creditcard,positive,,,
7,60,B,decl,88.0,answ,"
it's 1 1 double 9
",,enum,positive,,,
7,68,B,decl,97.0,answ,"
it's 0 of 2000
",,enum,positive,,,
8,6,B,yes,9.0,answ,"
yes
",closure,,,,,
8,8,B,no,11.0,answ,"
no
",closure,,,,,
8,10,B,frag,13.0,answ,"
just myself
",closure,,positive,,,
8,14,B,frag,19.0,answ,"
erm early morning
",closure,time,positive,,,
8,15,A,frag,25.0,answ,"
4 13 arriving at 8 30
",closure,time-arrival,positive,,,
8,18,B,decl,29.0,answ,"
it will be later that day
",closure,day,positive,,,
8,22,B,yes,35.0,answ,"
yes
",closure,,,,,
8,34,B,frag,60.0,answ,"
rear facing
",,seat,positive,,,
8,38,B,frag,68.0,answ,"
{surname}%16%1%10 {letter}%16 {letter}%1 {letter}%10
",closure,spell-name,positive,,,
8,40,B,frag,70.0,answ,"
{letter}%5
",partial-closure,spell,positive,,,
8,43,A,yes,74.0,answ,"
yes
",closure,,,,,
8,47,A,yes,81.0,answ,"
yes
",,,,,,
8,54,B,frag,92.0,answ,"
{letter}%16 9 4
",,enum-spell,positive,,,
8,60,B,frag,100.0,answ,"
company name is {letter}%14 {letter}%1 {letter}%14
",closure,spell-name,positive,,,
8,62,B,frag,103.0,answ,"
Fanshawe Cottage, %street Drive, Redwich
",deixis,,positive,,,
8,64,B,frag,106.0,answ,"
er ",closure,enum,positive,pause,,
8,70,B,frag,115.0,answ,"
8 4 9 7
",,enum,positive,,,
8,80,B,frag,126.0,answ,"
er 2 7 oh 2 2
",,enum,positive,,,
9,4,B,decl,8.0,answ,"
em i've got a current em yeah debit card
",closure-closure,creditcard,positive,,,
9,6,B,decl,12.0,answ,"
it's for one 
",closure-closure,number,positive,,,
9,8,B,decl,15.0,answ,"
i don't no
",closure-closure,,negative,,,
9,18,B,no,35.0,answ,"
no
",closure,,,,,
9,36,B,frag,70.0,answ,"
my surname's {surname}%24%6%14%15%22%6%19 spelt with an {letter}%24
",closure-closure,spell-name,positive,,,
9,38,B,frag,72.0,answ,"
er {letter}%18 for %alpha
",closure,enum-spell,positive,,,
9,46,B,frag,86.0,answ,"
er miss
",partial,miss,positive,,,
9,70,B,frag,120.0,answ,"
er {letter}%19 {letter}%17 7 7 {letter}%24 {letter}%15
",closure-closure,enum-spell,positive,,,
9,72,B,decl,122.0,answ,"
it's 15 2 54 %street Road ",,location-enum,positive,pause,,
9,74,B,decl,125.0,answ,"
it's a Midland business card which is a Mastercard
",closure-closure,,positive,,,
9,76,B,yes,129.0,answ,"
er yep
",,,,,,
9,82,B,frag,137.0,answ,"
is 7 2 7 2
",,enum,positive,,,
9,90,B,frag,146.0,answ,"
er 2 4 4
",,enum,positive,,,
9,97,A,yes,159.0,answ,"
yes
",,,,,,
10,4,B,frag,7.0,answ,"
er credit card
",closure,creditcard,positive,,,
10,6,B,no,9.0,answ,"
no
",,,,,,
10,8,B,frag,12.0,answ,"
just one
",closure,number,positive,,,
10,25,A,frag,36.0,answ,"
Sunday the eleventh
",,day,positive,,,
11,4,B,no,8.0,answ,"
no
",,,,,,
11,6,B,yes,12.0,answ,"
yes
",closure,,,,,
11,8,B,yes,15.0,answ,"
yes
",closure,,,,,
11,10,B,no,17.0,answ,"
no
",,,,,,
11,12,B,yes,21.0,answ,"
yes
",,,,,,
11,14,B,frag,24.0,answ,"
erm about 9 o clock
",closure,time,positive,,,
11,21,A,no,35.0,answ,"
no
",closure,,,,,
11,24,B,no,43.0,answ,"
no
",,,,,,
11,28,B,frag,49.0,answ,"
",closure,enum,positive,pause,,
11,33,A,frag,59.0,answ,"
22 45 quarter to 11 in the evening
",closure,time,positive,,,
11,37,A,frag,69.0,answ,"
10 35
",closure,enum,positive,,,
11,46,B,decl,87.0,answ,"
mm it's {surname}%0%12%7%10%22
",closure,name,positive,,,
11,48,B,frag,90.0,answ,"
{letter}%22
",partial-closure,spell,positive,,,
11,50,B,frag,92.0,answ,"
Miss ",deixis-closure,,positive,pause,,
11,54,B,frag,99.0,answ,"
em 0 1 4 0
",closure,enum,positive,,,
11,58,B,frag,103.0,answ,"
%1 %18 6 3 %24 %9
",closure,enum,positive,,,
11,60,B,frag,105.0,answ,"
{letter}%18 for %alpha Road
",,enum-spell,positive,,,
11,64,B,frag,112.0,answ,"
em facing towards the journey
",closure,journey-seat,positive,,,
11,74,B,frag,140.0,answ,"
Visa
",partial-closure,creditcard,positive,,,
11,76,B,frag,142.0,answ,"
3 1 6 1
",,enum,positive,,,
11,84,B,frag,151.0,answ,"
ni... em 6 99
",,enum,positive,,,
12,6,B,yes,9.0,answ,"
yes
",closure,,,,,
