DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,6,B,frag,10.0,answElab,"
a debit card
",closure,creditcard,positive,,,
1,56,B,frag,106.0,answElab,"
1 0 5
",,enum,positive,,,
1,58,B,frag,108.0,answElab,"
1 2 1 8
",,enum,positive,,,
1,62,B,decl,113.0,answElab,"
it's number 11
",,number,positive,,,
1,66,B,frag,119.0,answElab,"
5 3 1
",,enum,positive,,,
1,68,B,frag,121.0,answElab,"
1 5 1
",,enum,positive,,,
1,70,B,frag,123.0,answElab,"
8 6 1
",,enum,positive,,,
1,72,B,frag,125.0,answElab,"
9 1 1
",,enum,positive,,,
1,74,B,frag,127.0,answElab,"
0 1 5
",,enum,positive,,,
3,64,B,frag,86.0,answElab,"
8 4 1
",,enum,positive,,,
3,66,B,frag,88.0,answElab,"
treble 4
",,,positive,,,
3,70,B,frag,93.0,answElab,"
4 {letter}%0 {letter}%2
",,enum-spell,positive,,,
3,78,B,frag,104.0,answElab,"
9 0
",,enum,positive,,,
3,80,B,frag,106.0,answElab,"
4 9
",,enum,positive,,,
3,82,B,frag,108.0,answElab,"
1 9
",,enum,positive,,,
3,84,B,frag,110.0,answElab,"
4 8
",,enum,positive,,,
3,86,B,frag,112.0,answElab,"
6 5
",,enum,positive,,,
3,88,B,frag,114.0,answElab,"
8 9
",,enum,positive,,,
4,10,B,yes,17.0,answElab,"
yes
",,,,,,
4,12,B,no,22.0,answElab,"
no
",,,,,,
4,20,B,frag,46.0,answElab,"
on that train 12 28
",deixis,enum,positive,,,
4,43,A,frag,89.0,answElab,"
arriving in Edinburgh ",deixis,arrival-location-time,positive,pause,,
4,43,A,frag,89.0,answElab,"
arriving in Edinburgh ",deixis,arrival-location-time,positive,pause,,
4,62,B,decl,141.0,answElab,"
em i'm not no actually non
",report,,negative,,,
4,62,B,yes,142.0,answElab,"
yeah
",,,,,,
4,76,B,frag,166.0,answElab,"
6 0 9
",,enum,positive,,,
4,78,B,frag,168.0,answElab,"
0 7 0 5
",,enum,positive,,,
4,82,B,frag,172.0,answElab,"
0 {letter}%14 {letter}%9
",,enum-spell,positive,,,
4,92,B,frag,183.0,answElab,"
4 0 double 2
",,enum,positive,,,
4,94,B,frag,185.0,answElab,"
0 5 1 5
",,enum,positive,,,
4,96,B,frag,187.0,answElab,"
4 6 2 7
",,enum,positive,,,
5,4,B,yes,8.0,answElab,"
yeah
",,,,,,
5,31,A,decl,46.0,answElab,"
you do
",closure-closure-closure-closure-closure-closure,,positive,,,
5,37,A,no,57.0,answElab,"
no
",,,,,,
6,19,A,decl,27.0,answElab,"
it'll either have to either be the 13 20 departing Preston or the 16 31
",alternative-constrain,departure-location-time,positive,,,
6,42,B,frag,61.0,answElab,"
3 3 4
",,enum,positive,,,
6,44,B,frag,63.0,answElab,"
8 double 0
",,enum,positive,,,
6,48,B,frag,67.0,answElab,"
2 {letter}%14 {letter}%25
",,enum-spell,positive,,,
6,50,B,frag,70.0,answElab,"
er probably %street Road
",probability,,positive,,,
6,58,B,frag,82.0,answElab,"
0 8 4
",,enum,positive,,,
6,60,B,frag,84.0,answElab,"
4 4 8 4
",,enum,positive,,,
6,62,B,frag,86.0,answElab,"
8 8 4 8
",,enum,positive,,,
6,64,B,frag,88.0,answElab,"
0 2 7 0
",,enum,positive,,,
6,72,B,frag,99.0,answElab,"
0 8 4
",,enum,positive,,,
6,74,B,frag,101.0,answElab,"
4 4 8 4
",,enum,positive,,,
6,76,B,frag,103.0,answElab,"
8 8 4 8
",,enum,positive,,,
6,78,B,frag,105.0,answElab,"
0 2 7 0
",,enum,positive,,,
7,4,B,decl,8.0,answElab,"
i do
",closure,,positive,,,
7,46,B,frag,70.0,answElab,"
9 1 5 ",,enum,positive,pause,,
7,62,B,frag,90.0,answElab,"
5 0 double 5
",,enum,positive,,,
7,64,B,frag,92.0,answElab,"
0 800
",,enum,positive,,,
7,66,B,frag,94.0,answElab,"
1 1 6 9
",,enum,positive,,,
8,18,B,frag,30.0,answElab,"
but i don't know the precise time
",constrain,time,negative,,,
8,34,B,decl,61.0,answElab,"
if you have it please
",condition,,positive,,,
8,56,B,frag,94.0,answElab,"
7 {letter}%14 {letter}%3
",,enum-spell,positive,,,
8,58,B,decl,97.0,answElab,"
it's {letter}%14 {letter}%1 {letter}%14
",,enum-spell,positive,,,
8,66,B,frag,108.0,answElab,"
4 8 4 4 2 9
",,enum,positive,,,
8,72,B,frag,117.0,answElab,"
9 8 4
",,enum,positive,,,
8,74,B,frag,119.0,answElab,"
4 4 4
",,enum,positive,,,
8,76,B,frag,121.0,answElab,"
7 1 4
",,enum,positive,,,
8,78,B,frag,123.0,answElab,"
7 8
",,enum,positive,,,
9,6,B,decl,13.0,answElab,"
it's first class
",,,,,,
9,76,B,frag,130.0,answElab,"
0 1 3 2
",,enum,positive,,,
9,78,B,frag,132.0,answElab,"
8 5 7
",,enum,positive,,,
9,80,B,frag,134.0,answElab,"
6 9 8 2
",,enum,positive,,,
9,84,B,frag,139.0,answElab,"
8 9 8 2
",,enum,positive,,,
9,86,B,frag,141.0,answElab,"
2 7 3 6
",,enum,positive,,,
9,88,B,frag,143.0,answElab,"
8 9 2 2
",,enum,positive,,,
10,6,B,frag,10.0,answElab,"
i don't
",closure,,negative,,,
11,4,B,decl,9.0,answElab,"
i want to book the ticket
",intent-closure,preference-booking-journey,positive,,,
11,6,B,decl,13.0,answElab,"
it's for one person
",,number,positive,,,
11,10,B,frag,18.0,answElab,"
i don't
",closure,,negative,,,
11,12,B,decl,22.0,answElab,"
",reassurance-closure,,positive,overlap,type,end
11,24,B,decl,44.0,answElab,"
i'll get on the 7 15 ",intent-closure,enum,positive,vocal,content,laughter
11,46,B,decl,88.0,answElab,"
that's {letter}%0 {letter}%12 {letter}%7 {letter}%10 {letter}%22
",,enum-spell,positive,,,
11,56,B,frag,101.0,answElab,"
",,enum,positive,pause,,
11,78,B,frag,144.0,answElab,"
5 3 6
",,enum,positive,,,
11,80,B,frag,146.0,answElab,"
3 6 0
",,enum,positive,,,
11,82,B,frag,148.0,answElab,"
4 3 2
",,enum,positive,,,
12,18,B,decl,29.0,answElab,"
it is
",,,positive,,,
12,21,A,decl,35.0,answElab,"
that is only one available now
",constrain,number-avail,positive,,,
12,45,A,decl,67.0,answElab,"
you've got to ",constrain,fare,positive,unclear,length,3 syllables
12,47,A,decl,71.0,answElab,"
and you've got to stick to that
",constrain,,positive,,,
12,53,A,frag,82.0,answElab,"
30 pounds seventy
",closure,fare,positive,,,
12,71,A,decl,113.0,answElab,"
you've got to get off at Watford and get on at Watford
",constrain,time-location,positive,,,
12,83,A,decl,137.0,answElab,"
and that's not available
",,avail,negative,,,
