DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,4,B,yes,8.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
36,6,B,yes,11.0,answer-acknowledge,"
er yeah
",,,,,,
37,4,B,dm,9.0,answer-acknowledge,"
aha ",,,,punc,type,stop
38,4,B,yes,9.0,answer-acknowledge,"
yes ",,,,punc,type,stop
38,10,B,yes,15.0,answer-acknowledge,"
yes ",,,,punc,type,stop
38,14,B,yes,20.0,answer-acknowledge,"
yes ",,,,punc,type,stop
39,8,B,yes,16.0,answer-acknowledge,"
yes ",,,,punc,type,stop
39,60,B,yes,145.0,answer-acknowledge,"
erm ",,,,pause,length,5s
40,4,B,yes,9.0,answer-acknowledge,"
yes ",,,,punc,type,stop
40,10,B,yes,15.0,answer-acknowledge,"
yes ",,,,punc,type,stop
40,14,B,yes,20.0,answer-acknowledge,"
yes ",,,,punc,type,stop
41,4,B,yes,8.0,answer-acknowledge,"
yes ",,,,punc,type,stop
41,23,A,yes,36.0,answer-acknowledge,"
yes ",,,,punc,type,stop
42,4,B,yes,9.0,answer-acknowledge,"
yeah
",,,,,,
42,29,A,yes,53.0,answer-acknowledge,"
yes ",,,,punc,type,stop
43,6,B,yes,10.0,answer-acknowledge,"
yes ",,,,punc,type,stop
43,22,B,yes,41.0,answer-acknowledge,"
yes ",,,,punc,type,stop
43,43,A,yes,87.0,answer-acknowledge,"
yes ",,,,punc,type,stop
43,47,A,yes,96.0,answer-acknowledge,"
yes ",,,,punc,type,stop
44,25,A,yes,61.0,answer-acknowledge,"
yes ",,,,punc,type,stop
44,93,A,yes,189.0,answer-acknowledge,"
yes ",,,,punc,type,stop
46,6,B,yes,15.0,answer-acknowledge,"
yes ",,,,punc,type,level
46,8,B,yes,18.0,answer-acknowledge,"
yes ",,,,punc,type,stop
47,6,B,yes,10.0,answer-acknowledge,"
yes ",,,,punc,type,stop
47,16,B,yes,27.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
47,18,B,yes,29.0,answer-acknowledge,"
yes ",,,,punc,type,stop
47,107,A,yes,214.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,6,B,yes,11.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,10,B,yes,15.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,26,B,yes,44.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,37,A,yes,66.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,55,A,yes,90.0,answer-acknowledge,"
yes ",,,,punc,type,stop
48,132,B,yes,213.0,answer-acknowledge,"
yes ",,,,punc,type,stop
49,10,B,yes,16.0,answer-acknowledge,"
yes ",,,,punc,type,stop
49,33,A,yes,64.0,answer-acknowledge,"
yes ",,,,punc,type,stop
49,108,B,yes,197.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
49,116,B,yes,208.0,answer-acknowledge,"
yes ",,,,punc,type,stop
50,6,B,yes,11.0,answer-acknowledge,"
yes ",,,,punc,type,stop
50,68,B,yes,128.0,answer-acknowledge,"
yes ",,,,punc,type,stop
51,14,B,yes,24.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
51,18,B,yes,29.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
51,33,A,yes,68.0,answer-acknowledge,"
",,,,pause,,
51,33,A,yes,68.0,answer-acknowledge,"
",,,,punc,type,stop
52,4,B,yes,9.0,answer-acknowledge,"
yes ",,,,punc,type,stop
53,31,A,yes,85.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
53,40,B,yes,110.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
53,60,B,dm,160.0,answer-acknowledge,"
right ",,,,punc,type,stop
53,65,A,dm,171.0,answer-acknowledge,"
aha ",,,,overlap,type,end
53,65,A,dm,171.0,answer-acknowledge,"
aha ",,,,punc,type,stop
53,102,B,yes,231.0,answer-acknowledge,"
yeah ",,,,punc,type,stop
