DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,8,B,no,15.0,answer-negate,"
no ",,,,punc,type,stop
37,6,B,no,11.0,answer-negate,"
no ",,,,punc,type,stop
38,6,B,no,11.0,answer-negate,"
no ",,,,punc,type,stop
38,96,B,no,138.0,answer-negate,"
er no ",,,,punc,type,stop
40,6,B,no,11.0,answer-negate,"
no ",,,,punc,type,stop
40,96,B,no,138.0,answer-negate,"
er no ",,,,punc,type,stop
41,6,B,no,10.0,answer-negate,"
no ",,,,punc,type,stop
41,30,B,no,50.0,answer-negate,"
no ",,,,punc,type,stop
42,6,B,no,12.0,answer-negate,"
no ",,,,punc,type,stop
43,8,B,no,12.0,answer-negate,"
no ",,,,punc,type,stop
44,18,B,no,45.0,answer-negate,"
no ",,,,punc,type,stop
45,6,B,no,12.0,answer-negate,"
no ",,,,punc,type,stop
46,10,B,no,20.0,answer-negate,"
no ",,,,punc,type,level
46,21,A,no,44.0,answer-negate,"
no ",,,,punc,type,stop
46,24,B,no,54.0,answer-negate,"
no ",,,,punc,type,stop
48,12,B,no,18.0,answer-negate,"
no ",,,,punc,type,stop
48,47,A,no,76.0,answer-negate,"
no ",,,,punc,type,stop
48,57,A,no,92.0,answer-negate,"
no ",,,,punc,type,stop
49,16,B,no,33.0,answer-negate,"
no ",,,,punc,type,stop
49,84,B,no,154.0,answer-negate,"
no ",,,,punc,type,stop
49,91,A,no,174.0,answer-negate,"
no ",,,,punc,type,stop
51,12,B,no,22.0,answer-negate,"
no ",,,,punc,type,stop
52,10,B,no,17.0,answer-negate,"
no ",,,,punc,type,stop
53,21,A,no,52.0,answer-negate,"
no ",,,,punc,type,stop
53,25,A,no,64.0,answer-negate,"
no ",,,,punc,type,stop
54,12,B,no,19.0,answer-negate,"
no ",,,,punc,type,stop
55,20,B,no,45.0,answer-negate,"
no ",,,,punc,type,stop
56,16,B,no,33.0,answer-negate,"
no ",,,,punc,type,stop
56,34,B,no,65.0,answer-negate,"
no ",,,,punc,type,stop
57,8,B,no,14.0,answer-negate,"
no ",,,,punc,type,stop
58,8,B,no,13.0,answer-negate,"
no ",,,,punc,type,stop
60,30,B,no,53.0,answer-negate,"
no ",,,,punc,type,stop
62,10,B,no,18.0,answer-negate,"
no ",,,,punc,type,stop
63,82,B,no,180.0,answer-negate,"
no ",,,,punc,type,stop
63,100,B,no,214.0,answer-negate,"
no ",,,,punc,type,stop
63,120,B,no,241.0,answer-negate,"
no ",,,,punc,type,stop
63,227,A,no,390.0,answer-negate,"
no ",,,,overlap,type,end
63,227,A,no,390.0,answer-negate,"
no ",,,,punc,type,stop
64,20,B,no,36.0,answer-negate,"
no ",,,,punc,type,stop
65,20,B,no,33.0,answer-negate,"
no ",,,,punc,type,stop
67,26,B,no,44.0,answer-negate,"
no ",,,,punc,type,stop
68,20,B,no,29.0,answer-negate,"
no ",,,,punc,type,stop
69,14,B,no,29.0,answer-negate,"
no ",,,,punc,type,stop
70,68,B,no,121.0,answer-negate,"
no ",,,,punc,type,stop
70,79,A,no,144.0,answer-negate,"
no ",,,,punc,type,stop
