DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,10,B,frag,17.0,answer-refer,"
one ",decl,number,positive,punc,type,stop
36,12,B,decl,19.0,answer-refer,"
the 8th of October ",decl,month-date,positive,punc,type,stop
36,20,B,frag,32.0,answer-refer,"
same day ",decl,day,positive,punc,type,stop
36,50,B,frag,103.0,answer-refer,"
",decl,,positive,anonym,type,letter
36,50,B,frag,103.0,answer-refer,"
",decl,,positive,punc,type,stop
36,52,B,frag,105.0,answer-refer,"
Doctor ",decl,,positive,punc,type,stop
36,54,B,frag,108.0,answer-refer,"
0 1 1 1 ",decl,enum,positive,punc,type,stop
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,pause,,
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,punc,type,stop
36,76,B,frag,134.0,answer-refer,"
1 ",decl,enum,positive,punc,type,stop
36,78,B,frag,136.0,answer-refer,"
November this year ",decl,month,positive,punc,type,stop
37,20,B,frag,31.0,answer-refer,"
Monday ",decl,day,positive,punc,type,stop
37,22,B,frag,34.0,answer-refer,"
",decl,time,positive,unclear,length,2 syllables
37,22,B,frag,34.0,answer-refer,"
",decl,time,positive,punc,type,stop
38,8,B,frag,13.0,answer-refer,"
two ",decl,number,positive,punc,type,stop
38,12,B,frag,18.0,answer-refer,"
3rd of October ",decl,month-date,positive,punc,type,stop
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,pause,,
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,punc,type,stop
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,punc,type,level
39,4,B,frag,9.0,answer-refer,"
Edinburgh ",decl,location,positive,punc,type,stop
39,41,A,frag,90.0,answer-refer,"
",partial-frag,day,positive,pause,length,16s
39,41,A,frag,90.0,answer-refer,"
",partial-frag,day,positive,punc,type,level
39,45,A,frag,108.0,answer-refer,"
10:31 on Friday the 9th of October from Wigan Northwestern ",decl,month-from-date-enum-day,positive,punc,type,stop
39,57,A,frag,139.0,answer-refer,"
19:57 ",decl,,positive,punc,type,stop
39,60,B,frag,150.0,answer-refer,"
non ",decl,,positive,punc,type,stop
39,68,B,frag,172.0,answer-refer,"
",decl,,positive,anonym,type,name
39,68,B,frag,172.0,answer-refer,"
",decl,,positive,punc,type,stop
39,70,B,frag,175.0,answer-refer,"
",decl,,positive,anonym,type,letter
39,70,B,frag,175.0,answer-refer,"
",decl,,positive,punc,type,stop
39,72,B,frag,177.0,answer-refer,"
0 1 0 6 ",frag,enum,positive,punc,type,level
39,78,B,frag,183.0,answer-refer,"
",frag,enum,positive,anonym,type,letter
39,78,B,frag,183.0,answer-refer,"
",frag,enum,positive,punc,type,level
39,86,B,frag,195.0,answer-refer,"
worldwide Master card ",decl,creditcard,positive,punc,type,stop
40,8,B,frag,13.0,answer-refer,"
two ",decl,number,positive,punc,type,stop
40,12,B,frag,18.0,answer-refer,"
3rd of October ",decl,month-date,positive,punc,type,stop
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,pause,,
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
40,56,B,frag,83.0,answer-refer,"
",decl,,positive,punc,type,stop
40,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
40,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
40,68,B,frag,102.0,answer-refer,"
",frag,,positive,punc,type,level
41,8,B,frag,12.0,answer-refer,"
one ",decl,number,positive,punc,type,stop
41,12,B,frag,17.0,answer-refer,"
14:19 ",decl,,positive,punc,type,stop
41,21,A,frag,34.0,answer-refer,"
39 pounds 50 ",decl,fare-enum,positive,punc,type,stop
41,38,B,frag,64.0,answer-refer,"
",decl,,positive,anonym,type,letter
41,38,B,frag,64.0,answer-refer,"
",decl,,positive,anonym,type,letter
41,38,B,frag,64.0,answer-refer,"
",decl,,positive,punc,type,stop
41,46,B,frag,72.0,answer-refer,"
",frag,,positive,anonym,type,letter
41,46,B,frag,72.0,answer-refer,"
",frag,,positive,anonym,type,letter
41,46,B,frag,72.0,answer-refer,"
",frag,,positive,anonym,type,letter
41,46,B,frag,72.0,answer-refer,"
",frag,,positive,punc,type,level
41,66,B,frag,100.0,answer-refer,"
8 ",decl,enum,positive,punc,type,stop
41,68,B,frag,102.0,answer-refer,"
7 2000 ",decl,enum,positive,punc,type,stop
42,36,B,frag,63.0,answer-refer,"
Mr ",decl,,positive,punc,type,stop
43,10,B,frag,14.0,answer-refer,"
just myself ",decl,,positive,punc,type,stop
43,14,B,frag,23.0,answer-refer,"
early morning ",decl,time,positive,punc,type,stop
43,30,B,frag,57.0,answer-refer,"
sort of facing or with my back to the direction of movement ",alternative-decl,seat,positive,punc,type,stop
43,38,B,frag,78.0,answer-refer,"
",decl,,positive,anonym,type,name
43,38,B,frag,78.0,answer-refer,"
",decl,,positive,punc,type,stop
43,40,B,frag,81.0,answer-refer,"
",decl,,positive,anonym,type,letter
43,40,B,frag,81.0,answer-refer,"
",decl,,positive,punc,type,stop
43,64,B,frag,131.0,answer-refer,"
0 1 9 4 4 ",frag,enum,positive,punc,type,level
43,80,B,frag,152.0,answer-refer,"
2 7 ",decl,enum,positive,punc,type,stop
44,36,B,frag,88.0,answer-refer,"
",decl,,positive,anonym,type,letter
44,36,B,frag,88.0,answer-refer,"
",decl,,positive,anonym,type,alpha
44,36,B,frag,88.0,answer-refer,"
",decl,,positive,punc,type,stop
44,44,B,frag,105.0,answer-refer,"
Miss ",decl,,positive,punc,type,stop
44,66,B,frag,146.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
44,66,B,frag,146.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
44,66,B,frag,146.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
44,66,B,frag,146.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
44,66,B,frag,146.0,answer-refer,"
",decl,enum,positive,punc,type,stop
44,86,B,frag,175.0,answer-refer,"
12 4 ",decl,enum,positive,punc,type,stop
45,4,B,frag,10.0,answer-refer,"
credit card ",decl,creditcard,positive,punc,type,stop
45,8,B,frag,15.0,answer-refer,"
just one ",decl,number,positive,punc,type,stop
46,28,B,decl,62.0,answer-refer,"
something like 6:15 ",decl,,positive,punc,type,stop
46,33,A,frag,72.0,answer-refer,"
22:45 ",decl,,positive,punc,type,stop
46,48,B,frag,110.0,answer-refer,"
",decl,,positive,anonym,type,letter
46,48,B,frag,110.0,answer-refer,"
",decl,,positive,punc,type,stop
46,54,B,frag,121.0,answer-refer,"
0 1 4 0 ",frag,enum,positive,punc,type,level
46,58,B,frag,125.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
46,58,B,frag,125.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
46,58,B,frag,125.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
46,58,B,frag,125.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
46,58,B,frag,125.0,answer-refer,"
",decl,enum,positive,punc,type,stop
46,64,B,frag,135.0,answer-refer,"
facing towards the journey ",decl,direction-journey-seat,positive,punc,type,stop
46,74,B,frag,166.0,answer-refer,"
Visa ",decl,creditcard,positive,punc,type,stop
46,76,B,frag,168.0,answer-refer,"
3 1 6 1 ",frag,enum,positive,punc,type,level
46,84,B,frag,177.0,answer-refer,"
ni... em 6 99 ",decl,enum,positive,punc,type,stop
47,8,B,frag,12.0,answer-refer,"
one ",decl,number,positive,punc,type,stop
47,10,B,frag,14.0,answer-refer,"
tomorrow ",decl,day,positive,punc,type,stop
47,58,B,frag,102.0,answer-refer,"
on Sunday ",partial-decl,day,positive,punc,type,stop
47,100,B,frag,204.0,answer-refer,"
from ",partial-decl,location-from,positive,pause,,
47,100,B,frag,204.0,answer-refer,"
from ",partial-decl,location-from,positive,punc,type,stop
47,109,A,frag,217.0,answer-refer,"
",frag,,positive,pause,length,10s
47,109,A,frag,217.0,answer-refer,"
",frag,,positive,punc,type,level
47,136,B,frag,269.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
47,136,B,frag,269.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
47,136,B,frag,269.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
47,136,B,frag,269.0,answer-refer,"
",decl,enum,positive,punc,type,stop
47,140,B,frag,273.0,answer-refer,"
",decl,creditcard,positive,pause,,
47,140,B,frag,273.0,answer-refer,"
",decl,creditcard,positive,punc,type,stop
47,150,B,frag,284.0,answer-refer,"
9th 99 ",decl,,positive,punc,type,stop
48,8,B,frag,13.0,answer-refer,"
4 ",decl,number,positive,punc,type,stop
48,31,A,frag,55.0,answer-refer,"
20:26 ",decl,,positive,punc,type,stop
48,43,A,frag,72.0,answer-refer,"
19:09 ",decl,,positive,punc,type,stop
48,90,B,frag,154.0,answer-refer,"
Mrs ",decl,,positive,punc,type,stop
48,92,B,frag,156.0,answer-refer,"
0 1 8 double 6 ",frag,enum,positive,punc,type,level
48,98,B,frag,163.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
48,98,B,frag,163.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
48,98,B,frag,163.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
48,98,B,frag,163.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
48,98,B,frag,163.0,answer-refer,"
",decl,enum,positive,punc,type,stop
48,108,B,frag,178.0,answer-refer,"
Barclay card ",partial-decl,,positive,punc,type,stop
48,110,B,frag,180.0,answer-refer,"
8 6 0 6 ",frag,enum,positive,punc,type,level
49,8,B,frag,14.0,answer-refer,"
London ",decl,location,positive,punc,type,stop
49,18,B,frag,35.0,answer-refer,"
1 ",decl,number,positive,punc,type,stop
49,20,B,frag,37.0,answer-refer,"
tomorrow ",decl,day,positive,punc,type,stop
49,50,B,frag,96.0,answer-refer,"
not really ",decl,,negative,punc,type,stop
49,72,B,frag,139.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,72,B,frag,139.0,answer-refer,"
",decl,,positive,punc,type,stop
49,74,B,frag,141.0,answer-refer,"
Mrs ",decl,,positive,punc,type,stop
49,82,B,frag,150.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
49,82,B,frag,150.0,answer-refer,"
",decl,enum,positive,punc,type,stop
49,100,B,frag,189.0,answer-refer,"
Fizzwhizz Merchandising ",partial-decl,,positive,punc,type,stop
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,anonym,type,letter
49,104,B,frag,193.0,answer-refer,"
",decl,,positive,punc,type,stop
49,110,B,frag,199.0,answer-refer,"
40 to 43 ",decl,enum,positive,punc,type,stop
50,10,B,frag,20.0,answer-refer,"
5 adults and 4 children ",decl,enum,positive,punc,type,stop
50,18,B,frag,42.0,answer-refer,"
Sunday ",decl,day,positive,punc,type,stop
50,20,B,frag,45.0,answer-refer,"
15:35 ",decl,,positive,punc,type,stop
50,44,B,frag,89.0,answer-refer,"
",decl,,positive,anonym,type,name
