DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,16,B,frag,23.0,answer-state,"
New Street ",decl,,positive,punc,type,stop
36,38,B,frag,75.0,answer-state,"
facing the way the train's going if possible ",condition-decl,seat,positive,punc,type,stop
36,64,B,decl,120.0,answer-state,"
it's a debit card ",decl,creditcard,positive,backchannel,content,aha
36,64,B,decl,120.0,answer-state,"
it's a debit card ",decl,creditcard,positive,punc,type,stop
37,10,B,decl,15.0,answer-state,"
the Saturday which is the 3rd i think ",opinion-decl,day,positive,punc,type,stop
37,15,A,decl,23.0,answer-state,"
the trains run at 10 to the hour every hour ",decl,time-enum,positive,punc,type,stop
38,74,B,decl,112.0,answer-state,"
it's Visa ",decl,creditcard,positive,punc,type,stop
38,76,B,decl,114.0,answer-state,"
it's 9 9 ",frag,enum,positive,punc,type,level
39,10,B,decl,18.0,answer-state,"
it is ",decl,,positive,punc,type,stop
39,12,B,decl,23.0,answer-state,"
i don't ",report-decl,,negative,punc,type,stop
39,29,A,decl,72.0,answer-state,"
there's a 6:11 train in the morning arriving 10:31 ",exists-decl,time-enum-arrival,positive,punc,type,stop
39,96,B,decl,206.0,answer-state,"
it's 7th 2000 ",decl,,positive,punc,type,stop
39,98,B,decl,211.0,answer-state,"
i certainly do ",decl,,positive,punc,type,stop
40,74,B,decl,112.0,answer-state,"
it's Visa ",decl,creditcard,positive,punc,type,stop
40,76,B,decl,114.0,answer-state,"
it's 9 9 ",frag,enum,positive,punc,type,level
41,54,B,decl,84.0,answer-state,"
i'm looking at a Switch card ",decl,time-creditcard,positive,punc,type,stop
41,55,A,decl,86.0,answer-state,"
Switch is fine ",decl,,positive,punc,type,stop
42,8,B,frag,15.0,answer-state,"
just one ",decl,number,positive,punc,type,stop
42,10,B,decl,17.0,answer-state,"
it's the erm the 6th of October ",decl,month-date,positive,punc,type,stop
42,34,B,decl,61.0,answer-state,"
it's ",decl,,positive,anonym,type,letter
42,34,B,decl,61.0,answer-state,"
it's ",decl,,positive,anonym,type,alpha
42,34,B,decl,61.0,answer-state,"
it's ",decl,,positive,anonym,type,letter
42,34,B,decl,61.0,answer-state,"
it's ",decl,,positive,anonym,type,alpha
42,34,B,decl,61.0,answer-state,"
it's ",decl,,positive,punc,type,stop
42,44,B,frag,80.0,answer-state,"
is 0 1 9 8 0 ",frag,enum,positive,punc,type,level
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,anonym,type,letter
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,anonym,type,letter
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,pause,,
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,anonym,type,letter
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,anonym,type,letter
42,52,B,decl,91.0,answer-state,"
it's ",decl,enum,positive,punc,type,stop
42,58,B,decl,101.0,answer-state,"
it's Visa ",decl,creditcard,positive,punc,type,stop
42,68,B,decl,112.0,answer-state,"
it's 0 of 2000 ",decl,enum,positive,punc,type,stop
43,42,B,decl,84.0,answer-state,"
it's a corporate ",decl,,positive,punc,type,stop
43,58,B,decl,119.0,answer-state,"
it's ",decl,,positive,anonym,type,letter
43,58,B,decl,119.0,answer-state,"
it's ",decl,,positive,anonym,type,letter
43,58,B,decl,119.0,answer-state,"
it's ",decl,,positive,anonym,type,letter
43,58,B,decl,119.0,answer-state,"
it's ",decl,,positive,punc,type,stop
43,60,B,frag,122.0,answer-state,"
company name is ",decl,name,positive,anonym,type,letter
43,60,B,frag,122.0,answer-state,"
company name is ",decl,name,positive,anonym,type,letter
43,60,B,frag,122.0,answer-state,"
company name is ",decl,name,positive,anonym,type,letter
43,60,B,frag,122.0,answer-state,"
company name is ",decl,name,positive,punc,type,stop
