DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,30,B,decl,56.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
37,26,B,decl,45.0,approve,"
that's great ",decl,,positive,punc,type,stop
39,112,B,dm,230.0,approve,"
excellent ",,,,punc,type,stop
42,12,B,dm,28.0,approve,"
fine ",,,,punc,type,stop
42,24,B,decl,45.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
42,26,B,dm,47.0,approve,"
lovely ",,,,punc,type,stop
42,30,B,decl,54.0,approve,"
that's great ",decl,,positive,punc,type,stop
42,50,B,dm,89.0,approve,"
fine ",,,,punc,type,stop
42,56,B,decl,99.0,approve,"
that's great ",decl,,positive,punc,type,stop
42,78,B,decl,126.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
42,80,B,decl,130.0,approve,"
that's great ",decl,,positive,punc,type,stop
44,14,B,decl,35.0,approve,"
oh that'd be fine ",decl,,positive,punc,type,stop
44,40,B,dm,97.0,approve,"
fine ",,,,punc,type,stop
44,52,B,dm,123.0,approve,"
lovely ",,,,punc,type,stop
44,60,B,decl,136.0,approve,"
that's just great ",decl,,positive,punc,type,stop
44,64,B,dm,142.0,approve,"
lovely ",,,,punc,type,stop
44,92,B,dm,186.0,approve,"
fine ",,,,punc,type,stop
44,106,B,decl,215.0,approve,"
that's lovely ",decl,,positive,punc,type,stop
45,30,B,decl,59.0,approve,"
that's good ",decl,,positive,punc,type,stop
46,70,B,decl,161.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
47,12,B,decl,17.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
47,26,B,decl,44.0,approve,"
",reassurance-decl,,positive,pause,,
47,26,B,decl,44.0,approve,"
",reassurance-decl,,positive,punc,type,stop
47,82,B,frag,152.0,approve,"
oh fine ",decl,,positive,punc,type,stop
47,82,B,decl,154.0,approve,"
that's alright ",reassurance-tag-decl,,positive,punc,type,stop
47,110,B,decl,221.0,approve,"
the 20:07 would be great ",decl,enum,positive,punc,type,stop
48,82,B,decl,140.0,approve,"
that's wonderful ",decl,,positive,punc,type,stop
48,82,B,decl,141.0,approve,"
that's ",decl,,positive,overlap,type,start
48,82,B,decl,141.0,approve,"
that's ",decl,,positive,punc,type,stop
48,102,B,decl,171.0,approve,"
that's lovely ",decl,,positive,punc,type,stop
48,104,B,dm,173.0,approve,"
lovely ",,,,punc,type,stop
48,140,B,dm,222.0,approve,"
lovely ",,,,punc,type,stop
48,146,B,decl,233.0,approve,"
that's wonderful ",decl,,positive,punc,type,stop
49,89,A,decl,169.0,approve,"
that's ok ",,,positive,punc,type,stop
49,115,A,decl,205.0,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
51,92,B,dm,173.0,approve,"
fine ",,,,punc,type,stop
