DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,89,A,frag,146.0,bye,"
bye ",partial-farewell,closing,positive,overlap,type,end
2,37,A,frag,57.0,bye,"
",farewell,closing,positive,overlap,type,start
2,38,B,frag,58.0,bye,"
bye ",partial-farewell,closing,positive,overlap,type,end
3,119,A,frag,178.0,bye,"
",farewell,closing,positive,overlap,type,start
3,120,B,frag,179.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
4,116,B,frag,214.0,bye,"
bye ",partial-farewell,closing,positive,overlap,type,end
6,93,A,frag,126.0,bye,"
bye
",partial-farewell,closing,positive,,,
6,94,B,frag,127.0,bye,"
bye bye 
",farewell,closing,positive,,,
7,83,A,frag,117.0,bye,"
",farewell,closing,positive,overlap,type,start
7,84,B,frag,118.0,bye,"
bye bye ",farewell,closing,positive,overlap,type,end
8,88,B,frag,139.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
9,113,A,frag,183.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
11,98,B,frag,168.0,bye,"
bye ",farewell,closing,positive,overlap,type,start
11,99,A,frag,169.0,bye,"
bye ",partial-farewell,closing,positive,overlap,type,end
12,161,B,frag,277.0,bye,"
",,closing,positive,overlap,type,start
12,162,A,frag,278.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
13,151,A,frag,215.0,bye,"
bye bye ",farewell,closing,positive,overlap,type,end
14,137,A,frag,217.0,bye,"
",farewell,closing,positive,overlap,type,start
14,138,B,frag,218.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
16,120,B,frag,192.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
18,125,A,frag,238.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
19,89,A,frag,130.0,bye,"
",farewell,closing,positive,overlap,type,start
19,90,B,frag,131.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
19,90,B,frag,131.0,bye,"
bye ",farewell,closing,positive,pause,,
20,29,A,frag,54.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
21,90,B,frag,132.0,bye,"
bye ",farewell,closing,positive,overlap,type,end
24,95,A,frag,165.0,bye,"
bye
",partial-farewell,closing,positive,,,
24,96,B,frag,166.0,bye,"
",farewell,closing,positive,unclear,length,9 syllables
