DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,22,B,yes,35.0,confirm-acknowledge,"
",,,,pause,,
36,22,B,yes,35.0,confirm-acknowledge,"
",,,,punc,type,stop
36,26,B,yes,42.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
36,32,B,yes,63.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
36,42,B,yes,83.0,confirm-acknowledge,"
yep ",,,,punc,type,stop
38,28,B,yes,40.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
38,30,B,yes,43.0,confirm-acknowledge,"
yes
",,,,,,
38,64,B,yes,94.0,confirm-acknowledge,"
yeah
",,,,,,
38,116,B,yes,191.0,confirm-acknowledge,"
yes
",,,,,,
39,17,A,yes,40.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
39,20,B,yes,46.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
39,25,A,yes,56.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
39,33,A,yes,78.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
39,37,A,dm,84.0,confirm-acknowledge,"
aha ",,,,punc,type,stop
39,39,A,dm,86.0,confirm-acknowledge,"
that's correct ",tag,,,punc,type,stop
39,43,A,yes,97.0,confirm-acknowledge,"
",,,,pause,,
39,43,A,yes,97.0,confirm-acknowledge,"
",,,,punc,type,stop
39,50,B,yes,126.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
39,52,B,yes,128.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
39,112,B,dm,229.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
40,28,B,yes,40.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
40,30,B,yes,43.0,confirm-acknowledge,"
yes
",,,,,,
40,64,B,yes,94.0,confirm-acknowledge,"
yeah
",,,,,,
40,116,B,yes,190.0,confirm-acknowledge,"
yes
",,,,,,
42,16,B,dm,34.0,confirm-acknowledge,"
mhm ",,,,punc,type,stop
42,80,B,dm,129.0,confirm-acknowledge,"
right ",,,,punc,type,stop
43,16,B,yes,33.0,confirm-acknowledge,"
er yes ",,,,punc,type,stop
43,34,B,yes,68.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
44,20,B,dm,49.0,confirm-acknowledge,"
mhm ",,,,punc,type,stop
44,60,B,yes,135.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
45,24,B,yes,48.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
45,28,B,yes,54.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
46,30,B,yes,64.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
46,40,B,yes,91.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
46,96,B,dm,191.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
47,23,A,yes,40.0,confirm-acknowledge,"
",,,,overlap,type,start
47,23,A,yes,40.0,confirm-acknowledge,"
",,,,punc,type,stop
47,41,A,yes,66.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
47,56,B,yes,97.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
47,60,B,yes,105.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
47,81,A,yes,146.0,confirm-acknowledge,"
yeah ",,,,punc,type,level
47,104,B,yes,210.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
48,4,B,yes,8.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
48,49,A,yes,80.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
48,62,B,yes,101.0,confirm-acknowledge,"
yes
",,,,,,
49,89,A,yes,164.0,confirm-acknowledge,"
yeah ",,,,punc,type,level
50,11,A,dm,25.0,confirm-acknowledge,"
right ",,,,punc,type,stop
50,12,B,yes,29.0,confirm-acknowledge,"
er yes ",,,,punc,type,stop
50,22,B,yes,47.0,confirm-acknowledge,"
",,,,pause,,
50,22,B,yes,47.0,confirm-acknowledge,"
",,,,punc,type,stop
50,31,A,yes,62.0,confirm-acknowledge,"
",,,,pause,,
50,31,A,yes,62.0,confirm-acknowledge,"
",,,,punc,type,stop
50,50,B,yes,96.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
51,16,B,dm,27.0,confirm-acknowledge,"
aha ",,,,punc,type,stop
51,50,B,yes,109.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
51,76,B,yes,152.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
51,92,B,yes,171.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
51,114,B,yes,202.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
52,18,B,dm,29.0,confirm-acknowledge,"
mhm ",,,,punc,type,stop
53,38,B,yes,107.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
54,48,B,yes,83.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
55,8,B,yes,19.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
55,17,A,yes,38.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
55,19,A,yes,41.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
55,22,B,dm,52.0,confirm-acknowledge,"
right ",,,,punc,type,stop
55,25,A,yes,60.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
56,6,B,yes,12.0,confirm-acknowledge,"
yes ",,,,overlap,type,end
56,6,B,yes,12.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
56,24,B,yes,51.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
56,88,B,dm,143.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
57,28,B,yes,64.0,confirm-acknowledge,"
yeah ",,,,pause,length,2s
57,28,B,yes,64.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
57,30,B,dm,68.0,confirm-acknowledge,"
mhm ",,,,punc,type,stop
57,32,B,yes,70.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
57,35,A,yes,78.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
58,12,B,yes,24.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
58,15,A,yes,27.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
58,20,B,yes,35.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
58,27,A,yes,53.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
58,28,B,yes,57.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
58,33,A,yes,62.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
58,100,B,dm,204.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
59,16,B,dm,35.0,confirm-acknowledge,"
mhm ",,,,punc,type,stop
59,92,B,dm,198.0,confirm-acknowledge,"
ok then ",tag,,,punc,type,stop
60,45,A,dm,90.0,confirm-acknowledge,"
ok now ",tag,,,punc,type,query
60,46,B,dm,91.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
62,8,B,yes,14.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
62,22,B,yes,40.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
62,38,B,yes,93.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
62,80,B,yes,153.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
62,107,A,yes,188.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,8,B,yes,26.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,18,B,yes,45.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,22,B,yes,51.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,40,B,yes,98.0,confirm-acknowledge,"
yes  ",,,,punc,type,stop
63,57,A,yes,131.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,76,B,yes,172.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,84,B,yes,183.0,confirm-acknowledge,"
",,,,pause,,
63,84,B,yes,183.0,confirm-acknowledge,"
",,,,punc,type,stop
63,89,A,dm,190.0,confirm-acknowledge,"
aha ",,,,punc,type,stop
63,93,A,dm,198.0,confirm-acknowledge,"
right ",,,,punc,type,stop
63,107,A,yes,224.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,144,B,yes,278.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
63,220,B,dm,381.0,confirm-acknowledge,"
right ",,,,punc,type,stop
65,8,B,yes,13.0,confirm-acknowledge,"
yep ",,,,punc,type,stop
65,14,B,yes,25.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
66,8,B,yes,18.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
67,12,B,yes,20.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
67,23,A,yes,38.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
67,50,B,dm,84.0,confirm-acknowledge,"
right ",,,,punc,type,stop
68,76,B,yes,140.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
68,90,B,yes,160.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
69,35,A,yes,92.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
70,24,B,yes,41.0,confirm-acknowledge,"
",,,,overlap,type,start
70,24,B,yes,41.0,confirm-acknowledge,"
",,,,punc,type,stop
70,37,A,dm,65.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
70,42,B,yes,72.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
70,81,A,yes,147.0,confirm-acknowledge,"
",,,,overlap,type,start
70,81,A,yes,147.0,confirm-acknowledge,"
",,,,punc,type,stop
70,85,A,dm,155.0,confirm-acknowledge,"
aha ",,,,punc,type,stop
70,99,A,yes,179.0,confirm-acknowledge,"
yes ",,,,punc,type,stop
70,126,B,yes,240.0,confirm-acknowledge,"
yeah ",,,,punc,type,stop
70,131,A,dm,254.0,confirm-acknowledge,"
ok then ",tag,,,punc,type,stop
