DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,27,A,frag,64.0,confirm-refer,"
not that date ",decl,date,negative,punc,type,stop
39,35,A,frag,80.0,confirm-refer,"
in ",partial-decl,time,positive,overlap,type,end
39,35,A,frag,80.0,confirm-refer,"
in ",partial-decl,time,positive,punc,type,stop
51,78,B,frag,154.0,confirm-refer,"
",decl,,positive,anonym,type,alpha
51,78,B,frag,154.0,confirm-refer,"
",decl,,positive,anonym,type,letter
51,78,B,frag,154.0,confirm-refer,"
",decl,,positive,anonym,type,alpha
51,78,B,frag,154.0,confirm-refer,"
",decl,,positive,punc,type,stop
60,14,B,frag,23.0,confirm-refer,"
7:55 ",decl,,positive,punc,type,stop
63,65,A,frag,146.0,confirm-refer,"
for the same price ",partial-decl,,positive,punc,type,stop
63,110,B,frag,227.0,confirm-refer,"
on 16th of October as well ",partial-decl,month-date,positive,punc,type,stop
65,12,B,frag,23.0,confirm-refer,"
just Single ",decl,fare,positive,punc,type,stop
69,29,A,frag,78.0,confirm-refer,"
not on the Super Advance ticket ",decl,fare-journey,negative,punc,type,stop
