DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,47,A,yes,115.0,confirm-state,"
yeah ",,,,punc,type,stop
45,12,B,decl,22.0,confirm-state,"
the 9th ",decl,,positive,punc,type,stop
48,130,B,decl,208.0,confirm-state,"
it's 05 ",decl,,positive,punc,type,stop
48,145,A,decl,230.0,confirm-state,"
what i've actually managed to do is book you a table seat ",decl,booking,positive,punc,type,stop
52,12,B,decl,20.0,confirm-state,"
i... it's just a Single ticket ",decl-disflu,fare-journey,positive,punc,type,stop
57,25,A,decl,55.0,confirm-state,"
this is called a Super Advance Return ",decl,fare,positive,punc,type,stop
57,51,A,decl,116.0,confirm-state,"
it's a Virgin groupie ",decl,,positive,punc,type,stop
59,12,B,dm,25.0,confirm-state,"
mhm ",,,,punc,type,stop
62,16,B,decl,31.0,confirm-state,"
that's it ",decl,,positive,punc,type,stop
63,70,B,yes,158.0,confirm-state,"
yes ",,,,punc,type,stop
63,217,A,frag,376.0,confirm-state,"
from Stockport ",partial-decl,booking-location-from,positive,overlap,type,end
63,217,A,frag,376.0,confirm-state,"
from Stockport ",partial-decl,booking-location-from,positive,backchannel,content,yes
63,217,A,frag,376.0,confirm-state,"
from Stockport ",partial-decl,booking-location-from,positive,punc,type,stop
70,93,A,decl,170.0,confirm-state,"
that's for an extra 3 pounds 50 ",decl,enum-fare-location,positive,overlap,type,start
70,93,A,decl,170.0,confirm-state,"
that's for an extra 3 pounds 50 ",decl,enum-fare-location,positive,punc,type,stop
70,179,A,decl,321.0,confirm-state,"
that's great ",decl,,positive,punc,type,stop
