DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,15,A,frag,20.0,confirm,"
from Birmingham International
",deixis,location-from,positive,,,
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,length,7s
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,,
1,25,A,decl,37.0,confirm,"
and that's for the eighth of October
",,month-date,positive,,,
1,33,A,frag,65.0,confirm,"
on the eighth October
",deixis,month,positive,,,
1,33,A,decl,66.0,confirm,"
you're travelling from Birmingham New Street at 7 33 ",,time-location-from-journey,positive,pause,,
1,33,A,frag,67.0,confirm,"
arriving in Euston at 9 05
",deixis,location-time-arrival,positive,,,
1,39,A,decl,76.0,confirm,"
i'm booking from Euston to Birmingham New Street
",reportIntent,to-location-from-booking,positive,,,
1,41,A,frag,78.0,confirm,"
on the 8th again ",deixis,,positive,pause,length,2s
1,41,A,frag,79.0,confirm,"
departing 17 15
",deixis,departure-time,positive,,,
1,43,A,decl,81.0,confirm,"
",,fare,positive,pause,length,3s
2,11,A,frag,14.0,confirm,"
third of Oc...
",abandon,date,positive,,,
2,23,A,decl,32.0,confirm,"
and that's Monday the fifth
",,day,positive,,,
2,34,B,frag,51.0,confirm,"
30 em ",partial,enum,positive,pause,,
2,35,A,decl,54.0,confirm,"
you don't want to book at all
",closure,preference-booking,negative,,,
3,13,A,frag,16.0,confirm,"
Saturday
",partial,day,positive,,,
3,27,A,frag,32.0,confirm,"
",,month-date,positive,pause,,
3,29,A,decl,35.0,confirm,"
that's on Monday the fifth of October
",,month-day-date,positive,,,
3,99,A,decl,135.0,confirm,"
and that's Saturday the third of October from Macclesfield at 9 52 in the morning
",,time-day-month-from-date,positive,,,
3,103,A,frag,141.0,confirm,"
returning Monday the fifth of October departing at 14 hundred
",deixis,time-departure-month-day-return-date,positive,,,
3,105,A,frag,143.0,confirm,"
",deixis,to-location-from,positive,pause,,
4,11,A,decl,19.0,confirm,"
it's Friday the ninth of October ",,day-to-month-location-from-date,positive,backchannel,content,yes
4,11,A,decl,19.0,confirm,"
it's Friday the ninth of October ",,day-to-month-location-from-date,positive,pause,,
4,16,B,decl,37.0,confirm,"
the train from Liverpool goes to Wigan anyway yeah
",,to-location-from,positive,,,
4,19,A,decl,44.0,confirm,"
you want a ticket from Wigan now
",closure,preference-from-journey,positive,,,
4,24,B,decl,52.0,confirm,"
that's the cheapest
",,fare,positive,,,
4,26,B,decl,59.0,confirm,"
erm ",exists,,negative,pause,length,3s
4,26,B,no,60.0,confirm,"
no
",,,,,,
