DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,16,B,frag,21.0,correct,"
New Street
",deixis,,positive,,,
1,64,B,decl,116.0,correct,"
it's a debit card ",,creditcard,positive,backchannel,content,aha
3,101,A,frag,138.0,correct,"
52
",partial,,positive,,,
11,21,A,decl,36.0,correct,"
it's the 10 45
",,enum,positive,,,
12,37,A,frag,54.0,correct,"
20 13
",,enum,positive,,,
13,86,B,frag,130.0,correct,"
{letter}%18 {letter}%15 ",,enum-spell,positive,pause,,
14,6,B,frag,10.0,correct,"
to Wrexham
",deixis,to-location,positive,,,
14,65,A,frag,113.0,correct,"
1 to 4
",,enum,positive,,,
14,65,A,frag,114.0,correct,"
1 2 3 4
",,enum,positive,,,
14,70,B,frag,120.0,correct,"
{letter}%23 {letter}%0 {letter}%12 {letter}%21 {letter}%9
",,enum-spell,positive,,,
15,28,B,frag,55.0,correct,"
5 adults 4 children
",,enum,positive,,,
15,55,A,frag,100.0,correct,"
the credit card
",,creditcard,positive,,,
20,15,A,frag,27.0,correct,"
15 50
",,enum,positive,,,
23,11,A,frag,17.0,correct,"
",,day,positive,pause,,
23,11,A,frag,17.0,correct,"
",,day,positive,pause,,
23,25,A,frag,40.0,correct,"
the eighth ",,,positive,overlap,type,end
24,55,A,frag,102.0,correct,"
Sunday the fourth yes
",,day,positive,,,
28,82,B,frag,150.0,correct,"
12 o'clock
",,time,positive,,,
28,227,A,decl,338.0,correct,"
",,day-fare-journey,negative,overlap,type,end
34,39,A,frag,87.0,correct,"
",,fare,positive,overlap,type,end
34,41,A,frag,90.0,correct,"
not return on a Friday
",,day-fare,negative,,,
35,10,B,decl,19.0,correct,"
it's for one
",,number,positive,,,
38,101,A,frag,153.0,correct,"
52 ",decl,,positive,punc,type,stop
40,101,A,frag,153.0,correct,"
52 ",decl,,positive,punc,type,stop
46,37,A,frag,86.0,correct,"
10:35 ",decl,,positive,punc,type,stop
47,35,A,frag,57.0,correct,"
20:13 ",decl,,positive,punc,type,stop
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,pause,,
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,anonym,type,letter
48,86,B,frag,147.0,correct,"
",decl,,positive,punc,type,stop
50,53,A,decl,103.0,correct,"
the credit card ",decl,creditcard,positive,punc,type,stop
51,23,A,decl,41.0,correct,"
that's the Super Advance ",decl,fare,positive,punc,type,stop
55,15,A,frag,35.0,correct,"
15:50 ",decl,,positive,punc,type,stop
