DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,2,B,decl,4.0,direct,"
em it's from Birmingham to em London Euston please
",closure,to-location-from,positive,,,
1,36,B,frag,70.0,direct,"
non smoking ",closure,seat,positive,overlap,type,start
1,38,B,frag,72.0,direct,"
erm ",condition-closure,seat,positive,pause,,
1,61,A,imp,111.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
2,2,B,frag,4.0,direct,"
er Euston to Manchester please
",closure,to-location,positive,,,
3,2,B,frag,4.0,direct,"
er from Macclesfield to London Euston return
",deixis-closure,to-location-from-fare,positive,,,
3,16,B,frag,19.0,direct,"
em about 9 o'clock
",closure,time,positive,,,
3,18,B,frag,21.0,direct,"
er ",deixis-closure,day-time-month-date,positive,pause,,
3,18,B,frag,21.0,direct,"
er ",deixis-closure,day-time-month-date,positive,pause,,
3,24,B,frag,29.0,direct,"
er 8 minutes to 10
",closure,time,positive,,,
3,32,B,q-yn,40.0,direct,"
er could i er ",closed,time,positive,pause,,
3,46,B,yes,59.0,direct,"
yeah
",closure,,,,,
3,48,B,no,61.0,direct,"
no
",,,,,,
3,51,A,decl,67.0,direct,"
if i ask you to be there for 60 minutes before departure time on the day of travel ",condition,time-day-departure-journey,positive,backchannel,content,yes
3,94,B,frag,123.0,direct,"
er non smoking
",closure,seat,positive,,,
3,96,B,no,125.0,direct,"
er no
",closure,,,,,
3,115,A,decl,169.0,direct,"
you quote that reference number
",,number,positive,,,
3,115,A,imp,170.0,direct,"
show your credit card
",,creditcard,positive,,,
4,2,B,decl,5.0,direct,"
i wanna buy em a ticket for Edinburgh
",intent,preference-location-journey,positive,,,
4,60,B,imp,137.0,direct,"
book that for ",,booking,positive,overlap,type,start
4,83,A,imp,173.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
5,2,B,decl,4.0,direct,"
erm i  want em a Virgin val... value fare from London to Birmingham please
",intent-closure-closure,location-preference-to-from-fare,positive,,,
6,2,B,frag,4.0,direct,"
Preston to Rugby
",deixis-closure,to-location,positive,,,
6,28,B,frag,42.0,direct,"
non smoking
",closure,seat,positive,,,
6,30,B,no,44.0,direct,"
no
",closure,,,,,
6,49,A,imp,68.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
7,2,B,frag,4.0,direct,"
er Wolverhampton to Euston please
",closure,to-location,positive,,,
7,10,B,frag,15.0,direct,"
erm and hopefully the business class please
",,,positive,,,
7,10,B,frag,16.0,direct,"
the business advance
",,fare,positive,,,
7,14,B,decl,27.0,direct,"
it's ",closure,time-location,positive,overlap,type,end
7,53,A,imp,80.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
8,2,B,frag,4.0,direct,"
er from Nuneaton to Euston
",deixis-closure,to-location-from,positive,,,
8,12,B,frag,15.0,direct,"
er tomorrow ",closure,day,positive,pause,,
8,28,B,frag,47.0,direct,"
non smoking please
",closure,seat,positive,,,
8,30,B,frag,49.0,direct,"
erm sort of facing or with my back to the direction of movement
",alternative-closure,seat,positive,,,
8,53,A,imp,91.0,direct,"
give me the postcode first of all yeah
",,address,positive,,,
8,61,A,imp,102.0,direct,"
and just confirm the rest of the address please
",,confirm-address,positive,,,
9,2,B,frag,5.0,direct,"
from London to Crewe please next er Wednesday the seventh of October
",deixis,location-to-month-day-from-date,positive,,,
9,10,B,decl,17.0,direct,"
em i want to be up in Crewe by about 9
",intent-closure-closure,preference,positive,,,
9,16,B,frag,31.0,direct,"
er the following morning on the eighth ",closure-closure,time,positive,pause,,
9,52,B,q-yn,94.0,direct,"
mhm ",closed,seat,positive,pause,,
9,71,A,imp,121.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
10,2,B,decl,4.0,direct,"
er i'd like to go from Preston to London
",intent-closure,location-to-preference-from,positive,,,
10,10,B,frag,14.0,direct,"
er next er next Friday ",closure,day,positive,pause,,
10,20,B,decl,31.0,direct,"
i'll have this one then
",intent,number,positive,,,
11,59,A,imp,104.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
11,62,B,frag,110.0,direct,"
non smoking please
",closure,seat,positive,,,
12,2,B,decl,4.0,direct,"
it's er ",closure,location,positive,pause,,
12,2,B,decl,4.0,direct,"
it's er ",closure,location,positive,pause,,
12,14,B,decl,19.0,direct,"
i'd like this to be processed before 2
",closure,preference,positive,,,
12,28,B,yes,43.0,direct,"
yes please
",,,,,,
12,30,B,frag,46.0,direct,"
non smoking please
",closure,seat,positive,,,
12,32,B,frag,48.0,direct,"
em a table would be good
",closure,,positive,,,
12,56,B,imp,86.0,direct,"
just leave it the 19 80
",,departure-time,positive,,,
12,58,B,yes,88.0,direct,"
yeah ",,,,pause,length,4s
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,length,7s
12,78,B,q-yn,127.0,direct,"
can i get originally from Wilmslow in that case ",closed,from,positive,pause,,
12,78,B,q-yn,128.0,direct,"
can i catch the Wilmslow to ",closed,to-location,positive,pause,,
12,78,B,frag,129.0,direct,"
and then i'll get Euston to Wilmslow
",intent-closure,to-location,positive,,,
12,100,B,q-yn,186.0,direct,"
can you change the outward journey
",closed,journey,positive,,,
12,116,B,frag,211.0,direct,"
",closure,,positive,overlap,type,start
12,118,B,frag,213.0,direct,"
please
",directpartial,,positive,,,
12,139,A,imp,246.0,direct,"
",,confirm-address,positive,pause,length,2s
13,2,B,frag,4.0,direct,"
erm from Durham to Leeds please
",closure,to-location-from,positive,,,
13,18,B,yes,25.0,direct,"
yes
",closure,,,,,
13,20,B,frag,30.0,direct,"
erm 6 53 please
",closure,enum,positive,,,
13,60,B,decl,90.0,direct,"
the Wednesday please
",closure,day,positive,,,
13,66,B,frag,99.0,direct,"
er non smoking please
",closure,seat,positive,,,
13,99,A,imp,147.0,direct,"
and confirm the address for me please
",,confirm-address,positive,,,
14,2,B,frag,4.0,direct,"
er Wrexham
",partial-closure,location,positive,,,
14,24,B,frag,35.0,direct,"
about 11 15
",closure,enum,positive,,,
14,44,B,yes,74.0,direct,"
yes please
",closure,,,,,
14,46,B,frag,77.0,direct,"
er non
",partial-closure,,positive,,,
14,61,A,decl,107.0,direct,"
if i ask you to be there for half an hour before departure time of the train
",condition,time-departure,positive,,,
14,133,A,imp,210.0,direct,"
remember and take your letter of authorisation with you
",,,positive,,,
15,2,B,frag,4.0,direct,"
erm erm Warrington to London tomorrow morning on the 8 44
",deixis-closure,to-location-day-time,positive,,,
16,2,B,decl,4.0,direct,"
erm ",intent-closure,preference-journey-month-date,positive,pause,,
16,38,B,yes,69.0,direct,"
yes please
",closure,,,,,
16,40,B,frag,75.0,direct,"
non smoking please
",,seat,positive,,,
17,2,B,frag,4.0,direct,"
erm Birmingham to Euston ",deixis-closure,to-location,positive,unclear,length,2 syllables
17,34,B,frag,49.0,direct,"
something around 1 o'clock ",,time,positive,pause,,
17,38,B,frag,57.0,direct,"
please ",,,positive,overlap,type,end
17,42,B,frag,62.0,direct,"
non smoking please
",closure,seat,positive,,,
17,44,B,frag,65.0,direct,"
er ",closure,,positive,pause,length,2s
18,42,B,yes,97.0,direct,"
yeah yeah
",,,,,,
18,60,B,decl,133.0,direct,"
erm i'll leave the return journey open yeah
",intent-closure,fare-departure-journey,positive,,,
18,111,A,decl,215.0,direct,"
you just quote that reference number tomorrow ",,day-number-booking,positive,backchannel,content,ok
18,111,A,imp,216.0,direct,"
show your credit card
",,creditcard,positive,,,
18,114,B,q-yn,222.0,direct,"
could you check it
",closed,verify,positive,,,
19,2,B,decl,4.0,direct,"
it's from London Euston to Birmingham International
",closure,to-location-from,positive,,,
19,18,B,frag,25.0,direct,"
leaving ",closure,location-departure-time,positive,pause,,
19,34,B,frag,54.0,direct,"
er with with a table if possibly
",condition-closure,,positive,,,
19,59,A,imp,87.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
20,12,B,frag,20.0,direct,"
erm sort of like afternoonish early afternoon ",closure,time,positive,pause,,
21,2,B,frag,5.0,direct,"
a single ticket from Birmingham International ",,location-to-day-from-fare-journey,positive,pause,,
21,32,B,frag,56.0,direct,"
erm non smoking please
",closure,seat,positive,,,
21,34,B,no,59.0,direct,"
no
",,,,,,
21,57,A,imp,91.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
22,2,B,frag,4.0,direct,"
erm from London to Blackpool
",deixis-closure,to-location-from,positive,,,
22,10,B,frag,15.0,direct,"
Friday the thirtieth of October
",closure,month-day-date,positive,,,
22,26,B,q-yn,61.0,direct,"
would you mind try... er checking for me then erm to travel on the Thursday ",closed,day-time-journey-verify,positive,pause,,
22,56,B,yes,126.0,direct,"
yeah please
",closure,,,,,
23,2,B,frag,4.0,direct,"
erm ",deixis-closure,to-location-from,positive,pause,,
23,10,B,q-yn,13.0,direct,"
er Monday the ",closed,day,positive,pause,length,3s
23,10,B,q-yn,13.0,direct,"
er Monday the ",closed,day,positive,pause,,
23,18,B,frag,26.0,direct,"
er ",opinion,enum,positive,pause,,
23,42,B,yes,66.0,direct,"
yes please
",closure,,,,,
23,61,A,imp,94.0,direct,"
confirm that address for me please
",,confirm-address,positive,,,
23,82,B,frag,128.0,direct,"
er smoking please
",closure,seat,positive,,,
23,84,B,frag,132.0,direct,"
erm possibly facing forward
",closure,seat,positive,,,
24,2,B,frag,4.0,direct,"
er a journey from Liverpool to Newcastle
",closure,to-location-from-journey,positive,,,
24,43,A,imp,72.0,direct,"
",,confirm-address,positive,pause,length,3s
24,48,B,frag,82.0,direct,"
smoking please
",closure,seat,positive,,,
25,2,B,frag,4.0,direct,"
erm from Euston to Manchester Picadilly please
",closure,to-location-from,positive,,,
25,12,B,frag,18.0,direct,"
",closure,enum,positive,pause,,
25,30,B,frag,46.0,direct,"
non smoking please
",closure,seat,positive,,,
25,42,B,decl,72.0,direct,"
you'll have to not ",constrain,,negative,pause,,
25,42,B,decl,72.0,direct,"
you'll have to not ",constrain,,negative,pause,,
26,2,B,frag,4.0,direct,"
oh good afternoon erm
",greet-closure,opening,positive,,,
26,20,B,frag,31.0,direct,"
er on Friday the thirtieth of October
",deixis-closure,month-day-date,positive,,,
26,46,B,frag,96.0,direct,"
erm non smoking
",closure,seat,positive,,,
26,48,B,q-yn,102.0,direct,"
going could i travel erm front facing ",closed,journey-seat,positive,pause,,
26,48,B,q-yn,102.0,direct,"
going could i travel erm front facing ",closed,journey-seat,positive,pause,,
26,50,B,q-yn,109.0,direct,"
could i have erm
",abandon-closed,,positive,,,
26,50,B,q-yn,113.0,direct,"
could i have front facing from Taunton to erm that's it from Taunton
",closed,location-from-seat,positive,,,
26,52,B,imp,120.0,direct,"
don't mind that
",,,negative,,,
27,2,B,decl,4.0,direct,"
i want er two tickets to er from er Leicester to Newton Abbot
",intent-closure,location-to-preference-from-number-journey,positive,,,
27,30,B,frag,55.0,direct,"
non smoking please
",closure,seat,positive,,,
27,33,A,decl,72.0,direct,"
you send those tickets back ",,journey,positive,backchannel,content,yes
27,81,A,imp,138.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
28,14,B,frag,25.0,direct,"
er in the morning
",deixis-closure,time,positive,,,
28,80,B,frag,147.0,direct,"
12 o'clock
",closure,time,positive,,,
29,2,B,frag,4.0,direct,"
er Wigan North Western to London Euston please
",closure,to-location,positive,,,
29,10,B,frag,15.0,direct,"
erm on the 6 34 from Wigan please
",closure,enum-from,positive,,,
29,14,B,frag,21.0,direct,"
erm the same evening
",closure,time,positive,,,
29,24,B,q-yn,47.0,direct,"
can you do can 
",abandon-closed,,positive,,,
29,34,B,q-yn,71.0,direct,"
can we book on that one please
",closed,booking,positive,,,
29,46,B,frag,87.0,direct,"
non smoking please
",closure,seat,positive,,,
29,48,B,decl,89.0,direct,"
erm if you can do us on a table that'd be beneficial
",poss2-condition,preference,positive,,,
29,73,A,imp,124.0,direct,"
and confirm that address for me
",,confirm-address,positive,,,
29,79,A,yes,133.0,direct,"
yes
",closure,,,,,
30,2,B,frag,4.0,direct,"
er Manchester Picadilly
",deixis-closure,location,positive,,,
31,2,B,frag,4.0,direct,"
erm Manchester Picadilly to Birmingham N E C
",deixis-closure,to-location,positive,,,
31,12,B,decl,22.0,direct,"
i'd like to get to Birmingham N E C for as close to 9 o'clock either side of it as i can ",poss1-alternativeIntent,time-location-to-preference,positive,pause,length,4s
32,2,B,decl,4.0,direct,"
erm i wish to travel to London tomorrow morning
",closure,to-day-preference-time-location-journey,positive,,,
33,2,B,decl,4.0,direct,"
erm i'd like to purchase a ticket for the journey from Euston to Liverpool Lime Street
",intent-closure,journey-location-preference-to-from,positive,,,
33,10,B,frag,13.0,direct,"
erm 8 o'clock
",closure,time,positive,,,
34,2,B,decl,4.0,direct,"
it's from Edinburgh to Milton Keynes
",closure,to-location-from,positive,,,
34,8,B,decl,13.0,direct,"
i'd like to travel out on Sunday the fourth of October 
",intent,preference-day-month-date-journey,positive,,,
35,24,B,frag,36.0,direct,"
10 30 ",closure,enum,positive,pause,length,4s
35,108,B,yes,172.0,direct,"
yeah
",,,,,,
35,110,B,decl,186.0,direct,"
if i could sort of facing you know the ",poss1-condition,journey-seat,positive,overlap,type,start
35,114,B,yes,194.0,direct,"
yes
",,,,,,
35,134,B,imp,233.0,direct,"
let's go for it
",,,positive,,,
36,61,A,imp,115.0,direct,"
and confirm that address for me please ",request-frag,confirm-address,positive,punc,type,level
38,115,A,imp,187.0,direct,"
show your credit card
",,creditcard,positive,,,
39,58,B,imp,142.0,direct,"
book that for ",decl,booking,positive,overlap,type,start
39,58,B,imp,142.0,direct,"
book that for ",decl,booking,positive,punc,type,stop
39,81,A,imp,186.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
40,115,A,imp,187.0,direct,"
show your credit card
",,creditcard,positive,,,
41,49,A,imp,75.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
