DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
3,48,B,decl,62.0,directElab,"
we'll go for the er
",abandon-closure,preference,positive,,,
4,2,B,frag,6.0,directElab,"
to leave em going on the ninth of October
",,month-departure-date,positive,,,
12,14,B,decl,20.0,directElab,"
if i could ",poss1-condition,,positive,pause,,
12,14,B,frag,21.0,directElab,"
erm ",,departure,positive,pause,,
12,14,B,decl,22.0,directElab,"
if i could get a super advance return
",poss1-condition,fare,positive,,,
12,14,B,frag,23.0,directElab,"
that'd be great
",appreciate,,positive,,,
12,34,B,frag,51.0,directElab,"
facing ",partial,seat,positive,overlap,type,end
12,58,B,frag,89.0,directElab,"
em and returning ",,time-return,positive,pause,,
12,58,B,frag,89.0,directElab,"
em and returning ",,time-return,positive,pause,length,5s
12,58,B,frag,89.0,directElab,"
em and returning ",,time-return,positive,pause,,
12,58,B,frag,89.0,directElab,"
em and returning ",,time-return,positive,pause,,
18,42,B,decl,98.0,directElab,"
if if that's poss...
",condition-abandon,,positive,,,
18,42,B,decl,99.0,directElab,"
just so i can make sure i've got a seat on there ",poss1,,positive,pause,,
18,42,B,decl,100.0,directElab,"
i mean...
",abandon,,positive,,,
21,34,B,frag,60.0,directElab,"
",,seat-preference,positive,pause,,
24,2,B,frag,5.0,directElab,"
er leaving Liverpool at 12 either the 12 17 or 12 22 on Saturday the fourth of Oct... Saturday the third of October
",alternative,location-departure-month-time-day-date,positive,,,
28,14,B,decl,26.0,directElab,"
if it is possible after ",condition,,positive,unclear,length,1 syllable
30,2,B,frag,5.0,directElab,"
5 30 tomorrow evening
",,day-time,positive,,,
