DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,63,A,frag,118.0,echo-refer,"
12  ",decl,,positive,punc,type,stop
36,65,A,frag,122.0,echo-refer,"
2 5 9 ",frag,enum,positive,punc,type,level
36,67,A,frag,124.0,echo-refer,"
5 3 1 ",frag,enum,positive,punc,type,level
36,69,A,frag,126.0,echo-refer,"
1 5 1 ",frag,enum,positive,punc,type,level
36,71,A,frag,128.0,echo-refer,"
8 6 1 ",frag,enum,positive,punc,type,level
36,73,A,frag,130.0,echo-refer,"
9 1 1 ",frag,enum,positive,punc,type,level
36,75,A,frag,132.0,echo-refer,"
0 1 5 ",decl,enum,positive,punc,type,stop
37,13,A,frag,18.0,echo-refer,"
October ",decl,month,positive,overlap,type,end
37,13,A,frag,18.0,echo-refer,"
October ",decl,month,positive,punc,type,stop
37,16,B,frag,24.0,echo-refer,"
every hour ",decl,time,positive,punc,type,stop
37,34,B,frag,56.0,echo-refer,"
30 ",decl,,positive,punc,type,stop
38,65,A,frag,98.0,echo-refer,"
8 4 1 ",frag,enum,positive,punc,type,level
38,67,A,frag,100.0,echo-refer,"
treble 9 ",decl,,positive,punc,type,stop
38,77,A,frag,115.0,echo-refer,"
9 9 ",frag,enum,positive,punc,type,level
38,79,A,frag,117.0,echo-refer,"
9 0 ",frag,enum,positive,punc,type,level
38,81,A,frag,119.0,echo-refer,"
4 8 ",frag,enum,positive,punc,type,level
38,83,A,frag,121.0,echo-refer,"
1 6 ",frag,enum,positive,punc,type,level
38,85,A,frag,123.0,echo-refer,"
4 8 ",frag,enum,positive,punc,type,level
38,87,A,frag,125.0,echo-refer,"
6 5 ",frag,enum,positive,punc,type,level
38,89,A,frag,127.0,echo-refer,"
8 9 ",frag,enum,positive,punc,type,level
38,91,A,frag,129.0,echo-refer,"
1 9 ",decl,enum,positive,punc,type,stop
38,110,B,frag,179.0,echo-refer,"
9 8 4 1 ",frag,enum,positive,punc,type,level
38,112,B,frag,181.0,echo-refer,"
1 1 8 8 ",frag,enum,positive,punc,type,level
38,114,B,frag,183.0,echo-refer,"
",decl,,positive,anonym,type,letter
38,114,B,frag,183.0,echo-refer,"
",decl,,positive,punc,type,stop
39,89,A,frag,198.0,echo-refer,"
0 0 7 2 ",frag,enum,positive,punc,type,level
39,91,A,frag,200.0,echo-refer,"
4 0 double 2 ",frag,enum,positive,punc,type,level
39,93,A,frag,202.0,echo-refer,"
0 5 1 5 ",frag,enum,positive,punc,type,level
39,95,A,frag,204.0,echo-refer,"
4 6 2 7 ",decl,enum,positive,punc,type,stop
