DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
38,42,B,frag,62.0,echo-reqConfirm,"
15:52 ",query,,positive,punc,type,query
38,63,A,frag,93.0,echo-reqConfirm,"
0 1 5 0 5 ",query,enum,positive,punc,type,query
40,42,B,frag,62.0,echo-reqConfirm,"
15:52 ",query,,positive,punc,type,query
40,63,A,frag,93.0,echo-reqConfirm,"
0 1 5 0 5 ",query,enum,positive,punc,type,query
42,15,A,decl,33.0,echo-reqConfirm,"
the 9:19 ",query,,positive,punc,type,query
47,80,B,frag,145.0,echo-reqConfirm,"
17:14 ",query,,positive,punc,type,query
48,3,A,frag,7.0,echo-reqConfirm,"
",partial-query,to-location-from,positive,pause,,
48,3,A,frag,7.0,echo-reqConfirm,"
",partial-query,to-location-from,positive,punc,type,query
55,24,B,decl,59.0,echo-reqConfirm,"
the day before ",query,time-day,positive,punc,type,query
59,41,A,frag,85.0,echo-reqConfirm,"
8 ",query,enum,positive,anonym,type,letter
59,41,A,frag,85.0,echo-reqConfirm,"
8 ",query,enum,positive,anonym,type,alpha
59,41,A,frag,85.0,echo-reqConfirm,"
8 ",query,enum,positive,anonym,type,letter
59,41,A,frag,85.0,echo-reqConfirm,"
8 ",query,enum,positive,anonym,type,alpha
59,41,A,frag,85.0,echo-reqConfirm,"
8 ",query,enum,positive,punc,type,query
63,39,A,frag,97.0,echo-reqConfirm,"
20 pounds ",query,fare-enum,positive,punc,type,query
63,75,A,frag,171.0,echo-reqConfirm,"
in the morning ",partial-query,time,positive,punc,type,query
63,83,A,frag,182.0,echo-reqConfirm,"
12 o'clock ",decl,time-enum,positive,punc,type,query
63,88,B,frag,189.0,echo-reqConfirm,"
14:18 in the afternoon ",query,time-enum,positive,punc,type,query
63,121,A,no,244.0,echo-reqConfirm,"
no ",query,,,punc,type,query
65,21,A,no,34.0,echo-reqConfirm,"
no ",query,,,punc,type,query
66,7,A,frag,17.0,echo-reqConfirm,"
October the 15th ",query,month,positive,punc,type,query
