DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
43,57,A,frag,116.0,echo-state,"
7 ",decl,enum,positive,anonym,type,letter
43,57,A,frag,116.0,echo-state,"
7 ",decl,enum,positive,anonym,type,letter
43,57,A,frag,116.0,echo-state,"
7 ",decl,enum,positive,punc,type,stop
52,35,A,frag,58.0,echo-state,"
1 o'clock ",decl,time-enum,positive,pause,length,4s
52,35,A,frag,58.0,echo-state,"
1 o'clock ",decl,time-enum,positive,punc,type,stop
53,99,A,frag,219.0,echo-state,"
2001 ",decl,number,positive,overlap,type,end
53,99,A,frag,219.0,echo-state,"
2001 ",decl,number,positive,punc,type,stop
57,48,B,frag,111.0,echo-state,"
twosome ",decl,,positive,punc,type,stop
64,24,B,frag,43.0,echo-state,"
21:06 ",decl,,positive,punc,type,stop
64,87,A,frag,156.0,echo-state,"
double 3 9 3 ",frag,enum,positive,punc,type,level
68,15,A,frag,24.0,echo-state,"
",decl,,positive,pause,,
68,15,A,frag,24.0,echo-state,"
",decl,,positive,punc,type,stop
69,52,B,frag,128.0,echo-state,"
",decl,fare,positive,pause,length,2s
69,52,B,frag,128.0,echo-state,"
",decl,fare,positive,punc,type,stop
