DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,63,A,frag,114.0,echo,"
11 ",partial,enum,positive,pause,,
1,65,A,frag,118.0,echo,"
1 3 5
",,enum,positive,,,
1,67,A,frag,120.0,echo,"
5 3 1
",,enum,positive,,,
1,69,A,frag,122.0,echo,"
1 5 1
",,enum,positive,,,
1,71,A,frag,124.0,echo,"
8 6 1
",,enum,positive,,,
1,73,A,frag,126.0,echo,"
9 1 1
",,enum,positive,,,
1,75,A,frag,128.0,echo,"
0 1 5
",,enum,positive,,,
2,13,A,frag,16.0,echo,"
October ",partial,month,positive,overlap,type,end
2,16,B,frag,22.0,echo,"
every hour ",deixis,time,positive,pause,,
3,40,B,frag,51.0,echo,"
",deixis-abandon,,positive,pause,,
3,42,B,frag,54.0,echo,"
15 52
",,enum,positive,,,
3,65,A,frag,87.0,echo,"
8 4 1
",,enum,positive,,,
3,67,A,frag,89.0,echo,"
treble 4 ",,enum,positive,pause,,
3,77,A,frag,103.0,echo,"
9 9
",,enum,positive,,,
3,79,A,frag,105.0,echo,"
9 0
",,enum,positive,,,
3,81,A,frag,107.0,echo,"
4 9
",,enum,positive,,,
3,83,A,frag,109.0,echo,"
1 9
",,enum,positive,,,
3,85,A,frag,111.0,echo,"
4 8
",,enum,positive,,,
3,87,A,frag,113.0,echo,"
6 5
",,enum,positive,,,
3,89,A,frag,115.0,echo,"
8 9
",,enum,positive,,,
3,91,A,frag,117.0,echo,"
1 8
",,enum,positive,,,
3,100,B,frag,136.0,echo,"
9 32
",,enum,positive,,,
3,110,B,frag,162.0,echo,"
9 8 4 1
",,enum,positive,,,
3,112,B,frag,164.0,echo,"
1 1 8 8
",,enum,positive,,,
3,114,B,frag,166.0,echo,"
{letter}%8
",partial,spell,positive,,,
4,91,A,frag,182.0,echo,"
0 0 8 2
",,enum,positive,,,
4,93,A,frag,184.0,echo,"
4 0 double 2
",,enum,positive,,,
4,95,A,frag,186.0,echo,"
0 5 1 5
",,enum,positive,,,
4,97,A,frag,188.0,echo,"
4 6 2 7
",,enum,positive,,,
5,12,B,no,17.0,echo,"
no
",,,,,,
5,26,B,frag,36.0,echo,"
",,time-arrival,positive,pause,,
6,57,A,frag,81.0,echo,"
7 4 4
",,enum,positive,,,
6,59,A,frag,83.0,echo,"
0 8 4
",,enum,positive,,,
6,61,A,frag,85.0,echo,"
4 4 8 4
",,enum,positive,,,
6,63,A,frag,87.0,echo,"
8 8 4 8
",,enum,positive,,,
6,65,A,frag,89.0,echo,"
0 2 7 0
",,enum,positive,,,
6,71,A,frag,98.0,echo,"
7 4 4
",,enum,positive,,,
6,75,A,frag,102.0,echo,"
4 4 8 4
",,enum,positive,,,
6,77,A,frag,104.0,echo,"
8 8 4 8
",,enum,positive,,,
6,79,A,frag,106.0,echo,"
0 2 7 0 
",,enum-number,positive,,,
6,88,B,frag,119.0,echo,"
{letter}%18 {letter}%0 4 {letter}%25
",,enum-spell,positive,,,
7,15,A,frag,28.0,echo,"
the 9 19
",,enum,positive,,,
7,61,A,frag,89.0,echo,"
1 1 double 9
",,enum,positive,,,
7,63,A,frag,91.0,echo,"
5 0 double 5
",,enum,positive,,,
7,65,A,frag,93.0,echo,"
0 800
",,enum,positive,,,
7,67,A,frag,95.0,echo,"
1 1 6 9
",,enum,positive,,,
7,72,B,frag,103.0,echo,"
5 1 1
",,enum,positive,,,
8,55,A,frag,93.0,echo,"
{letter}%16 9 4
",,enum-spell,positive,,,
8,57,A,frag,95.0,echo,"
7 {letter}%14 {letter}%3 ",,enum,positive,pause,,
8,71,A,frag,116.0,echo,"
8 4 9 7
",,enum,positive,,,
8,73,A,frag,118.0,echo,"
9 8 4
",,enum,positive,,,
8,75,A,frag,120.0,echo,"
4 4 4
",,enum,positive,,,
8,77,A,frag,122.0,echo,"
7 1 4
",,enum,positive,,,
8,79,A,frag,124.0,echo,"
7 8
",,enum,positive,,,
8,81,A,frag,127.0,echo,"
2 7 2 2
",,enum,positive,,,
9,47,A,frag,87.0,echo,"
miss ",,miss,positive,pause,length,2s
9,77,A,frag,131.0,echo,"
0 1 3 2
",,enum,positive,,,
9,79,A,frag,133.0,echo,"
8 5 7
",,enum,positive,,,
9,81,A,frag,135.0,echo,"
6 9 8 2
",,enum,positive,,,
9,83,A,frag,138.0,echo,"
7 2 7 2
",,enum,positive,,,
9,85,A,frag,140.0,echo,"
8 9 8 2
",,enum,positive,,,
9,87,A,frag,142.0,echo,"
2 7 3 6
",,enum,positive,,,
9,89,A,frag,144.0,echo,"
8 9 2 2
",,enum,positive,,,
9,91,A,frag,147.0,echo,"
2 4 4
",,enum,positive,,,
9,102,B,frag,168.0,echo,"
7 3 4 2
",,enum,positive,,,
9,104,B,frag,170.0,echo,"
2 2 8 8
",,enum,positive,,,
11,22,B,frag,37.0,echo,"
10 45
",,enum,positive,,,
11,38,B,frag,70.0,echo,"
10 35
",,enum,positive,,,
11,77,A,frag,143.0,echo,"
3 1 6 1
",,enum,positive,,,
11,79,A,frag,145.0,echo,"
5 3 6
",,enum,positive,,,
11,81,A,frag,147.0,echo,"
3 6 0
",,enum,positive,,,
11,83,A,frag,149.0,echo,"
4 3 2
",,enum,positive,,,
11,88,B,frag,157.0,echo,"
2 1 2 0
",,enum,positive,,,
11,90,B,frag,159.0,echo,"
0 0 6 6
",,enum,positive,,,
11,94,B,frag,163.0,echo,"
14 pounds
",,fare,positive,,,
12,38,B,frag,55.0,echo,"
13
",,,positive,,,
12,82,B,frag,135.0,echo,"
17 14
",closure,enum,positive,,,
12,131,A,frag,238.0,echo,"
0 1 4 7
",closure,enum,positive,,,
12,133,A,frag,240.0,echo,"
8 8 4
",,enum,positive,,,
12,135,A,frag,242.0,echo,"
0 9 1 8
",,enum,positive,,,
12,145,A,frag,252.0,echo,"
9 4 7 1
",,enum,positive,,,
12,147,A,frag,254.0,echo,"
8 0 9 0
",,enum,positive,,,
12,149,A,frag,256.0,echo,"
1 1 0 7
",,enum,positive,,,
12,151,A,frag,258.0,echo,"
9 4 8 7
",,enum,positive,,,
12,153,A,frag,261.0,echo,"
ninth 99
",,,positive,,,
13,3,A,frag,5.0,echo,"
",deixis,to-location-from,positive,pause,,
13,30,B,frag,45.0,echo,"
19 09 19 09
",,enum,positive,,,
13,32,B,frag,48.0,echo,"
20 26
",,enum,positive,,,
13,85,A,frag,128.0,echo,"
start with {letter}%18 {letter}%15 {letter}%11
",,enum-spell,positive,,,
13,111,A,frag,161.0,echo,"
8 6 0 6
",,enum,positive,,,
13,113,A,frag,163.0,echo,"
9 8 0
",,enum,positive,,,
13,115,A,frag,165.0,echo,"
3 0 8
",,enum,positive,,,
13,117,A,frag,167.0,echo,"
0 8 0
",,enum,positive,,,
13,123,A,frag,179.0,echo,"
8 6 0 6
",,enum,positive,,,
