DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,18,B,yes,28.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
37,24,B,yes,38.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
39,10,B,yes,19.0,elab-acknowledge,"
yes ",,,,punc,type,stop
39,35,A,yes,81.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
43,50,B,yes,101.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
45,12,B,yes,23.0,elab-acknowledge,"
yes ",,,,punc,type,stop
45,14,B,yes,26.0,elab-acknowledge,"
yes ",,,,punc,type,stop
45,18,A,yes,33.0,elab-acknowledge,"
yes ",,,,punc,type,stop
47,95,A,yes,189.0,elab-acknowledge,"
yeah ",,,,punc,type,level
48,64,B,yes,109.0,elab-acknowledge,"
yes ",,,,punc,type,stop
49,27,A,yes,56.0,elab-acknowledge,"
yes ",,,,punc,type,stop
52,25,A,yes,40.0,elab-acknowledge,"
yes ",,,,punc,type,stop
52,38,B,yes,67.0,elab-acknowledge,"
",,,,overlap,type,end
52,38,B,yes,67.0,elab-acknowledge,"
",,,,punc,type,stop
53,40,B,yes,111.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
53,58,B,yes,153.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
54,4,B,yes,9.0,elab-acknowledge,"
yes ",,,,punc,type,stop
54,10,B,yes,16.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
54,16,B,yes,26.0,elab-acknowledge,"
yes ",,,,punc,type,stop
54,20,B,yes,32.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
54,24,B,yes,39.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
54,30,B,yes,54.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
55,10,B,yes,23.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
55,22,B,yes,53.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
59,42,B,yes,87.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
60,14,B,yes,24.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
61,14,B,yes,23.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
64,4,B,yes,9.0,elab-acknowledge,"
yes ",,,,punc,type,stop
65,6,B,yes,11.0,elab-acknowledge,"
yeah ",,,,punc,type,stop
