DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,12,B,no,24.0,elab-negate,"
no ",,,,punc,type,stop
39,27,A,no,65.0,elab-negate,"
no ",,,,punc,type,stop
39,62,B,no,154.0,elab-negate,"
no
",,,,,,
44,8,B,no,19.0,elab-negate,"
no ",,,,punc,type,stop
47,87,A,no,166.0,elab-negate,"
no ",,,,punc,type,stop
48,120,B,no,191.0,elab-negate,"
",,,,pause,,
48,120,B,no,191.0,elab-negate,"
",,,,punc,type,stop
50,53,A,no,102.0,elab-negate,"
no ",,,,punc,type,stop
63,120,B,no,242.0,elab-negate,"
no ",,,,punc,type,stop
63,227,A,no,391.0,elab-negate,"
no ",,,,punc,type,stop
69,29,A,no,79.0,elab-negate,"
no ",,,,punc,type,stop
69,55,A,no,146.0,elab-negate,"
",,,,overlap,type,end
69,55,A,no,146.0,elab-negate,"
",,,,punc,type,stop
