DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,20,B,frag,33.0,elab-refer,"
on the em 17:15 ",partial-decl,,positive,punc,type,stop
36,64,B,frag,121.0,elab-refer,"
number 2 5 9 ",frag,enum-number,positive,punc,type,level
38,18,B,frag,27.0,elab-refer,"
at about midday ",decl,time-day,positive,punc,type,stop
39,20,B,frag,47.0,elab-refer,"
on that train ",partial-frag,,positive,punc,type,level
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,anonym,type,letter
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,anonym,type,letter
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,anonym,type,letter
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,anonym,type,letter
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,anonym,type,letter
39,68,B,frag,173.0,elab-refer,"
",decl,,positive,punc,type,stop
40,18,B,frag,27.0,elab-refer,"
at about midday ",decl,time-day,positive,punc,type,stop
43,38,B,frag,79.0,elab-refer,"
",decl,,positive,anonym,type,letter
43,38,B,frag,79.0,elab-refer,"
",decl,,positive,anonym,type,letter
43,38,B,frag,79.0,elab-refer,"
",decl,,positive,anonym,type,letter
43,38,B,frag,79.0,elab-refer,"
",decl,,positive,punc,type,stop
44,2,B,frag,7.0,elab-refer,"
next er Wednesday ",decl,day,positive,punc,type,stop
44,16,B,frag,40.0,elab-refer,"
on the 8th ",partial-decl,,positive,punc,type,stop
47,51,A,frag,91.0,elab-refer,"
30 pounds 70 ",decl,fare-enum,positive,punc,type,stop
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
47,124,B,frag,252.0,elab-refer,"
",decl,,positive,anonym,type,letter
