DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
10,32,B,frag,49.0,exclaim,"
oh
",partial,,positive,,,
11,22,B,frag,38.0,exclaim,"
oh my god ",expletive,,positive,pause,length,2s
11,22,B,frag,38.0,exclaim,"
oh my god ",expletive,,positive,pause,length,3s
12,88,B,frag,150.0,exclaim,"
",expletive,,positive,pause,,
12,92,B,frag,158.0,exclaim,"
",partial-expletive,,positive,pause,length,3s
12,94,B,frag,164.0,exclaim,"
god ",expletive,,positive,pause,length,8s
35,84,B,frag,138.0,exclaim,"
oh god ",expletive,,positive,overlap,type,end
35,84,B,frag,138.0,exclaim,"
oh god ",expletive,,positive,comment,content,laughs
35,86,B,no,141.0,exclaim,"
oh no
",,,,,,
43,32,B,dm,64.0,exclaim,"
oh
",,,,,,
43,80,B,dm,153.0,exclaim,"
oh
",,,,,,
45,34,B,frag,67.0,exclaim,"
oh
",,,,,,
46,18,B,frag,35.0,exclaim,"
oh
",tag,,positive,,,
46,22,B,dm,47.0,exclaim,"
oh my god ",,,,punc,type,exclam
46,36,B,dm,79.0,exclaim,"
",tag-decl,,positive,pause,,
47,86,B,dm,163.0,exclaim,"
",,,positive,pause,,
47,86,B,dm,163.0,exclaim,"
",,,positive,punc,type,exclam
47,90,B,dm,172.0,exclaim,"
",,,,pause,length,3s
47,90,B,dm,172.0,exclaim,"
",,,,punc,type,exclam
47,92,B,dm,179.0,exclaim,"
god ",,,,punc,type,exclam
48,50,B,dm,81.0,exclaim,"
ah
",,,,,,
48,82,B,dm,139.0,exclaim,"
oh
",,,,,,
48,146,B,dm,232.0,exclaim,"
ah
",,,,,,
49,54,B,dm,109.0,exclaim,"
oh
",,,,,,
49,66,B,dm,129.0,exclaim,"
oh
",,,,,,
49,134,B,dm,241.0,exclaim,"
oh
",,,,,,
51,72,B,dm,143.0,exclaim,"
oh
",,,,,,
53,20,B,dm,49.0,exclaim,"
oh
",,,,,,
55,21,A,dm,49.0,exclaim,"
oh
",,,,,,
57,24,B,dm,50.0,exclaim,"
oh
",,,,,,
57,38,B,dm,88.0,exclaim,"
",exclaim-decl,,positive,pause,length,1s
57,38,B,dm,88.0,exclaim,"
",exclaim-decl,,positive,punc,type,stop
57,50,B,dm,114.0,exclaim,"
oh
",,,,,,
57,58,B,dm,138.0,exclaim,"
oh
",,,,,,
58,16,B,dm,28.0,exclaim,"
oh
",,,,,,
59,22,B,dm,48.0,exclaim,"
oh
",,,,,,
59,46,B,dm,96.0,exclaim,"
oh
",,,,,,
60,44,B,dm,88.0,exclaim,"
oh
",,,,,,
61,2,B,dm,5.0,exclaim,"
oh
",,,,,,
61,14,B,dm,24.0,exclaim,"
oh
",,,,,,
61,26,B,dm,59.0,exclaim,"
",,,,pause,length,2s
61,34,B,dm,76.0,exclaim,"
oh
",,,,,,
61,40,B,dm,95.0,exclaim,"
oh
",,,,,,
61,52,B,dm,137.0,exclaim,"
oh
",,,,,,
62,32,B,dm,71.0,exclaim,"
oh
",,,,,,
62,50,B,dm,111.0,exclaim,"
oh
",,,,,,
62,108,B,dm,191.0,exclaim,"
oh
",,,,,,
62,108,B,dm,193.0,exclaim,"
",,,,pause,,
62,126,B,dm,221.0,exclaim,"
oh
",,,,,,
63,29,A,dm,,exclaim,"
",,,,pause,,
63,34,B,dm,75.0,exclaim,"
oh
",,,,,,
63,34,B,dm,77.0,exclaim,"
",,,,pause,,
63,38,B,dm,91.0,exclaim,"
oh
",,,,,,
63,44,B,dm,104.0,exclaim,"
oh
",,,,,,
63,66,B,dm,147.0,exclaim,"
oh
",,,,,,
63,68,B,dm,152.0,exclaim,"
oh
",,,,,,
63,96,B,dm,204.0,exclaim,"
oh
",,,,,,
63,148,B,dm,285.0,exclaim,"
oh
",,,,,,
65,24,B,dm,42.0,exclaim,"
ah
",,,,,,
65,26,B,dm,47.0,exclaim,"
oh
",,,,,,
65,28,B,dm,51.0,exclaim,"
ah
",,,,,,
66,12,B,dm,26.0,exclaim,"
",,,,pause,length,4s
67,22,B,dm,36.0,exclaim,"
oh
",,,,,,
67,44,B,dm,72.0,exclaim,"
oh
",,,,,,
68,32,B,dm,49.0,exclaim,"
ah
",,,,,,
68,58,B,dm,114.0,exclaim,"
oh
",,,,,,
68,58,B,dm,117.0,exclaim,"
ha ha ",,,,punc,type,stop
68,68,B,dm,129.0,exclaim,"
oh
",,,,,,
68,116,B,dm,192.0,exclaim,"
oh
",,,,,,
69,26,B,dm,62.0,exclaim,"
oh
",,,,,,
69,32,B,dm,83.0,exclaim,"
oh
",,,,,,
69,46,B,dm,113.0,exclaim,"
oh
",,,,,,
69,48,B,dm,120.0,exclaim,"
oh
",,,,,,
69,56,B,dm,153.0,exclaim,"
oh
",,,,,,
70,14,B,dm,27.0,exclaim,"
oh
",,,,,,
70,16,B,dm,30.0,exclaim,"
",,,,overlap,type,start
70,16,B,dm,30.0,exclaim,"
",,,,punc,type,stop
70,32,B,dm,52.0,exclaim,"
oh
",,,,,,
70,54,B,dm,91.0,exclaim,"
ah
",,,,,,
70,64,B,dm,113.0,exclaim,"
oh
",,,,,,
70,82,B,dm,148.0,exclaim,"
oh God ",,,,overlap,type,end
70,82,B,dm,148.0,exclaim,"
oh God ",,,,punc,type,stop
70,84,B,dm,152.0,exclaim,"
oh
",,,,,,
70,92,B,dm,168.0,exclaim,"
oh
",,,,,,
70,130,B,dm,250.0,exclaim,"
ha
",,,,,,
