DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,14,B,decl,20.0,expressNonAwareness,"
i'm not sure what time the trains are ",doubt-decl,time,negative,punc,type,stop
45,16,B,decl,30.0,expressNonAwareness,"
i don't know the ",report-nonawareness-decl,time,negative,overlap,type,start
45,16,B,decl,30.0,expressNonAwareness,"
i don't know the ",report-nonawareness-decl,time,negative,punc,type,stop
46,67,A,decl,157.0,expressNonAwareness,"
",report-nonawareness-predict-alternative-condition-decl,time,negative,pause,,
46,67,A,decl,157.0,expressNonAwareness,"
",report-nonawareness-predict-alternative-condition-decl,time,negative,pause,,
46,67,A,decl,157.0,expressNonAwareness,"
",report-nonawareness-predict-alternative-condition-decl,time,negative,pause,,
46,67,A,decl,157.0,expressNonAwareness,"
",report-nonawareness-predict-alternative-condition-decl,time,negative,punc,type,stop
50,54,B,frag,106.0,expressNonAwareness,"
postcode i don't know ",report-nonawareness-partial-decl,address,negative,punc,type,stop
57,38,B,decl,91.0,expressNonAwareness,"
i don't know what to do ",report-nonawareness-decl,,negative,punc,type,stop
69,14,B,decl,35.0,expressNonAwareness,"
i can't remember ",poss1-decl,,negative,punc,type,stop
