DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
9,49,A,decl,90.0,expressWish,"
hopefully we will get a new system
",,,positive,,,
10,16,B,decl,22.0,expressWish,"
i'd like to arrive in er London at hal... around half past seven if possible
",conditionIntent-closure,time-location-arrival-preference-number,positive,,,
11,24,B,decl,45.0,expressWish,"
i'd rather get on the 7 15
",,enum,positive,,,
12,50,B,frag,76.0,expressWish,"
i don't want to run out of time ",closure,preference-time,negative,pause,length,2s
12,68,B,decl,108.0,expressWish,"
i s... want to go from Euston
",intent,preference-location-from,positive,,,
12,98,B,decl,180.0,expressWish,"
em i want to try and book that coming back on the on the 19 00
",intent,preference-enum-booking,positive,,,
13,14,B,decl,19.0,expressWish,"
i want to know erm ",intent-closure,preference,positive,pause,,
13,14,B,decl,20.0,expressWish,"
i only want to go for the day
",constrain,day-preference,positive,,,
16,34,B,frag,64.0,expressWish,"
and er boo... er a seat on the return
",,fare,positive,,,
26,26,B,decl,50.0,expressWish,"
i i don't want to change at Birmingham New Street
",,location-preference-time,negative,,,
28,2,B,decl,6.0,expressWish,"
and i want to go on a value place tomorrow ",intent,day-preference,positive,pause,,
30,10,B,decl,19.0,expressWish,"
i want to come back tomorrow evening ",intent,time-preference-day,positive,pause,,
30,10,B,decl,20.0,expressWish,"
i just wanna book a one way ticket
",,preference-number-booking-journey,positive,,,
32,20,B,decl,34.0,expressWish,"
i want to get the cheap fare
",intent,fare-preference,positive,,,
46,24,B,decl,56.0,expressWish,"
i'd rather get on the 7:15 ",preference1-decl,,positive,punc,type,stop
61,26,B,decl,61.0,expressWish,"
i i don't want to change at Birmingham New Street ",report-decl-disflu,location-time,negative,punc,type,stop
65,10,B,decl,20.0,expressWish,"
i want to come back tomorrow evening ",intent-preference1-decl,time-day,positive,punc,type,stop
65,10,B,decl,21.0,expressWish,"
",decl,booking-number-journey,positive,pause,,
65,10,B,decl,21.0,expressWish,"
",decl,booking-number-journey,positive,punc,type,stop
67,2,B,decl,5.0,expressWish,"
i wish to travel to London tomorrow morning ",intent-preference1-decl,to-location-journey-time-day,positive,punc,type,stop
67,10,B,decl,15.0,expressWish,"
i just want to find out about the cheap train ",decl,fare,positive,punc,type,stop
68,2,B,decl,5.0,expressWish,"
i'd like to purchase a ticket for the journey from Euston to Liverpool Lime Street ",intent-preference1-decl,location-journey-to-from,positive,punc,type,stop
68,36,B,decl,65.0,expressWish,"
the one going out is especially the one we want to be on ",intent-preference1-decl,number,positive,punc,type,stop
69,8,B,decl,15.0,expressWish,"
i'd like to travel out on Sunday the 4th of October  ",intent-preference1-decl,journey-month-date-day,positive,punc,type,stop
