DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,2,B,dm,5.0,hesitate,"
em
",,,,,,
36,20,B,dm,31.0,hesitate,"
em
",,,,,,
36,38,B,dm,74.0,hesitate,"
erm ",,,,pause,,
36,54,B,dm,107.0,hesitate,"
em
",,,,,,
37,2,B,dm,5.0,hesitate,"
er
",,,,,,
37,20,B,dm,30.0,hesitate,"
er
",,,,,,
37,22,B,dm,33.0,hesitate,"
em
",,,,,,
37,24,B,dm,39.0,hesitate,"
em
",,,,,,
37,34,B,dm,57.0,hesitate,"
em
",,,,,,
38,2,B,dm,5.0,hesitate,"
er
",,,,,,
38,12,B,dm,17.0,hesitate,"
er
",,,,,,
38,16,B,dm,22.0,hesitate,"
em
",,,,,,
38,18,B,dm,25.0,hesitate,"
er ",,,,pause,,
38,24,B,dm,34.0,hesitate,"
er
",,,,,,
38,32,B,dm,47.0,hesitate,"
",,,,pause,,
38,58,B,dm,85.0,hesitate,"
er
",,,,,,
38,94,B,dm,135.0,hesitate,"
er
",,,,,,
39,6,B,dm,12.0,hesitate,"
",,,,pause,,
39,26,B,dm,62.0,hesitate,"
",,,,pause,,
39,28,B,dm,67.0,hesitate,"
",,,,pause,,
39,28,B,dm,67.0,hesitate,"
",,,,pause,length,4s
39,44,B,dm,100.0,hesitate,"
erm
",,,,,,
39,46,B,dm,112.0,hesitate,"
erm ",,,,pause,,
39,48,B,dm,117.0,hesitate,"
",,,,pause,,
39,48,B,dm,117.0,hesitate,"
",,,,pause,length,3s
39,60,B,dm,146.0,hesitate,"
em
",,,,,,
40,2,B,dm,5.0,hesitate,"
er
",,,,,,
40,12,B,dm,17.0,hesitate,"
er
",,,,,,
40,16,B,dm,22.0,hesitate,"
em
",,,,,,
40,18,B,dm,25.0,hesitate,"
er ",,,,pause,,
40,24,B,dm,34.0,hesitate,"
er
",,,,,,
40,32,B,dm,47.0,hesitate,"
",,,,pause,,
40,58,B,dm,85.0,hesitate,"
er
",,,,,,
40,94,B,dm,135.0,hesitate,"
er
",,,,,,
41,10,B,dm,14.0,hesitate,"
er
",,,,,,
41,14,B,dm,19.0,hesitate,"
erm ",,,,pause,,
41,50,B,dm,77.0,hesitate,"
",,,,pause,,
41,56,B,dm,88.0,hesitate,"
er
",,,,,,
42,2,B,dm,5.0,hesitate,"
er
",,,,,,
42,8,B,dm,14.0,hesitate,"
er
",,,,,,
42,10,B,dm,18.0,hesitate,"
",,,,pause,,
42,54,B,dm,93.0,hesitate,"
er
",,,,,,
43,2,B,dm,5.0,hesitate,"
er
",,,,,,
43,12,B,dm,16.0,hesitate,"
er
",,,,,,
43,14,B,dm,22.0,hesitate,"
erm
",,,,,,
43,14,B,dm,24.0,hesitate,"
er
",,,,,,
43,30,B,dm,56.0,hesitate,"
erm
",,,,,,
43,42,B,dm,83.0,hesitate,"
er
",,,,,,
43,42,B,dm,85.0,hesitate,"
er
",,,,,,
43,44,B,dm,91.0,hesitate,"
er
",,,,,,
43,48,B,dm,97.0,hesitate,"
erm
",,,,,,
43,64,B,dm,130.0,hesitate,"
er ",,,,pause,,
43,80,B,dm,151.0,hesitate,"
er
",,,,,,
44,4,B,dm,11.0,hesitate,"
em
",,,,,,
44,10,B,dm,21.0,hesitate,"
em
",,,,,,
44,10,B,dm,25.0,hesitate,"
em
",,,,,,
44,16,B,dm,38.0,hesitate,"
er
",,,,,,
44,36,B,dm,87.0,hesitate,"
er
",,,,,,
44,36,B,dm,89.0,hesitate,"
er
",,,,,,
44,44,B,dm,104.0,hesitate,"
er
",,,,,,
44,58,B,dm,131.0,hesitate,"
erm
",,,,,,
44,66,B,dm,145.0,hesitate,"
er
",,,,,,
44,86,B,dm,174.0,hesitate,"
er
",,,,,,
45,2,B,dm,5.0,hesitate,"
er
",,,,,,
45,4,B,dm,9.0,hesitate,"
er
",,,,,,
45,10,B,dm,17.0,hesitate,"
er
",,,,,,
45,20,B,dm,40.0,hesitate,"
er
",,,,,,
45,26,B,dm,50.0,hesitate,"
er
",,,,,,
46,2,B,dm,6.0,hesitate,"
erm
",,,,,,
46,14,B,dm,28.0,hesitate,"
erm
",,,,,,
46,18,B,dm,37.0,hesitate,"
erm
",,,,,,
46,22,B,dm,48.0,hesitate,"
",,,,pause,length,2s
46,28,B,dm,61.0,hesitate,"
",,,,pause,,
46,54,B,dm,120.0,hesitate,"
em
",,,,,,
46,64,B,dm,134.0,hesitate,"
em
",,,,,,
47,14,B,dm,21.0,hesitate,"
",,,,pause,,
47,14,B,dm,21.0,hesitate,"
",,,,pause,,
47,32,B,dm,51.0,hesitate,"
em
",,,,,,
47,40,B,dm,63.0,hesitate,"
erm
",,,,,,
47,42,B,dm,67.0,hesitate,"
erm
",,,,,,
47,74,B,dm,132.0,hesitate,"
",,,,pause,length,3s
47,74,B,dm,132.0,hesitate,"
",,,,pause,length,3s
47,74,B,dm,134.0,hesitate,"
er
",,,,,,
47,82,B,dm,151.0,hesitate,"
",,,,pause,,
47,82,B,dm,151.0,hesitate,"
",,,,pause,length,3s
47,92,B,dm,183.0,hesitate,"
",,,,overlap,type,start
47,102,B,dm,207.0,hesitate,"
",,,,pause,,
47,102,B,dm,207.0,hesitate,"
",,,,pause,length,3s
47,108,B,dm,215.0,hesitate,"
erm
",,,,,,
47,128,B,dm,257.0,hesitate,"
erm ",,,,pause,,
47,130,B,dm,262.0,hesitate,"
",,,,pause,,
48,2,B,dm,5.0,hesitate,"
erm
",,,,,,
48,16,B,dm,26.0,hesitate,"
erm
",,,,,,
48,20,B,dm,34.0,hesitate,"
erm
",,,,,,
48,66,B,dm,111.0,hesitate,"
er
",,,,,,
48,144,B,dm,227.0,hesitate,"
em
",,,,,,
49,2,B,dm,5.0,hesitate,"
er
",,,,,,
49,12,B,dm,19.0,hesitate,"
er ",,,,pause,length,2s
49,12,B,dm,22.0,hesitate,"
erm
",,,,,,
49,12,B,dm,23.0,hesitate,"
",,,,pause,length,2s
49,26,B,dm,50.0,hesitate,"
er
",,,,,,
49,34,B,dm,66.0,hesitate,"
",,,,pause,,
49,46,B,dm,87.0,hesitate,"
er
",,,,,,
49,68,B,dm,133.0,hesitate,"
er
",,,,,,
49,82,B,dm,149.0,hesitate,"
er
",,,,,,
49,126,B,dm,223.0,hesitate,"
er
",,,,,,
50,2,B,dm,5.0,hesitate,"
erm erm
",,,,,,
50,52,B,dm,99.0,hesitate,"
erm ",,,,pause,,
50,54,B,dm,105.0,hesitate,"
erm ",,,,pause,,
51,2,B,dm,5.0,hesitate,"
erm ",,,,pause,,
51,2,B,dm,7.0,hesitate,"
erm
",,,,,,
51,8,B,dm,16.0,hesitate,"
erm
",,,,,,
51,22,B,dm,37.0,hesitate,"
",,,,pause,,
51,36,B,dm,72.0,hesitate,"
erm
",,,,,,
51,40,B,dm,79.0,hesitate,"
erm
",,,,,,
51,62,B,dm,126.0,hesitate,"
",,,,pause,,
51,68,B,dm,135.0,hesitate,"
er 
",,,,,,
51,74,B,dm,148.0,hesitate,"
em
",,,,,,
52,2,B,dm,5.0,hesitate,"
erm
",,,,,,
52,6,B,dm,12.0,hesitate,"
er
",,,,,,
52,30,B,dm,48.0,hesitate,"
erm ",,,,pause,length,2s
52,36,B,dm,62.0,hesitate,"
",,,,pause,,
52,44,B,dm,75.0,hesitate,"
er ",,,,pause,length,2s
52,48,B,dm,82.0,hesitate,"
erm
",,,,,,
53,2,B,dm,6.0,hesitate,"
",,,,pause,,
53,2,B,dm,10.0,hesitate,"
",,,,pause,,
53,28,B,dm,75.0,hesitate,"
oh
",,,,,,
53,32,B,dm,90.0,hesitate,"
erm
",,,,,,
53,44,B,dm,122.0,hesitate,"
erm
",,,,,,
53,58,B,dm,151.0,hesitate,"
erm
",,,,,,
54,14,B,dm,21.0,hesitate,"
er
",,,,,,
54,34,B,dm,59.0,hesitate,"
er
",,,,,,
55,4,B,dm,11.0,hesitate,"
erm ",,,,overlap,type,end
55,8,B,dm,18.0,hesitate,"
er
",,,,,,
55,12,B,dm,25.0,hesitate,"
erm
",,,,,,
55,20,B,dm,44.0,hesitate,"
erm
",,,,,,
55,22,B,dm,51.0,hesitate,"
erm
",,,,,,
56,10,B,dm,18.0,hesitate,"
erm ",,,,pause,,
56,18,B,dm,36.0,hesitate,"
erm
",,,,,,
56,20,B,dm,44.0,hesitate,"
",,,,pause,length,2s
56,32,B,dm,61.0,hesitate,"
erm
",,,,,,
56,34,B,dm,66.0,hesitate,"
",,,,pause,,
56,54,B,dm,96.0,hesitate,"
erm ",,,,anonym,type,letter
56,60,B,dm,105.0,hesitate,"
er
",,,,,,
57,2,B,dm,5.0,hesitate,"
erm
",,,,,,
57,47,A,dm,109.0,hesitate,"
er
",,,,,,
58,2,B,dm,5.0,hesitate,"
erm ",,,,pause,,
58,10,B,dm,15.0,hesitate,"
er
",,,,,,
58,10,B,dm,17.0,hesitate,"
",,,,pause,length,3s
