DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,23,A,decl,35.0,hold,"
if you can ",poss2-condition-manage,hold,positive,backchannel,content,yes
2,34,B,imp,52.0,hold,"
let me think ",opinion-manage,,positive,pause,,
4,29,A,frag,67.0,hold,"
",benefit-closure,verify,positive,pause,length,11s
4,29,A,frag,67.0,hold,"
",benefit-closure,verify,positive,pause,length,9s
5,26,B,q-yn,38.0,hold,"
erm can you hold the line a second
",closed-manage,hold,positive,,,
5,32,B,q-yn,47.0,hold,"
erm can you hold a second again
",closed,,positive,,,
7,11,A,decl,22.0,hold,"
if you'd just like to hold the line a moment please
",condition-manage,hold,positive,,,
8,13,A,decl,17.0,hold,"
if you just bear with me a moment sir ",condition-manage,hold,positive,pause,length,3s
8,50,B,decl,85.0,hold,"
if you just hold on a second
",condition-manage,hold,positive,,,
15,13,A,decl,32.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
15,41,A,decl,76.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
15,41,A,imp,81.0,hold,"
just bear with me
",manage,hold,positive,,,
15,58,B,imp,106.0,hold,"
hold on a second
",manage,hold,positive,,,
15,66,B,imp,116.0,hold,"
hold on a second
",manage,hold,positive,,,
15,76,B,decl,138.0,hold,"
if you hold on
",condition-manage,hold,positive,,,
15,78,B,frag,143.0,hold,"
one second ",closure,number,positive,event,type,tape_cuts_off
16,40,B,imp,72.0,hold,"
erm hold on
",manage,hold,positive,,,
16,72,B,frag,126.0,hold,"
excuse a moment ",,,positive,comment,content,coughs
18,5,A,decl,13.0,hold,"
if you just bear with me ",condition-manage,hold,positive,backchannel,content,yes
22,55,A,decl,122.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
23,10,B,frag,15.0,hold,"
hang on ",closure-closure,,positive,pause,,
26,31,A,decl,61.0,hold,"
if you just like to bear with me a moment please
",condition-manage,hold,positive,,,
26,48,B,frag,100.0,hold,"
just a moment 
",,,,,,
26,50,B,frag,110.0,hold,"
",closure,,positive,pause,,
27,25,A,decl,39.0,hold,"
if you just bear with me
",condition-manage,hold,positive,,,
28,192,B,imp,294.0,hold,"
hold it
",,,positive,,,
