DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,5,A,dm,7.0,init,"
now
",,,,,,
1,7,A,dm,11.0,init,"
now ",,,,pause,,
1,23,A,dm,32.0,init,"
now
",,,,,,
1,23,A,dm,34.0,init,"
so
",,,,,,
1,27,A,dm,39.0,init,"
",,,,pause,length,20s
1,29,A,dm,52.0,init,"
so
",,,,,,
1,31,A,dm,56.0,init,"
so
",,,,,,
1,31,A,dm,58.0,init,"
so
",,,,,,
1,33,A,dm,64.0,init,"
now
",,,,,,
1,39,A,dm,75.0,init,"
now
",,,,,,
1,45,A,dm,84.0,init,"
now
",,,,,,
1,47,A,dm,96.0,init,"
now
",,,,,,
1,79,A,dm,133.0,init,"
",,,,pause,length,3s
1,85,A,dm,142.0,init,"
ok now
",,,positive,,,
2,3,A,dm,5.0,init,"
",,,,pause,,
2,15,A,dm,20.0,init,"
well
",,,,,,
2,25,A,dm,36.0,init,"
",,,,pause,length,8s
2,27,A,dm,41.0,init,"
now
",,,,,,
2,37,A,dm,56.0,init,"
ok then sir
",,,positive,,,
3,3,A,dm,5.0,init,"
now
",,,,,,
3,19,A,dm,22.0,init,"
",,,,pause,length,4s
3,21,A,dm,25.0,init,"
so
",,,,,,
3,31,A,dm,37.0,init,"
",,,,pause,length,9s
3,33,A,dm,41.0,init,"
now
",,,,,,
3,37,A,dm,46.0,init,"
",,,,pause,length,3s
3,39,A,dm,49.0,init,"
",,,,pause,length,14s
3,45,A,dm,57.0,init,"
",,,,pause,,
3,51,A,dm,65.0,init,"
",,,,pause,,
3,53,A,dm,70.0,init,"
now
",,,,,,
3,59,A,dm,77.0,init,"
",,,,pause,length,6s
3,73,A,dm,98.0,init,"
now
",,,,,,
3,93,A,dm,120.0,init,"
now
",,,,,,
3,97,A,dm,126.0,init,"
",,,,pause,length,9s
3,99,A,dm,132.0,init,"
now
",,,,,,
3,107,A,dm,149.0,init,"
now
",,,,,,
3,107,A,dm,157.0,init,"
now
",,,,,,
3,109,A,dm,160.0,init,"
now
",,,,,,
3,115,A,dm,168.0,init,"
so
",,,,,,
3,115,A,dm,172.0,init,"
ok sir
",,,,,,
3,117,A,dm,174.0,init,"
so
",,,,,,
4,6,B,dm,10.0,init,"
well ",,,,pause,,
4,7,A,dm,12.0,init,"
now
",,,,,,
4,11,A,dm,18.0,init,"
so
",,,,,,
4,14,B,dm,24.0,init,"
erm well
",,,,,,
4,14,B,dm,29.0,init,"
so
",,,,,,
4,15,A,dm,31.0,init,"
",,,,pause,,
4,16,B,dm,36.0,init,"
so
",,,,,,
4,18,B,dm,40.0,init,"
so
",,,,,,
4,40,B,dm,82.0,init,"
right em
",,,positive,,,
4,44,B,dm,93.0,init,"
so
",,,,,,
4,46,B,dm,97.0,init,"
ok
",,,positive,,,
4,47,A,dm,102.0,init,"
",,,,pause,length,9s
4,47,A,dm,107.0,init,"
now
",,,,,,
4,50,B,dm,117.0,init,"
so
",,,,,,
4,56,B,dm,126.0,init,"
so
",,,,,,
4,61,A,dm,138.0,init,"
now ",,,,overlap,type,end
4,65,A,dm,145.0,init,"
now
",,,,,,
4,69,A,dm,158.0,init,"
now
",,,,,,
4,85,A,dm,175.0,init,"
now
",,,,,,
4,99,A,dm,191.0,init,"
now
",,,,,,
4,99,A,dm,193.0,init,"
now
",,,,,,
4,113,A,dm,211.0,init,"
ok now sir
",,,positive,,,
5,3,A,dm,5.0,init,"
now
",,,,,,
5,21,A,dm,26.0,init,"
",,,,pause,length,4s
5,34,B,dm,49.0,init,"
ok
",,,positive,,,
5,36,B,dm,54.0,init,"
",,,,pause,,
5,38,B,dm,58.0,init,"
well
",,,,,,
5,40,B,dm,63.0,init,"
so
",,,,,,
5,40,B,frag,64.0,init,"
basically ",,,positive,pause,,
5,45,A,dm,72.0,init,"
ok then
",,,positive,,,
6,3,A,dm,5.0,init,"
now
",,,,,,
6,15,A,dm,18.0,init,"
",,,,pause,length,5s
6,17,A,dm,21.0,init,"
",,,,pause,length,8s
6,24,B,dm,33.0,init,"
ok
",,,positive,,,
6,25,A,dm,35.0,init,"
",,,,pause,,
6,27,A,dm,40.0,init,"
now
",,,,,,
6,31,A,dm,45.0,init,"
now
",,,,,,
6,35,A,dm,53.0,init,"
now
",,,,,,
6,51,A,dm,71.0,init,"
now
",,,,,,
6,54,B,dm,75.0,init,"
er well
",,,,,,
6,69,A,dm,94.0,init,"
",,,,pause,length,7s
6,81,A,dm,110.0,init,"
",,,,pause,length,6s
6,91,A,dm,123.0,init,"
so
",,,,,,
7,3,A,dm,5.0,init,"
now
",,,,,,
7,11,A,dm,17.0,init,"
",,,,pause,length,8s
7,13,A,dm,25.0,init,"
now
",,,,,,
7,19,A,dm,32.0,init,"
now
",,,,,,
7,23,A,dm,38.0,init,"
now
",,,,,,
7,27,A,dm,43.0,init,"
",,,,pause,,
7,31,A,dm,49.0,init,"
now
",,,,,,
7,47,A,dm,71.0,init,"
now
",,,,,,
7,55,A,dm,82.0,init,"
now
",,,,,,
7,69,A,dm,98.0,init,"
now
",,,,,,
7,81,A,dm,114.0,init,"
so
",,,,,,
8,3,A,dm,5.0,init,"
",,,,pause,length,3s
8,3,A,dm,5.0,init,"
",,,,pause,,
8,14,B,dm,21.0,init,"
so
",,,,,,
8,18,B,dm,28.0,init,"
well
",,,,,,
8,19,A,dm,31.0,init,"
so
",,,,,,
8,23,A,dm,36.0,init,"
now
",,,,,,
8,23,A,dm,38.0,init,"
now
",,,,,,
8,25,A,dm,41.0,init,"
now
",,,,,,
8,31,A,dm,51.0,init,"
now
",,,,,,
8,44,B,dm,76.0,init,"
so er
",,,,,,
8,45,A,dm,78.0,init,"
now
",,,,,,
8,63,A,dm,104.0,init,"
",,,,pause,,
8,67,A,dm,109.0,init,"
now
",,,,,,
8,81,A,dm,128.0,init,"
now
",,,,,,
8,85,A,dm,136.0,init,"
ok now
",,,positive,,,
9,3,A,dm,6.0,init,"
now
",,,,,,
