DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
3,62,B,frag,81.0,pardon,"
got that sorry
",,,positive,,,
8,4,B,dm,7.0,pardon,"
pardon
",,,,,,
8,34,B,dm,57.0,pardon,"
sorry
",regret,,,,,
8,34,B,dm,59.0,pardon,"
sorry
",regret,,,,,
8,59,A,dm,98.0,pardon,"
sorry
",regret,,,,,
9,13,A,dm,26.0,pardon,"
sorry
",regret,,,,,
9,44,B,dm,84.0,pardon,"
sorry
",regret,,,,,
14,64,B,q-wh,111.0,pardon,"
what
",open,,positive,,,
15,4,B,dm,7.0,pardon,"
sorry
",regret,,,,,
15,16,B,dm,38.0,pardon,"
sorry
",regret,,,,,
15,44,B,dm,86.0,pardon,"
sorry
",regret,,,,,
16,10,B,dm,17.0,pardon,"
sorry
",regret,,,,,
16,25,A,dm,42.0,pardon,"
",regret,,,pause,length,4s
16,75,A,dm,132.0,pardon,"
sorry
",regret,,,,,
17,45,A,dm,66.0,pardon,"
",regret,,,pause,,
28,52,B,dm,98.0,pardon,"
",,,,pause,,
28,139,A,dm,230.0,pardon,"
sorry
",regret,,,,,
28,140,B,dm,231.0,pardon,"
pardon
",,,,,,
28,164,B,dm,259.0,pardon,"
pardon
",,,,,,
32,42,B,dm,70.0,pardon,"
pardon
",regret,,,,,
34,16,B,dm,28.0,pardon,"
sorry
",regret,,,,,
34,28,B,dm,61.0,pardon,"
sorry
",regret,,,,,
38,62,B,dm,92.0,pardon,"
sorry ",regret,,,punc,type,stop
40,62,B,dm,92.0,pardon,"
sorry ",regret,,,punc,type,stop
43,4,B,dm,8.0,pardon,"
pardon ",regret,,,punc,type,query
43,34,B,dm,67.0,pardon,"
sorry ",regret,,,punc,type,stop
43,59,A,dm,120.0,pardon,"
sorry ",regret,,,punc,type,stop
44,42,B,dm,102.0,pardon,"
sorry ",regret,,,punc,type,stop
47,20,B,dm,34.0,pardon,"
sorry ",regret,,,punc,type,stop
50,4,B,dm,9.0,pardon,"
sorry ",regret,,,punc,type,stop
50,8,B,dm,15.0,pardon,"
sorry ",regret,,,punc,type,query
50,16,B,dm,40.0,pardon,"
sorry ",regret,,,punc,type,query
50,42,B,dm,87.0,pardon,"
sorry ",regret,,,punc,type,query
51,10,B,dm,20.0,pardon,"
sorry ",regret,,,punc,type,query
51,75,A,dm,150.0,pardon,"
sorry ",regret,,,punc,type,query
52,45,A,dm,77.0,pardon,"
",regret,,,pause,,
52,45,A,dm,77.0,pardon,"
",regret,,,punc,type,query
63,52,B,dm,124.0,pardon,"
",regret,,,pause,,
63,52,B,dm,124.0,pardon,"
",regret,,,punc,type,stop
63,139,A,dm,273.0,pardon,"
sorry ",regret,,,punc,type,stop
63,140,B,dm,274.0,pardon,"
pardon ",regret,,,punc,type,query
63,164,B,dm,304.0,pardon,"
pardon ",regret,,,punc,type,query
64,12,B,dm,22.0,pardon,"
sorry ",regret,,,punc,type,stop
67,42,B,dm,70.0,pardon,"
pardon ",regret,,,punc,type,query
69,16,B,dm,37.0,pardon,"
sorry ",regret,,,punc,type,query
69,28,B,dm,76.0,pardon,"
sorry ",regret,,,punc,type,stop
