DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,29,A,frag,49.0,refer,"
then on the return
",deixis,fare,positive,,,
1,45,A,frag,85.0,refer,"
with the standard open single
",deixis,fare,positive,,,
1,45,A,frag,90.0,refer,"
but with the Virgin value fare
",deixis-constrain,fare,positive,,,
3,97,A,frag,127.0,refer,"
the 9 52 train on Saturday morning
",,time-day,positive,,,
3,107,A,frag,150.0,refer,"
with this ticket
",deixis,journey,positive,,,
4,28,B,frag,66.0,refer,"
sort of like Manchester or anything like that
",alternative,location,positive,,,
4,42,B,frag,86.0,refer,"
",closure,from,positive,pause,,
4,43,A,frag,87.0,refer,"
",deixis,month-day-date,positive,pause,length,16s
4,43,A,frag,90.0,refer,"
and from ",deixis,from,positive,pause,,
4,46,B,frag,99.0,refer,"
10 30
",,enum,positive,,,
4,48,B,frag,110.0,refer,"
31
",closure,,positive,,,
4,58,B,frag,131.0,refer,"
and on the eleventh
",deixis,,positive,,,
9,93,A,frag,151.0,refer,"
with this ticket
",deixis,journey,positive,,,
10,31,A,frag,46.0,refer,"
on that outward service on the 16 20
",deixis,enum,positive,,,
10,33,A,frag,50.0,refer,"
to get an advance purchase ticket
",,fare-journey,positive,,,
12,83,A,frag,138.0,refer,"
now with the super advance
",deixis,fare,positive,,,
12,91,A,frag,155.0,refer,"
to get the 19 00 train ",,enum,positive,backchannel,content,yes
12,119,A,frag,215.0,refer,"
that going out
",,,positive,,,
12,123,A,frag,223.0,refer,"
with this ticket
",deixis,journey,positive,,,
14,25,A,frag,37.0,refer,"
the 11 15
",,enum,positive,,,
15,31,A,frag,61.0,refer,"
they ",closure,,positive,pause,,
15,31,A,frag,61.0,refer,"
they ",closure,,positive,pause,,
16,27,A,decl,48.0,refer,"
the super advance
",,fare,positive,,,
16,63,A,frag,113.0,refer,"
and the credit card
",,creditcard,positive,,,
18,2,B,frag,5.0,refer,"
erm to get the saver return to London erm from Preston ",,fare-to-location-day-departure-from,positive,pause,,
18,2,B,frag,5.0,refer,"
erm to get the saver return to London erm from Preston ",,fare-to-location-day-departure-from,positive,pause,,
18,2,B,frag,6.0,refer,"
erm the 51 pounds ",,fare,positive,pause,,
18,9,A,frag,19.0,refer,"
on the return
",deixis,fare,positive,,,
18,14,B,frag,34.0,refer,"
the the Friday
",,day,positive,,,
20,13,A,frag,22.0,refer,"
for the 19 pounds Virgin value fare
",deixis,fare,positive,,,
22,21,A,frag,42.0,refer,"
with an advance purchase ticket
",,fare-journey,positive,,,
22,39,A,frag,93.0,refer,"
the super advance return
",,fare,positive,,,
22,53,A,frag,115.0,refer,"
then travelling on the Friday
",,day-journey,positive,,,
23,43,A,frag,68.0,refer,"
with the super saver return
",deixis,fare,positive,,,
24,21,A,frag,35.0,refer,"
with this ticket
",deixis,journey,positive,,,
25,25,A,frag,34.0,refer,"
with this ticket
",deixis,journey,positive,,,
26,24,B,frag,37.0,refer,"
",,number,positive,pause,,
26,24,B,frag,37.0,refer,"
",,number,positive,pause,,
26,24,B,frag,38.0,refer,"
the the Hertford to Taunton
",,to-location,positive,,,
26,25,A,frag,44.0,refer,"
on the return
",deixis,fare,positive,,,
26,50,B,frag,108.0,refer,"
and coming back ",,,positive,pause,,
27,49,A,frag,98.0,refer,"
with the super advance ticket
",deixis,fare-journey,positive,,,
27,125,A,frag,195.0,refer,"
just the address
",,address,positive,,,
28,45,A,frag,86.0,refer,"
but with your super advance return
",constrain,fare,positive,,,
28,67,A,frag,120.0,refer,"
this ticket
",,journey,positive,,,
28,127,A,frag,210.0,refer,"
with this ticket
",deixis,journey,positive,,,
28,222,B,q-wh,331.0,refer,"
wh... wh... when she comes back
",,time,positive,,,
28,224,B,frag,333.0,refer,"
my wife
",closure,,positive,,,
32,40,B,frag,66.0,refer,"
the northern the northern line train ",,,positive,unclear,length,5 syllables
33,25,A,decl,31.0,refer,"
the cheapest fare that i can offer you going out at that time and returning at the 14 45
",poss1,time-fare-return,positive,,,
33,49,A,frag,81.0,refer,"
with the Virgin value business ",deixis,,positive,backchannel,content,yes
