DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,3,A,q-yn,5.0,reqInfo,"
is that Birmingham New Street
",closed,location,positive,,,
1,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
1,7,A,q-yn,12.0,reqInfo,"
do you have a rail card
",closed,railcard,positive,,,
1,9,A,q-wh,14.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
1,11,A,q-wh,16.0,reqInfo,"
and what date is it you're travelling out
",open,date-journey,positive,,,
1,13,A,frag,18.0,reqInfo,"
",open,time-departure,positive,pause,,
1,19,A,q-wh,28.0,reqInfo,"
and when is it you're returning
",open,time-return,positive,,,
1,47,A,frag,97.0,reqInfo,"
your surname please
",open,name,positive,,,
1,49,A,frag,99.0,reqInfo,"
",open,name,positive,pause,,
1,51,A,frag,101.0,reqInfo,"
and your title
",open,name,positive,,,
1,53,A,frag,103.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
1,59,A,frag,109.0,reqInfo,"
",open,creditcard-address,positive,pause,length,2s
1,63,A,decl,115.0,reqInfo,"
and ",,number-creditcard,positive,pause,,
1,75,A,frag,129.0,reqInfo,"
and the issue number
",,number,positive,,,
1,77,A,frag,131.0,reqInfo,"
and the expiry date
",,creditcard,positive,,,
2,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
2,5,A,q-yn,8.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
2,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
2,9,A,q-wh,12.0,reqInfo,"
and what date is it you're travelling
",open,date-journey,positive,,,
2,13,A,q-wh,17.0,reqInfo,"
departing at what time from London Euston
",open,time-location-departure-from,positive,,,
2,14,B,q-yn,19.0,reqInfo,"
do you know
",closed,,positive,,,
2,19,A,q-wh,27.0,reqInfo,"
when are you returning
",open,time-return,positive,,,
2,21,A,frag,29.0,reqInfo,"
departing at what time
",open,time-departure,positive,,,
3,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
3,5,A,q-yn,8.0,reqInfo,"
do you have a rail card at all
",closed,railcard,positive,,,
3,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
3,9,A,q-yn,12.0,reqInfo,"
is that two adults
",closed,number,positive,,,
3,11,A,q-wh,14.0,reqInfo,"
and what date is it you're departing
",open,departure-date,positive,,,
3,53,A,frag,71.0,reqInfo,"
your surname please
",open,name,positive,,,
3,55,A,q-wh,73.0,reqInfo,"
and how do you spell that
",open,,positive,,,
3,57,A,frag,75.0,reqInfo,"
",open,name,positive,pause,,
3,59,A,frag,78.0,reqInfo,"
your contact telephone number please
",open,telephone-number,positive,,,
3,67,A,frag,90.0,reqInfo,"
and your postcode to where your credit card is registered to
",open,creditcard,positive,,,
3,71,A,frag,94.0,reqInfo,"
",,confirm-address,positive,pause,,
3,73,A,q-wh,99.0,reqInfo,"
what type of credit card is that you hold
",open,creditcard,positive,,,
3,75,A,decl,101.0,reqInfo,"
and the Visa number
",,number-creditcard,positive,,,
3,91,A,frag,118.0,reqInfo,"
and the expiry date
",,creditcard,positive,,,
4,3,A,frag,7.0,reqInfo,"
travelling to
",,journey-to,positive,,,
4,5,A,frag,9.0,reqInfo,"
from
",partial,from,positive,,,
4,6,B,q-yn,11.0,reqInfo,"
em is there a train from Liverpool
",closed-exists,location-from,positive,,,
4,7,A,q-yn,13.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
4,9,A,q-yn,15.0,reqInfo,"
and is it just for one person
",closed,number,positive,,,
4,11,A,q-yn,20.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
4,18,B,q-wh,42.0,reqInfo,"
how much is the ticket
",open,journey,positive,,,
4,18,B,q-yn,43.0,reqInfo,"
can you tell me
",closed,,positive,,,
4,28,B,q-yn,65.0,reqInfo,"
is there any going from ",closed-exists,,positive,pause,,
4,28,B,q-yn,65.0,reqInfo,"
is there any going from ",closed-exists,,positive,pause,,
4,30,B,q-wh,70.0,reqInfo,"
how much is that
",open,,positive,,,
4,40,B,q-yn,83.0,reqInfo,"
can i be a pain and ask you about Thursday night
",closed,day,positive,,,
4,40,B,decl,84.0,reqInfo,"
if there's anything Thursday night
",exists-condition,day,positive,,,
4,46,B,q-yn,101.0,reqInfo,"
is that a supersaver advance yes
",closed,fare,positive,,,
4,47,A,q-yn,108.0,reqInfo,"
is it you're returning
",abandon-closed,return,positive,,,
4,48,B,q-wh,109.0,reqInfo,"
erm ",open-alternative,departure-time,positive,pause,,
4,61,A,q-yn,139.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
4,69,A,frag,159.0,reqInfo,"
your surname
",open,name,positive,,,
4,71,A,frag,161.0,reqInfo,"
and your initial
",open,name,positive,,,
4,73,A,frag,163.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
4,79,A,frag,169.0,reqInfo,"
and your postcode to where your credit card is registered to
",open,creditcard-address,positive,,,
4,87,A,q-wh,178.0,reqInfo,"
and what type of credit card is that you hold
",open,creditcard,positive,,,
4,89,A,decl,180.0,reqInfo,"
and the number please
",,number,positive,,,
4,97,A,frag,189.0,reqInfo,"
and the expiry date
",,creditcard,positive,,,
4,99,A,q-yn,194.0,reqInfo,"
do you have a pen handy
",closed,,positive,,,
5,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
5,5,A,q-wh,9.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
5,7,A,q-yn,11.0,reqInfo,"
do you have a current rail card
",closed,railcard,positive,,,
5,13,A,q-wh,18.0,reqInfo,"
what date is it you're travelling
",open,date-journey,positive,,,
5,17,A,q-wh,22.0,reqInfo,"
departing from Euston at what time
",open,time-location-departure-from,positive,,,
5,21,A,q-wh,28.0,reqInfo,"
when is it you're returning
",open,time-return,positive,,,
5,24,B,decl,32.0,reqInfo,"
you don't have any at any time on Saturday
",,time-day,negative,,,
5,29,A,q-wh,43.0,reqInfo,"
",open,time-return,positive,pause,length,5s
5,36,B,decl,55.0,reqInfo,"
i can't get another one
",poss1,number,negative,,,
6,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit or credit card
",closed,creditcard,positive,,,
6,5,A,q-yn,8.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
6,7,A,q-wh,10.0,reqInfo,"
and how many people are travelling
",open,number-journey,positive,,,
6,11,A,q-wh,14.0,reqInfo,"
departing Preston at what time
",open,time-location-departure,positive,,,
6,18,B,q-wh,25.0,reqInfo,"
what about the 15 20
",open,enum,positive,,,
6,20,B,q-wh,29.0,reqInfo,"
what's the cost for that ",open,fare-booking,positive,pause,,
6,22,B,frag,31.0,reqInfo,"
",partial,fare,positive,pause,,
6,35,A,frag,54.0,reqInfo,"
your surname please
",open,name,positive,,,
6,37,A,frag,56.0,reqInfo,"
and your initial
",open,name,positive,,,
6,39,A,frag,58.0,reqInfo,"
and your contact telephone number please
",open,telephone-number,positive,,,
6,45,A,frag,64.0,reqInfo,"
and your postcode to where your credit card is registered to
",open,creditcard-address,positive,,,
6,53,A,q-wh,74.0,reqInfo,"
and what type of credit card is that do you hold
",open,creditcard,positive,,,
6,54,B,q-yn,77.0,reqInfo,"
or do you need a credit card
",closed-constrain-alternative-report,creditcard-time,positive,,,
6,55,A,frag,79.0,reqInfo,"
the long number across the switch card
",,number-creditcard,positive,,,
6,65,A,frag,90.0,reqInfo,"
and the issue number
",,number,positive,,,
6,67,A,frag,92.0,reqInfo,"
and the expiry date
",,creditcard,positive,,,
6,69,A,q-yn,95.0,reqInfo,"
can you repeat that long number across your card
",closed,number,positive,,,
7,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
7,5,A,q-yn,9.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
7,7,A,q-wh,11.0,reqInfo,"
how many people's travelling
",open,number-journey,positive,,,
7,9,A,q-wh,13.0,reqInfo,"
and what date you travelling out
",open,date-journey,positive,,,
7,28,B,q-yn,46.0,reqInfo,"
is that got the the tea and coffee as well
",closed,,positive,,,
7,31,A,frag,50.0,reqInfo,"
your surname please
",open,name,positive,,,
7,33,A,frag,52.0,reqInfo,"
and your initial
",open,name,positive,,,
7,35,A,frag,54.0,reqInfo,"
and your title
",open,name,positive,,,
7,40,B,q-yn,63.0,reqInfo,"
have they had a price increase
",closed,,positive,,,
7,43,A,frag,67.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
7,51,A,frag,78.0,reqInfo,"
and your postcode to where the credit card is registered to
",open,creditcard-address,positive,,,
7,57,A,q-wh,85.0,reqInfo,"
",open,creditcard,positive,pause,,
7,59,A,decl,87.0,reqInfo,"
",,number-creditcard,positive,pause,length,5s
7,67,A,frag,96.0,reqInfo,"
and the expiry date
",,creditcard,positive,,,
8,3,A,q-yn,6.0,reqInfo,"
is it yourself as is a credit and debit card holder
",closed,creditcard,positive,,,
8,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
8,7,A,q-yn,10.0,reqInfo,"
",closed,railcard,positive,pause,length,7s
8,9,A,q-wh,12.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
8,13,A,frag,18.0,reqInfo,"
travelling at what time tomorrow from Nuneaton
",open,time-day-location-from-journey,positive,,,
8,14,B,q-yn,23.0,reqInfo,"
is there ",,time,positive,pause,,
